word,chinese_translation,frequency_18901,review_count_18901,example_context
drivers,drivers (名词),18,18,"review_3415d713b64f37203fd6ae3e :: Excellent experience! We did not do the glacier landing, and it was just our group and our pilot in the plane. Our pilot had a lot of interesting information about the area, and we..."
filming,filming (名词),18,18,review_29a097a678744a91d4a0b221 :: Wow! This truly was a once in a lifetime experience. Flying over these volcanos made me feel like I was on an assignment for National Geographic of filming Planet Earth. I was very...
marvel,marvel (名词),18,17,review_f6caee5941db1facc69fae40 :: After cruising up from Seattle on  the Emerald Princess we didn't think that it could get any better. Our pilot Chuck took us all along Misty Fjords and we saw nature at it's best....
immense,immense (形容词),18,18,"review_6aacd697959161f6b7fb0f74 :: We booked the Summit Flight with Glacier Landing, but it was cancelled due to bad weather. We were kept informed at all times which we appreciated, and they phoned to inform of the..."
kamaka,kamaka,18,12,"review_948bf78e53235222ed2d0c59 :: Our air tour, piloted by Kamaka, was the perfect way to begin our Kauai adventure. We were able to see the whole island, including numerous waterfalls, and learn about its history ..."
cozy,cozy (名词),18,17,review_704c2d4752bd26e38ea16e3d :: A picture perfect day for our flightseeing in February. Up close and personal with the mountain range courtesy of K2. The photos don't do justice to the majestic sight of these roc...
passage,passage (名词),18,18,"review_95eb4d2490768c7628eb50ac :: My family and I took a float plane over the Misty Fjords during our cruise through the Inside Passage of Alaska. My parents, husband, kids (6 & 9) and I all agree that this experie..."
leis,leis (名词),18,18,"review_0bad13c3b330564bdb89fb21 :: Breathtaking views, wonderful tour guide, private plane, thoughtful and spiritual experience! My husband and I just did this on our honeymoon (we were able to book same day!), and ..."
ratings,ratings (名词),18,17,"review_5315243ff755b44b6e69ea99 :: Absolutely amazing experience, impressive top notch organization. We were extremely impressed with K2, not just because we had a perfect day to fly, but because of the confidence I..."
permits,permits (名词),18,14,review_3cb4c53a6c1c62555cfbaa2c :: This is a bit of a mixed experience for us.  The floatplane ride to Caribou lodge was wonderful - the guided hike from Caribou Lodge at Boomerang Lake was really awesome - Zack sho...
inches,inches (名词),18,18,review_44bbe9a73fd23ce4436c395f :: We were fortunate enough to have great weather when we arrived in Ketchikan. (The town gets more than 200 inches of rain per year.) So we opted to book a float plane tour. We did a...
shoe,shoe (名词),18,15,review_3811074a40d08df2bef9cd10 :: We made our reservations 2 months in advance not really knowing what to expect. The van picked us up in town and drove us out to the Talkeetna airstrip. The check-in process was qu...
highlighted,highlighted (动词),18,18,review_e0ad06300024258fcd9a2b2b :: This was a brilliant afternoon. The setting is picturesque and a great deal of thought and work has gone into making it a pleasant experience overall. The on-site facilities are fi...
wheel,wheel (名词),18,17,"review_40865e1caf0cd8fcabae176c :: First of all, originally we wanted to do a helicopter ride. We were quoted like $400 per person so that would've been over $1.2K for all of us to SHARE a helicopter with random peo..."
dip,dip (名词),18,15,"review_e7964b16676b8956bbfcd74b :: Amazing!!!!! Perspectives I’ve never seen, and unreal views. I literally felt like I was flying. The best part was that our pilot walked us through every dip and turn, so even thou..."
nicole,nicole,18,15,review_68a65185a30bc3b57e28dc27 :: Many thanks to Paul and Nicole for their attention to detail and enjoyable flight experience on Saturday (5/11) of this past week.  Though I have been to Kauai a couple of times in...
extras,extras (名词),18,18,review_50675d00c297c0208d9e3462 :: This tour was awesome. Bucket list just became a little smaller! Money well spent. I’d say once in a lifetime experience. Pilot was great and service excellent! No hard sell for ex...
orcas,orcas (名词),18,17,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
lie,lie (名词),18,18,review_b26b57776f3d7078b820ec7e :: Fantastic experience and great customer service. We had a tour scheduled for 2:30pm but due to high expected winds in the afternoon Redtail reached out asking if we would be able t...
conditioning,conditioning (名词),18,16,"review_be756d082c9857ee2d7f2a8b :: Had a blast! Eric was great and friendly, we had an awesome time flying over Volcanoes National Park and taking a pit stop in Hilo for lunch. 10/10 would definitely recommend! I’ve..."
operate,operate (动词),18,17,"review_b7518b6f4932fd55e1aa7978 :: I highly recommend this flightseeing tour. Its the yellow tour offered on the K2 aviation tour brochure. The whole process from speaking to a person at the office, booking the tour..."
usa,usa (名词),18,18,"review_a616deedc37535e618de5a67 :: On our USA tour a must visit .
Had picked the 45 min can only say the money is definitely worth it ,
where I have to say 1 photo could be included for free ,
at this price.
It was ..."
proceeded,proceeded (动词),18,18,"review_40391e45270bda84f3e4ff7f :: Excellent customer service from the time we booked our flights a day in advance to the time we checked out.

Our Pilot Chris took the time to ask all of our names and our expectati..."
snoopy,snoopy (名词),17,17,"review_c9acb967974a2c5824b40ffd :: As a budding pilot, my wife and I took the ride of a lifetime on Snoopy the Waco biplane piloted by Harry.  It was the best time EVER!  Great ride!  Enjoyed talking with the owner,..."
witnessed,witnessed (动词),17,17,review_2a8a2672c7589d74c447a903 :: BEAUTIFUL. Amazing job by the pilot and great views. Loved the crater and saw the beautiful cliffs. Jurassic world is something I love and I witnessed it. DONT MISS IT...
dozen,dozen (名词),17,17,review_33119b1873c2a6f4561ff17b :: An absolutely breathtaking and a new perspective of the five islands we’ve seen a dozen times from the ground but never from the air. Eric was a great guide and made sure we all go...
thankyou,thankyou,17,16,"review_31e8e8f3bcf3729bde150285 :: Efficient check, in clear safety briefing friendly and informative pilot. But the star will always be the canyon itself. The floor literallly and metaphorically dropping away. Unfo..."
lanai,lanai (名词),17,13,"review_799c36e2caa2871f746e8035 :: We loved flying with Eric! It was a great and unique experience and also adventurous to be on the air. We saw Molokai, Lanai, Maui… sitting on the front seat I also got the chance ..."
aeroplane,aeroplane (名词),17,17,review_6651830fa98da3a307ca58c4 :: Three of us went up in Eric’s Piper Archer aeroplane and had a once in a lifetime experience seeing Maui from a birds eye view!    Eric was very knowledgable about the Islands and ...
oct,oct (名词),17,17,"review_d2e051518b704ddd5233df53 :: This was truly fun and amazing... Highly recommended! Eric was great- fun, funny and informative. We flew on Oct 25, 2024..."
savings,savings (名词),17,16,review_d28c7101379cf893332b53c9 :: After several rainy ports we finally arrived in sunny Kethcikan.  Our flight the previous day in Skgway had been cancelled and they referred us to Taquan Air.  I was able to book a...
shear,shear (名词),17,17,review_c4480884cc9baf8c2333012a :: No words can describe this!!! The enormity of this mountain range is incredible. I cried from the shear beauty of the view. It’s absolutely worth every single penny....
married,married (名词),17,16,"review_5ca514e8d9101b15da14447d :: This was breath taking . One in a lifetime experience. This was the highlight of my vacation other than getting married . Our pilot was professional, outstanding and I will be back..."
restrictions,restrictions (名词),17,17,review_d00c46af140a4c3c3f8c96d4 :: We didn’t get to go. It was canceled.   The did call. Offered options but being out of town we had time restrictions.  They are giving a full refund...
lap,lap (名词),17,17,"review_1a8955f57f1215a6c03d3912 :: These guys were amazing.
From the customer service to the actual tour, these guys just had it going on.
As the 1st day in Talkeetna was overcast and snowing, we rebooked our flight..."
makoa,makoa,17,15,"review_1b75c658399f69e58abbf28b :: We took the Big Kahuna Kauai Air Tour which was truly a great experience and the best way to see the entire island of Kauai.  The team were excellent, even calling us to recommend ..."
lifelong,lifelong (形容词),17,17,review_d7fca874e119b2b38738c1af :: This is the highlight of my trip to Alaska and far exceeded my expectations- a fulfillment of a lifelong dream.  Chad is an amazing guide and pilot.  Very knowledgeable of the area...
shotgun,shotgun (名词),17,16,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
hopped,hopped (动词),17,17,"review_edeb25924eee04f47385c0b0 :: We couldn't have asked for a better experience with K2!! 

We were supposed to go on a flightseeing out of Anchorage, and it was canceled due to the weather (fog) down there. We ho..."
fran,fran,17,16,"review_828c606a3fddd0efae58a44d :: This is a must thing to do while you are visiting the island of Kauai......
Bruce was so proficient in the flying of his aircraft and the narrative he gave about the land.
Ellen hi..."
jan,jan (名词),17,17,"review_795e24e690ec177b00dd6738 :: Originally booked flight over Denali w/glacier landing/walking. Due to weather/fresh snow, could only do foothills and no glacier. Got half refund. Courteous, helpful staff. Pilot ..."
locked,locked (动词),17,17,"review_096ea096cf0fab26ec20ba79 :: This was by far the best trip of our holiday!
After a short safety video, we were taken to meet our pilot Chuck. We were in a 10 seater plane and it was free seating, we could also..."
ancient,ancient (名词),17,17,"review_5774556c09bbc1be688a53eb :: From the time we booked online - our 5 Islands Experience - to the end of the trip, it was nothing but an amazing experience.  Eric is passionate about his business, his dream, his..."
deciding,deciding (名词),17,17,"review_20443da247ec4485578ad3c1 :: My wife and I were on Maui for our honeymoon and decided to book a flight with Maui Plane Rides.  I guess I should say I decided to book it, and my wife gamely agreed to come along..."
shoulder,shoulder (名词),17,16,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
jobs,jobs (名词),17,17,review_46d68288913e3487fbbd1237 :: Such beautiful scenery!  Such a wonderful company - full of people who seem to love their jobs and take really good and friendly care of their customers.  Went up over Misty Fjords...
game,game (名词),17,16,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
seals,seals (名词),17,16,"review_24c6a7d37f3d0b237001ae78 :: I generally hate flying, but this saved me hours of travel time for a long weekend so I did it. I really enjoyed my flight! It is less than an hour and the plane flies low enough t..."
swim,swim (名词),17,16,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...
postcard,postcard (名词),17,16,"review_4b103aa492aeb007072c63c9 :: Great experience for myself, my husband and our 18 year old son. 

We were greeted as we pulled into the parking lot. Given lays, took a few photos and given some brief instruction..."
caribbean,caribbean (名词),17,17,"review_14b853f1d3f25a34173003d7 :: We prepaid for this an excursion while on a Royal Caribbean Cruise and were notified the day before our flight that it was cancelled due ""to a lack of participation"". There actuall..."
btw,btw,17,17,"review_1e2ed04d494f0ed469531978 :: Was struggling with how to take in Denali on a short trip, and this is definitely the way to do it.  Saw so much of the Alaska range, up close and personal, and a knowledgeable and..."
female,female (名词),17,16,"review_f6cf1e51294d02e20ec4b447 :: This was a side trip from the Alaskan cruise in late August.  Larry our pilot was very knowledgable and asked if we had a veteran in our group of 6.  I'm a navy vet, female, and 74..."
depart,depart (动词),17,15,review_15fefc050b9fb75d0c7866aa :: I had a great experience with K2 from the first phone call to the last purchase in the gift shop (and a great geocache out front). I called to make a same-day reservation due to sl...
faa,faa (名词),17,17,"review_14b7795a7ee7f65e7cbb2b5b :: The business was easy to find. The directions were clear and precise. Eric, the pilot, was friendly and on-time. We were given a detailed safety lesson, and a life preserver per FA..."
candies,candies (名词),17,17,"review_fd467faeb1c6e661a6b00b95 :: Full disclosure- I suffer from motion sickness fairly easily.  I've tried boat rides on calm waters, which end badly for me, so I knew touring the Na Pali coast via raft or helicop..."
property,property (名词),17,15,review_4a7054eddbe000edbab0a72c :: Had an amazing customized experience! Shane was able to pick us up right off our beach property on Lopez Island. It was a lot of fun getting to see the sea plane land close to us. ...
clark,clark (名词),17,12,"review_303514231f8763a9e938c745 :: July 12, 2024, took a ""Misty Fjords Flighseeing"". Pilot, Clark, did not have a welcome word when we took off and either a  thank you for us when we left.  Very little talk about wh..."
rolf,rolf (名词),17,9,review_51b76ee04ef8b5c1f98e3868 :: Our group of 6 had the most amazing flightseeing trip with Rolf as our pilot and tour guide.  All went so smoothly and the weather fortunately cooperated!  I highly recommend this ...
altitudes,altitudes (名词),17,16,review_1e6bde0c3142b379dd5fd3c6 :: Excellent Adventure! We chose Friday Harbor Seaplanes for round trip flights during a five day visit to Friday Harbor. Top to bottom excellent experience with this company. Great c...
talkeenta,talkeenta,16,15,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
regards,regards (名词),16,16,"review_f3c97b61a8daa1ce25a8dc32 :: This experience was totally insane, once in a lifetime.  The K2 staff was so friendly and enthusiastic, and we don't have enough good things to say about our pilot, Doug.  He was e..."
difficulty,difficulty (名词),16,16,"review_149334145151fd485367da12 :: Nice flight, but difficulty hearing the pilot's narration as the headphones did not work well, but the views are always breathtaking....we were fortunate for good weather...."
sightings,sightings (名词),16,15,"review_7b4c9d98731afba19c66aa44 :: Incredible views!! We saw the islands from a whole new perspective - with whale sightings too! Our guide, Steve, was professional, fun and informative. Absolutely a highlight of ou..."
alongside,alongside (副词),16,16,"review_1c9fe0cf2f18ee48ae21a46b :: We had a terrific ride with David and he took us to places that were amazing and beautiful, giving us opportunities to take nice photos and explanations of what we were seeing alon..."
wrap,wrap (名词),16,16,"review_6d8a7bc16514c807e307918f :: What a fantastic way to wrap up our Disney Alaskan Cruise!! Chuck was our pilot & he was wonderful, friendly, helpful, calming & extremely knowledgeable about the area we flew over..."
relive,relive (动词),16,16,"review_ce9844bde7bf3dd4b4ea18b8 :: A very professionally run tourist operation, and a wonderfully informed and expansive pilot who managed the dual tasks of successfully keeping us aloft while deciphering and answer..."
otters,otters (名词),16,15,"review_0e8b415ed6e60f63a677db4d :: This was not a bad experience - but it was a little pricey for what you get.

The hotel pick up was fine. The driver was late. I called - repeatedly. Nobody answered. I was worried..."
truely,truely,16,16,"review_b2b3b0683cfcb31297b75334 :: We love to live in Smart, Modern cities, the concrete jungles but being in the Wilderness is truely Soul Touching. We were in Ketchikan, Alaska, in Jul 2015 and we heard of the Mis..."
groupon,groupon,16,15,"review_2aa5af746a0c5566935108e5 :: Great tour with nice view over Miami. Will definitely book this again with the family. Nice pilot and felt save during the flight.
Address mentioned by Groupon is not correct…..."
dime,dime (名词),16,16,"review_22ff9034d85000a480ec5409 :: She was really nervous but the headphones and music helped her relax. The sights and sounds were great. The best part was landing in the middle of the flight, into a small lake...g..."
truck,truck (名词),16,11,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
positioned,positioned (动词),16,16,review_c010b77495fa7e83929394a8 :: The overall experience with Maui Plane Rides was amazing! It started with the pilot Laura greeting us with Hawaiian lei. She is very personable and communicates very well. On top o...
appears,appears (动词),16,16,review_8bf9b4abc90c5b5f29d7062e :: It is true that it appears to be much more economical to book Shore excursions through TripAdvisor rather than though the cruise line - our booking for 2 people was several $00's c...
lindsay,lindsay (名词),16,9,"review_3950862ce5847be16e983139 :: Everything about the Grand Canyon Signature Tour was perfect. Lindsay made booking easy and made us comfortable when we arrived. Our pilot Steven was excellent, made us feel comfor..."
cares,cares (名词),16,16,review_b65d3996a4b2fe2ba83a2c6d :: Most wonderful experience in Maui! I’m just speechless! Eric is an awesome guide. He really cares about our full experience! If there are 6 stars I would give it to this tour! And ...
leanne,leanne,16,15,"review_2d583ee39d7216308c4a2c74 :: The pilot, Leanne. She is phenomenal. Looking at her, all 90 lbs soaking wet, you won't believe she is a pilot. She made the flight an unforgetable experience. I would do it again ..."
favorites,favorites (名词),16,15,review_599c37c88c07ed51d872f86f :: We had a wonderful trip to Alaska and this adventure was one of our family's favorites.  We had a clear day so we felt very fortunate to be able to see Denali from various areas an...
vacations,vacations (名词),16,16,"review_7f12d4a5c0ea2a496fa61edd :: I have always wanted to take a float plane and experience a takeoff and landing on the water.  I asked Chuck our pilot where the best seat was and he said beside him, so i got to e..."
wilbur,wilbur,16,14,"review_157c38ce758c0a2aeabe7a98 :: great flight thru Denali, we saw the glaciers and the rest of the range up close.  the views were spectacular.  Our pilot Wilbur was great.  provided great narration throughout the..."
hurry,hurry (名词),16,12,"review_200269cbaed5f93bf027342f :: From the moment we made an enquiring call to the last second we left the premises following the tour, the service was exceptional.  The Canyon overpass was spectacular and if you c..."
angels,angels (名词),16,16,"review_a24b1a9b2f193458a4ba08e8 :: Such a cool experience! Flying over the mountains, rivers and lakes! Our pilot, Conner was awesome! (And looked like Goose 😆) Caught glimpses of Denali from the air and, best of al..."
garrett,garrett,16,14,review_2d43f19159ea78afbb298220 :: We flew with Garrett and a bunch of other guests on one of their beautiful dehaviland otters.  Every one who we interacted with was super friendly and courteous.  Garrett is a true...
arch,arch (名词),16,15,"review_090e44d928dfa65e51661270 :: We really enjoyed our flight with Cap'n Josh. He was a very nice guy, and great guide. We Had nice weather and the flight was relaxing and informative. The music that played on the..."
muir,muir (名词),16,15,"review_536a844a6c730cbc350182df :: Bought a 2 pack for me and my SO for a valentines day gift and it was an absolutely stellar experience. Aaron was a fantastic pilot and tour guide, knew lots of things that wowed b..."
connor,connor,16,13,review_32927309827d8e87ea881a4f :: Don’t forget to take photos! You’ll be in awe with the scenery. The best bit of my Moab outdoor adventure for sure! Flying over inaccessible parts of Canyonlands NP. Connor did an ...
resorts,resorts (名词),16,16,review_c35eda43a7861545fadfb20e :: What an amazing way to see Maui ... from the sky! Thanks to Eric and Maui Plane Rides for the sunset ride - which brought much MORE then just the sunset! North beaches with cliffs ...
decades,decades (名词),16,16,"review_cfbf25a0b1a3bc09ef2b51e5 :: Michelle took good care of the three of us!  I'm an aviation expert with decades of engineering and mechanical, as well as airlines experience.  This team is bar none the best!  Al..."
operating,operating (动词),16,15,"review_d4cc9ebefbd40a3cbf6599d1 :: This was an unforgettable experience, the pilot was really professional and had a safe way of operating.
I recommend this experience for everyone...."
continuously,continuously (副词),16,16,review_ccf59c06f5da465345418e80 :: We had booked the Denali Experience Flightseeing Tour with the Glacier landing but because of bad weather we were offered a 1 hour flight to see the Tokositna Glacier and Ruth Glac...
reviewing,reviewing (动词),16,16,"review_57e0e637026ea4297731ac10 :: Reviewing our recent holiday in Alaska, I can honestly say one of the highlights for me was our seaplane flight. It is a must. Our trip with our pilot TREVOR SMITH was great. He ga..."
wherever,wherever (副词),16,15,review_5ea90f5fb27392940da5871d :: Must see if you want a better alternative to the otherwise really commoditized helicopters flying around. Much personalized service and Erik really takes care of you. We saw incred...
leeann,leeann,16,12,review_388726fa186f27284c653b9e :: Landing at Base Camp. Great view of Denali. LeeAnn was a very informative and competent pilot. Felt very safe. Smooth flight....
climate,climate (名词),16,16,review_706fb444d67f21977a7f5ad1 :: Absolutely one of the top highlights of my recent trip to Alaska. We had signed up for the glacier landing and at check in were told that it was going to be too foggy to land. Whil...
fruit,fruit (名词),16,16,"review_038e4c6f066027b2dacc598d :: Spendy but worth it.  Traveled with 14, 17 and 18 yr olds. They loved it!  Not recommended for young children; too long of a day. Day started out with a 515am pick up from our hote..."
rob,rob (动词),16,14,"review_6547e92113e25bfa449a9d82 :: All communication with West Winds was clear and timely.  Wyatt and Rob, our pilots were top notch, fun, informative and friendly.  We highly recommend this company!..."
competitive,competitive (形容词),16,16,"review_445ce4a465fc586c9f4c76ae :: This was an amazing experience.  Very close to port ( on cruise).  Took Uber 

The pilot was Shaden and he was a host and gave us a fabulous commentary when on plane.

I was on a k..."
radios,radios (名词),16,16,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe..."
tailored,tailored (动词),16,16,"review_cc007f5ab6708deff6eac620 :: We did a scenic Seattle tour. The pilot, Brad, was excellent, both as a pilot and a tour leader. We tailored our flight to fly over our home. Of course the take off and landings we..."
brooke,brooke (名词),16,11,"review_04cbb3c58c06dc6a58cbad43 :: We had an amazing time on our June 9 Canyon River Adventure. From our morning arrival at the airport to our late-afternoon return, we were in awe by the views, activities, and serv..."
dirt,dirt (名词),16,15,"review_aafb0ae5794c320ac2e43c7d :: WOW!! What an incredible experience, I’ve been to Moab once before, Jeeping and dirt bike riding and this is an absolute MUST DO! Our pilot Tracy was fantastic, very thorough safet..."
knik,knik,16,14,"review_a775456a585aebb3c43cb1cc :: Unfortunately, the weather did not cooperate for us to take our scheduled flight and glacier landing.  We rescheduled and tried the next day, but still weren't able to go.  So we e..."
seemingly,seemingly (副词),16,15,review_b4f6e6952ce8c0eef1a9f875 :: I was really looking forward to this experience while in Alaska. k2 called us about an hour before our schedule led departure to let us know we cannot go to Denali due to the weath...
sophia,sophia,16,15,"review_3a854aa9657a4292d02e1253 :: My boyfriend, John, and I were greeted by Sophia at the ABC store right by our cruise ship. She kindly drove us to the airport, checked us right in and prepared us for our flight! ..."
charges,charges (名词),16,15,review_79679e4f09a29d00aa642964 :: Good trip to see Denali area but only average viewing due to the cloudy and rainy weather. Common opinion is that only 30% of people that visit the area actually get to see Denali....
blocked,blocked (动词),16,16,"review_ecc5169052135fad9bc94b74 :: The flight was not bumpy or scary--much smoother than anticipated.  The earphones with music and audio scenery description blocked out most of the engine noise.  It was a relaxing,..."
sandy,sandy (形容词),16,14,"review_08964953c077ec888a56441a :: We were on the Princess Cruise-liner headed southbound from Whittier to Vancouver. As the ship docked in Ketchikan, we walked over to the visitor center to explore seaplane tour op..."
roche,roche,16,16,"review_561e62e068e2f6ae156ccb22 :: It was a pleasure to fly in the De Havilland  Beaver sea plane and see the Seattle areas and San Juan islands for the first time.  Our pilot, Fields, gave us a great experience.  W..."
belts,belts (名词),16,16,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
program,program (名词),16,16,"review_5e29916302321e47ffd66cbc :: We were flying in to do a video shoot and K2 was amazing to work with. I work on a program called Adventures in Odyssey and they bent over backwards to help us out, while making su..."
bryce,bryce,15,12,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
andrew,andrew (名词),15,15,"review_3881e5058fa46a539a179f72 :: Both pilots (Andrew and Charles) were very friendly, helpful and competent which made the flight enjoyable!  The weather couldn't have been better!   Lets do it again next weekend!..."
wales,wales (名词),15,14,"review_5d5f8d28fda411f10f44b071 :: I took a Float trip to Thorne Bay on Prince of Wales Island for business. Due to poor weather, this was my fourth attempt. Taquan very graciously rescheduled 3-times without chargi..."
marina,marina (名词),15,13,review_1e9f2da1fedda133fc97f78d :: My boat is located in the Islands for the summer and often receive guests for short stays and tours.  This is absolutely the best way to get from SeaTac to Friday Harbor and back.....
bonine,bonine,15,13,"review_5b475559d8a53af1419a955a :: In all our research for Alaska, what stood out the most was the encouragement to see Alaska from as many perspectives as we could - land, sea, air. When we figured out that flights..."
instrument,instrument (名词),15,14,"review_3e5db208cfee7fb04abebf65 :: This is a very popular service offering Air Taxis and flight tours. We booked the Denali flight tour to fly around Mt Denali, see wildlife and land on a glacier and actually walk o..."
tiburon,tiburon,15,15,"review_89aa4649cae84e2d641311f2 :: I had a BIG birthday on a weekday, and knew I needed a special experience on the actual day. Arranging a ride with Seaplane Adventures was the best decision I could have made. As l..."
marks,marks (名词),15,15,"review_0ed2cd2dbeb6a5694b143911 :: We were sailing Carnival and next to last port of call was Ketchikan.  We opted for the Neets Bay Bear Watch or tour... 
When we arrived to the float plane port, Taquan airlines wa..."
google,google (名词),15,14,review_bdf0c493f8a4c967f869e49c :: My wife and I thoroughly enjoyed the ride and pilot Eddie. Very smooth ride at 7500-9500 feet which can be below the canyon rim at times.  Excellent for taking aerial photos.  The ...
tongass,tongass,15,14,review_e9709ca190ebf39ac8e7e283 :: We took the floatplane to see the black bears catching salmon in the Tongass National Forest early September 2019. We had already done a similar trip to the Misty Fjords eight year...
designated,designated (动词),15,15,"review_fd0f8064c8d304a91a1a7613 :: My husband, adult son and I took the Maui Circle island Air Tour with Eric last week and thoroughly enjoyed every minute.  Eric is a seasoned pilot and his number one concern is th..."
washington,washington (名词),15,15,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
mailed,mailed (动词),15,15,"review_04494bd45c6b9ff4f0e3e57f :: On 7/25/2023 we took the Misty Fjords flight seeing tour.   There were a total of 8 passengers on a well maintained DHC-3.  

The best I can say is that Taquan Air completely maile..."
justify,justify (动词),15,15,review_713a9e721d81f27e383578ed :: It’s an unforgettable experience. A must do. Words cannot justify the experience. Eric is amazing perfect takeoff and landing....
tooth,tooth (名词),15,14,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe..."
parker,parker (名词),15,11,"review_0f76c7a05318ec2e98ca0ebf :: Our flight was incredible! We did a 25 minute sightseeing tour from Friday Harbor. The team was able to accommodate us for a same day booking. The booking process was easy, and the..."
leann,leann,15,12,review_689cafac9ee5d94017d077eb :: The tour was fantastic. LeAnn was our pilot and she was amazing.  The highlight of our trip. Will definitely book another flight on our next trip....
helen,helen (名词),15,14,"review_2cc59c0a50afd6eabd2943be :: My husband and I did the 45 minute tour at the end of April. Yes, the computer chooses the seats for you but rest assured even if you're in the middle back seat (where my husband w..."
vision,vision (名词),15,13,review_ca36d15185983aece67841b5 :: Our 1 hour flightseeing tour of Denali was a spectacular highlight of our trip to Alaska. Our pilot Bill was competent and professional which put us all at ease. And as we approach...
multnomah,multnomah,15,15,review_71634df1164864fe48259353 :: First of all Thanks to our amazing pilot Mr. JP from Envi. He’s really accommodating and nice. We had a fantastic and amazing experienced.  We really enjoyed the views. The Multnom...
version,version (名词),15,14,"review_6ddfeb26690a6278386a224a :: Short version: amateur, unprofessional, overpriced, uncomfortable, rude, terrible experience. Spend the extra money and take a he'll ride, or at least use a different plane ride pr..."
needles,needles (名词),15,14,"review_0d4bdc67354c4a2f01fc8010 :: Ethan flew us over Labyrinth Canyon, the Confluence, the Maze, the Needles, up the Colorado, and over the upper Castle Valley/Mill Creek drainages. He was super informative and fle..."
update,update (名词),15,15,"review_9008f66337020b1c7b4dccde :: My husband and I are both pilots. My original idea was to get checked out, rent a plane, and fly ourselves. Crazily, we bumped into Eric in Kihei near the beach on our first night ..."
knowlegable,knowlegable,15,15,"review_4fb677f313a5f898aa32c682 :: We had a great flight out over the Misty Fjords the  scenery was spectacular - Dave our pilot was very Knowlegable -we landed on a very scenic fjord,Dave took all our pictures then..."
upper,upper (名词),15,15,review_85d6499b677eea59208c09e0 :: We saw that the weather was going to be clear for the several days that we were in Talkeetna (late August '16) and booked a flight-seeing tour with this company.  The weather was p...
diverse,diverse (形容词),15,15,review_ff35b1c69227fe233bc5e0bf :: I decided to go on this trip with my husband for his 60th birthday with Air Ventures.  I chose this type of aircraft over a helicopter because I felt more secure in it.  The trip w...
warmth,warmth (名词),15,15,review_7e1b6930c9a1cc73feb943b6 :: We traveled back to Seattle from Friday Harbor with Jake and it was such a wonderful experience.  Not just technical flying brilliance but also the local information and warmth he ...
seconds,seconds (名词),15,15,"review_1ab74adf424a78f8959e5e3c :: This was a fantastic experience for all of us this morning. Lora was our pilot and she was friendly, and courteous and welcoming and very encouraging towards our very introverted 1..."
waterproof,waterproof (名词),15,15,"review_5d3aa0665da02a18fbb9d035 :: Our experience was awesome! 

They waterproof shoes that slipped over our own boots for the glacier landing. Our experience was during Covid-19 and the whole staff took extra preca..."
reluctant,reluctant (形容词),15,15,"review_7c089180dda1f8e195d03645 :: As a nervous flyer I was reluctant to take this tour, but figuring I'd probably not be in Alaska anytime soon, I'd better do it. So glad I did! Taking off and landing in the float ..."
scope,scope (名词),15,15,review_74b3950bfc8651a0c192c5f7 :: From the moment we took off to the moment we landed back at the airport we were all spellbound!  The ride was amazing and I would highly recommend it.  We landed on Ruth Glacier an...
kayaking,kayaking (动词),15,14,review_786ea7ddef7d606209ef913e :: Friday Harbor Seaplanes are awesome! The views up to Friday Harbor are breathtaking~and you experience this adventure in a famous de Havilland Single Propeller Seaplane. Landing by...
