word,canonical_lemma,frequency_21215,chinese_translation,raw_vader_score,raw_vader_status
uneasy,uneasy,13,心神不宁感到不安的,-1.6,Direct VADER Included
precious,precious,13,弥足珍贵的 memory,2.7,Direct VADER Included
safest,safest,13,最安全平稳的,1.7,Direct VADER Included
responsible,responsible,13,负责任的,1.3,Direct VADER Included
pleasurable,pleasurable,13,令人愉快的,2.4,Direct VADER Included
apologetic,apologetic,13,诚恳抱歉致歉的,0.0,Raw VADER Missed (0 Score)
bored,bored,12,感到无聊厌烦的,-1.1,Direct VADER Included
soaking,soaking,12,沉浸于（soaking in view）,0.0,Raw VADER Missed (0 Score)
stuffy,stuffy,12,闷热不适的（体感不适）,0.0,Raw VADER Missed (0 Score)
superbly,superbly,12,出类拔萃完美地,0.0,Raw VADER Missed (0 Score)
wondrous,wondrous,12,惊叹奇妙的,0.0,Raw VADER Missed (0 Score)
satisfying,satisfying,11,令人称心满意的,2.0,Direct VADER Included
wary,wary,11,警惕顾虑的,0.0,Raw VADER Missed (0 Score)
trepidation,trepidation,11,惊恐战栗 / 不安,0.0,Raw VADER Missed (0 Score)
surprising,surprising,11,令人出乎意料惊喜的,1.1,Direct VADER Included
superlative,superlative,11,顶级极致赞赏的,0.0,Raw VADER Missed (0 Score)
sketchy,sketchy,11,令人不安可疑的,0.0,Raw VADER Missed (0 Score)
slick,slick,11,熟练专业/光滑的,0.0,Raw VADER Missed (0 Score)
rewarding,rewarding,11,非常有成就感/物超所值的,2.4,Direct VADER Included
nervousness,nervousness,11,紧张不安的情绪,-1.2,Direct VADER Included
mad,mad,11,发怒的 / 生气的,-2.2,Direct VADER Included
inviting,inviting,11,引人入胜令人愉悦的,1.3,Direct VADER Included
cheesy,cheesy,11,俗气的 / 劣质的,0.0,Raw VADER Missed (0 Score)
admire,admire,11,钦佩赞赏,2.1,Direct VADER Included
mesmerized,mesmerized,10,被深深吸引迷住的,0.0,Raw VADER Missed (0 Score)
unfortunate,unfortunate,10,不幸遗憾的,-2.0,Direct VADER Included
stunningly,stunningly,10,令人震撼地,0.0,Raw VADER Missed (0 Score)
stunned,stunned,10,感到目瞪口呆震撼的,-0.4,Direct VADER Included
stability,stability,10,平稳安心感,0.0,Raw VADER Missed (0 Score)
raving,raving,10,赞不绝口极力推荐的,0.0,Raw VADER Missed (0 Score)
quaint,quaint,10,古朴宜人的,0.0,Raw VADER Missed (0 Score)
wonderfull,wonderful,10,令人惊叹绝妙的 (错别字变体),0.0,Raw VADER Missed (0 Score)
jealous,jealous,10,令人羡慕嫉妒的,-2.0,Direct VADER Included
improving,improving,10,不断改善令人满意的,1.8,Direct VADER Included
improvement,improvement,10,体验改善 / 提升,2.0,Direct VADER Included
friendlier,friendlier,10,更加亲切友好的,2.0,Direct VADER Included
emotional,emotional,10,情感上的 / 动情的,0.6,Direct VADER Included
ecstatic,ecstatic,10,狂喜的 / 极度兴奋的,2.3,Direct VADER Included
conscientious,conscientious,10,认真负责的,0.0,Raw VADER Missed (0 Score)
badly,badly,10,严重地 / 糟糕地,-2.1,Direct VADER Included
unspoiled,unspoiled,9,未经破坏原始纯粹的,0.0,Raw VADER Missed (0 Score)
terribly,terribly,9,极度负面地 / 抱歉,-2.6,Direct VADER Included
susceptible,susceptible,9,易受影响脆弱的,0.0,Raw VADER Missed (0 Score)
stuffed,stuffed,9,塞满的 / 憋闷不适的,0.0,Raw VADER Missed (0 Score)
miserable,miserable,9,极度痛苦糟糕的,-2.2,Direct VADER Included
hassles,hassles,9,烦心事 / 摩擦,0.0,Raw VADER Missed (0 Score)
effortless,effortless,9,轻松平稳的,0.0,Raw VADER Missed (0 Score)
compliment,compliment,9,赞美 / 赞赏评价,2.1,Direct VADER Included
claustrophobia,claustrophobia,9,幽闭恐惧症（密闭机舱焦虑）,0.0,Raw VADER Missed (0 Score)
cheerfully,cheerfully,9,欢快愉悦地,2.1,Direct VADER Included
bummer,bummer,9,令人扫兴扫兴的事,-1.6,Direct VADER Included
awkward,awkward,9,尴尬的 / 别扭的,-0.6,Direct VADER Included
automatically,automatically,9,自动地 / 自然而然,0.0,Raw VADER Missed (0 Score)
mindful,mindful,8,细心周到的,0.0,Raw VADER Missed (0 Score)
yummy,yummy,8,美味愉悦的,2.4,Direct VADER Included
unstable,unstable,8,不稳定摇晃令人担心的,-1.5,Direct VADER Included
spoiled,spoiled,8,好心情被破坏毁掉的,0.0,Raw VADER Missed (0 Score)
shocked,shocked,8,感到震惊惊吓的,-1.3,Direct VADER Included
poorly,poorly,8,糟糕地 / 差劲地,0.0,Raw VADER Missed (0 Score)
nerve,nerve,8,紧张神经,0.0,Raw VADER Missed (0 Score)
grace,grace,8,优雅 / 良好风度,1.8,Direct VADER Included
frustration,frustration,8,挫败感 / 烦恼,-2.1,Direct VADER Included
frightened,frightened,8,感到受惊吓害怕的,-1.9,Direct VADER Included
exhilaration,exhilaration,8,极度兴奋快感,0.0,Raw VADER Missed (0 Score)
exhausted,exhausted,8,精疲力竭极为疲惫的,-1.5,Direct VADER Included
dissapointed,disappointed,8,感到失望的（错别字变体）,0.0,Raw VADER Missed (0 Score)
cherished,cherish,8,珍视铭记的,2.3,Direct VADER Included
annoyed,annoyed,8,感到烦恼的 / 恼火的,-1.6,Direct VADER Included
strange,strange,7,怪异不安的,-0.8,Direct VADER Included
reputable,reputable,7,信誉良好的,0.0,Raw VADER Missed (0 Score)
ridiculous,ridiculous,7,荒谬的 / 离谱的,-1.5,Direct VADER Included
rudely,rudely,7,粗鲁地 / 无礼地,-2.2,Direct VADER Included
serenity,serenity,7,宁静 / 祥和,0.0,Raw VADER Missed (0 Score)
relieved,relieved,7,宽慰的 / 松了一口气,1.6,Direct VADER Included
suffered,suffered,7,遭受身体/晕眩痛苦,-2.2,Direct VADER Included
unhappy,unhappy,7,不高兴不满意的,-1.8,Direct VADER Included
unpleasant,unpleasant,7,令人不快令人难受的,-2.1,Direct VADER Included
powerful,powerful,7,强烈的 / 感人的,1.8,Direct VADER Included
worrying,worry,7,令人担心的,-1.4,Direct VADER Included
weird,weird,7,古怪令人不安的,-0.7,Direct VADER Included
painful,painful,7,痛苦的 / 令人难受的,-1.9,Direct VADER Included
panic,panic,7,恐慌 / 惊恐状态,-2.3,Direct VADER Included
laughter,laughter,7,欢笑 / 笑声,2.2,Direct VADER Included
hopeful,hopeful,7,怀抱希望的,2.3,Direct VADER Included
hesitating,hesitating,7,犹豫顾虑（心理活动）,-1.4,Direct VADER Included
gushing,gushing,7,滔滔不绝赞赞称道的,0.0,Raw VADER Missed (0 Score)
exhilerating,exhilarating,7,令人兴奋刺激酣畅地（错别字变体）,0.0,Raw VADER Missed (0 Score)
enthusiastically,enthusiastically,7,热情高涨地,2.6,Direct VADER Included
curious,curious,7,好奇求知的,1.3,Direct VADER Included
confusion,confusion,7,困惑 / 混乱,-1.2,Direct VADER Included
classy,classy,7,高端优雅的,1.9,Direct VADER Included
captivated,captivated,7,被深深吸引着迷的,1.6,Direct VADER Included
alas,alas,7,唉 / 遗憾的是,-1.1,Direct VADER Included
reassurance,reassurance,6,令人放心的安抚感,1.5,Direct VADER Included
inspirational,inspirational,6,鼓舞人心的,2.3,Direct VADER Included
jovial,jovial,6,欢快风趣的,1.9,Direct VADER Included
precision,precision,6,精准靠谱的,0.0,Raw VADER Missed (0 Score)
gratitude,gratitude,6,感激 / 感恩,2.3,Direct VADER Included
relief,relief,6,轻松如释重负感,2.1,Direct VADER Included
sublime,sublime,6,崇高壮丽绝美的（Aesthetic Emotion/Awe）,0.0,Raw VADER Missed (0 Score)
timid,timid,6,胆怯害羞的,-1.0,Direct VADER Included
warmest,warmest,6,最暖心亲切的,1.7,Direct VADER Included
hug,hug,6,拥抱 / 温暖关怀,2.1,Direct VADER Included
amaze,amaze,6,使惊叹 / 惊奇,2.5,Direct VADER Included
frightening,frightening,6,令人惊恐吓人的,-2.2,Direct VADER Included
calmer,calmer,6,更平静安心的,1.5,Direct VADER Included
appropriately,appropriately,6,恰当地 / 贴心地,0.0,Raw VADER Missed (0 Score)
blind,blind,6,盲目的 / 视线受阻的,-1.7,Direct VADER Included
broad,broad,6,宽广的,0.0,Raw VADER Missed (0 Score)
fascinated,fascinated,6,深深入迷为之倾倒的,2.1,Direct VADER Included
casual,casual,6,随和轻松的,0.8,Direct VADER Included
discouraged,discouraged,6,感到灰心气馁的,-1.7,Direct VADER Included
enthralled,enthralled,6,被深深吸引迷住的,0.0,Raw VADER Missed (0 Score)
joyful,joyful,5,充满喜悦欢快的,2.9,Direct VADER Included
wowed,wowed,5,被深深惊叹震撼的,2.6,Direct VADER Included
suprise,surprise,5,惊喜 / 意料之外（错别字变体）,0.0,Raw VADER Missed (0 Score)
stressful,stressful,5,令人压力重重焦虑的（Stress/Anxiety State）,-2.3,Direct VADER Included
shock,shock,5,震惊 / 冲击,-1.6,Direct VADER Included
scare,scare,5,吓人 / 引发恐慌的,-2.2,Direct VADER Included
overwhelmingly,overwhelmingly,5,压倒性震撼地,-0.5,Direct VADER Included
marveled,marvel,5,惊叹赞赏的,0.0,Raw VADER Missed (0 Score)
luscious,luscious,5,秀美令人心旷神怡的,0.0,Raw VADER Missed (0 Score)
pity,pity,5,遗憾 / 同情怜悯,-1.2,Direct VADER Included
jitters,jitters,5,忐忑不安 / 紧张发抖感,0.0,Raw VADER Missed (0 Score)
hates,hate,5,厌恶 / 讨厌,-1.9,Direct VADER Included
hated,hate,5,讨厌 / 极为憎恶的,-3.2,Direct VADER Included
gloomy,gloomy,5,阴沉的 / 沮丧的,-0.6,Direct VADER Included
faultless,faultless,5,无可挑剔完美的,2.0,Direct VADER Included
envy,envy,5,羡慕 / 嫉妒,-1.1,Direct VADER Included
comforted,comforted,5,感到安慰安心的,1.8,Direct VADER Included
apprehension,apprehension,5,忧虑 / 疑虑不安,-2.1,Direct VADER Included
intimidating,intimidating,5,令人胆怯令人畏惧的,-1.9,Direct VADER Included
tranquil,tranquil,4,清幽宁静的（Calmness/Serenity State）,0.2,Direct VADER Included
spellbinding,spellbinding,4,扣人心弦迷人的,0.0,Raw VADER Missed (0 Score)
spellbound,spellbound,4,出神为之入迷的,0.0,Raw VADER Missed (0 Score)
stoked,stoked,4,极为激动期待的,0.0,Raw VADER Missed (0 Score)
subtle,subtle,4,微妙精细的,0.0,Raw VADER Missed (0 Score)
suprised,surprised,4,感到惊喜惊讶的（错别字变体）,0.0,Raw VADER Missed (0 Score)
thrills,thrills,4,刺激 / 快感,1.5,Direct VADER Included
unnerving,unnerving,4,令人发慌不安吓人的,0.0,Raw VADER Missed (0 Score)
tranquility,tranquility,4,宁静 / 平和,1.8,Direct VADER Included
underwhelmed,underwhelmed,4,大失所望未达预期的,0.0,Raw VADER Missed (0 Score)
unfair,unfair,4,不公平的 / 冤枉的,-2.1,Direct VADER Included
unfriendly,unfriendly,4,不友善的,-1.5,Direct VADER Included
wicked,wicked,4,太棒了 / 绝妙的,-2.4,Direct VADER Included
wildest,wildest,4,最疯狂的（狂想）,0.0,Raw VADER Missed (0 Score)
profound,profound,4,深刻震撼的,0.0,Raw VADER Missed (0 Score)
regretting,regret,4,感到后悔遗憾的,-1.7,Direct VADER Included
nasty,nasty,4,令人厌恶的 / 恶劣的,-2.6,Direct VADER Included
pleasing,pleasing,4,令人愉悦满意的,2.4,Direct VADER Included
frustrated,frustrated,4,感到沮丧的 / 挫败的,-2.4,Direct VADER Included
captivating,captivating,4,扣人心弦引人入胜的,0.0,Raw VADER Missed (0 Score)
phobia,phobia,4,恐惧症 / 恐高心理,-1.6,Direct VADER Included
disconcerting,disconcerting,4,令人不安的,0.0,Raw VADER Missed (0 Score)
dreaded,dread,4,令人害怕恐惧的 / 提心吊胆,-2.7,Direct VADER Included
dreading,dread,4,感到十分恐惧担心的,-2.4,Direct VADER Included
emotion,emotion,4,情感 / 情绪,0.0,Raw VADER Missed (0 Score)
exhilarated,exhilarated,4,感到无比兴奋酣畅的,3.0,Direct VADER Included
embarrassed,embarrassed,4,感到尴尬难堪的,-1.5,Direct VADER Included
giddy,giddy,4,兴奋得头晕目眩欢欣的,-0.6,Direct VADER Included
hungry,hungry,4,贪婪的（money hungry）,0.0,Raw VADER Missed (0 Score)
irritated,irritated,4,感到恼火烦躁的,-2.0,Direct VADER Included
irritating,irritating,4,令人烦躁恼火的,-2.0,Direct VADER Included
ominous,ominous,4,不详的 / 不妙的,-1.4,Direct VADER Included
peacefulness,peacefulness,4,宁静详和感,2.1,Direct VADER Included
reassure,reassure,3,使人感到安心放心的,1.4,Direct VADER Included
heartfelt,heartfelt,3,真挚的 / 出自内心的,2.5,Direct VADER Included
horribly,horrible,3,糟糕恐怖地,-2.4,Direct VADER Included
incomprehensible,incomprehensible,3,难以理解令人困惑的,0.0,Raw VADER Missed (0 Score)
indulge,indulge,3,尽情享受 / 犒劳自己,0.0,Raw VADER Missed (0 Score)
joking,joking,3,开玩笑的,0.9,Direct VADER Included
marvelously,marvelously,3,奇妙极其出色地,0.0,Raw VADER Missed (0 Score)
overjoyed,overjoyed,3,欣喜若狂的,2.7,Direct VADER Included
peacefully,peacefully,3,宁静和平地,2.4,Direct VADER Included
sympathy,sympathy,3,同情 / 体谅,1.5,Direct VADER Included
remorse,remorse,3,懊悔 / 悔恨,-1.1,Direct VADER Included
rickety,rickety,3,摇摇欲坠的,0.0,Raw VADER Missed (0 Score)
scaring,scare,3,使人害怕恐惧的,-1.9,Direct VADER Included
securely,securely,3,安全平稳地,1.4,Direct VADER Included
sickening,sickening,3,令人作呕恶心的,-2.4,Direct VADER Included
spoilt,spoilt,3,被破坏败兴的,0.0,Raw VADER Missed (0 Score)
uneasiness,uneasiness,3,不安 / 忐忑感,-1.6,Direct VADER Included
unsettled,unsettled,3,心神不宁忐忑的,-1.3,Direct VADER Included
happiness,happiness,3,幸福快乐感,2.6,Direct VADER Included
harrowing,harrowing,3,令人触目惊心惊恐的,0.0,Raw VADER Missed (0 Score)
curiosity,curiosity,3,好奇心 / 探索欲,0.0,Raw VADER Missed (0 Score)
guilty,guilty,3,内疚内疚感,-1.8,Direct VADER Included
carefree,carefree,3,无忧无虑自在的,1.7,Direct VADER Included
ecstasy,ecstasy,3,狂喜 / 极乐状态,2.9,Direct VADER Included
aggressively,aggressively,3,挑衅攻击地 / 极其恶劣地,-1.3,Direct VADER Included
ambivalent,ambivalent,3,矛盾复杂心理的,0.5,Direct VADER Included
apprehensions,apprehension,3,顾虑 / 忧虑不安,-0.9,Direct VADER Included
aprehensive,apprehensive,3,感到忧虑不安的（错别字变体）,0.0,Raw VADER Missed (0 Score)
astonished,astonished,3,感到十分惊异惊叹的,1.6,Direct VADER Included
beneficial,beneficial,3,有益的 / 有帮助的,1.9,Direct VADER Included
candid,candid,3,坦率真诚的,0.0,Raw VADER Missed (0 Score)
astounded,astounded,3,感到十分震惊震撼的,1.8,Direct VADER Included
cheer,cheer,3,振奋 / 欢呼,2.3,Direct VADER Included
deaf,deaf,3,听而不闻冷漠的（fell on deaf ears）,0.0,Raw VADER Missed (0 Score)
dreaming,dreaming,3,梦寐以求 / 心驰神往,0.0,Raw VADER Missed (0 Score)
compassion,compassion,3,同理心 / 关切,2.0,Direct VADER Included
disappointingly,disappointed,3,令人失望地,-1.9,Direct VADER Included
dissatisfied,dissatisfied,3,感到不满意的,-1.6,Direct VADER Included
dazzled,dazzled,3,目眩神迷震撼的,0.0,Raw VADER Missed (0 Score)
daunting,daunting,3,令人望而生畏胆怯的,0.0,Raw VADER Missed (0 Score)
compassionate,compassionate,3,富有同理心体贴的,2.2,Direct VADER Included
humility,humility,2,谦逊贴心,0.0,Raw VADER Missed (0 Score)
threaten,threaten,2,受到威胁/令人不安的,-1.6,Direct VADER Included
suffering,suffering,2,受苦受难不适,-2.1,Direct VADER Included
squeamish,squeamish,2,胆怯恶心体质易受惊的,0.0,Raw VADER Missed (0 Score)
rigid,rigid,2,刻板不近人情的,-0.5,Direct VADER Included
pumped,pumped,2,兴奋激动的 / 跃跃欲试,0.0,Raw VADER Missed (0 Score)
positively,positively,2,积极正面地,2.4,Direct VADER Included
offensive,offensive,2,冒犯的 / 令人不适的,-2.0,Direct VADER Included
primo,primo,2,一流的 / 顶级的,0.0,Raw VADER Missed (0 Score)
favourable,favourable,2,有利的 / 良好的,0.0,Raw VADER Missed (0 Score)
desperate,desperate,2,感到绝望迫切的,-1.3,Direct VADER Included
darling,darling,2,可爱的 / 亲切的,2.8,Direct VADER Included
compliant,compliant,2,顺从的 / 合规安心的,0.0,Raw VADER Missed (0 Score)
clever,clever,2,聪明睿智的,2.0,Direct VADER Included
bothering,bothering,2,打扰令人烦心的,-1.6,Direct VADER Included
animated,animated,2,生动的 / 活力充沛的,0.0,Raw VADER Missed (0 Score)
agreeable,agreeable,2,宜人的 / 令人满意的,1.8,Direct VADER Included
exhausting,exhausting,2,令人筋疲力尽的,-1.5,Direct VADER Included
shady,shady,1,可疑不诚信的,0.0,Raw VADER Missed (0 Score)
quell,quell,1,镇定 / 平息（恐惧）,0.0,Raw VADER Missed (0 Score)
racist,racist,1,种族歧视的,-3.0,Direct VADER Included
regrettably,regrettably,1,遗憾地 / 抱歉,-2.0,Direct VADER Included
reward,reward,1,赏心悦目的奖赏体验,2.7,Direct VADER Included
wasbeautiful,wasbeautiful,1,美丽动人的（美感）,0.0,Raw VADER Missed (0 Score)
truthful,truthful,1,真实可信的,2.0,Direct VADER Included
ungodly,ungodly,1,糟糕恶劣的,0.0,Raw VADER Missed (0 Score)
unwell,unwell,1,身体不适的,0.0,Raw VADER Missed (0 Score)
immeasurable,immeasurable,1,无法估量的 / 极致的,0.0,Raw VADER Missed (0 Score)
whelmed,whelmed,1,被深深震撼淹没的,0.0,Raw VADER Missed (0 Score)
worthful,worthful,1,物有所值的,0.0,Raw VADER Missed (0 Score)
miraculously,miraculously,1,奇迹般地,0.0,Raw VADER Missed (0 Score)
grumpy,grumpy,1,脾气暴躁的 / 不悦的,0.0,Raw VADER Missed (0 Score)
hostile,hostile,1,敌意的 / 恶劣的,-1.6,Direct VADER Included
hazardous,hazardous,1,危险的 / 有隐患的,0.0,Raw VADER Missed (0 Score)
harsh,harsh,1,严酷恶劣的,-1.9,Direct VADER Included
grandest,grandest,1,最宏大的 / 极其壮丽的,2.4,Direct VADER Included
gloom,gloom,1,阴郁忧伤,-2.6,Direct VADER Included
flaky,flaky,1,不靠谱的 / 经常取消的,0.0,Raw VADER Missed (0 Score)
disrespectful,disrespectful,1,无礼的 / 冒犯的,0.0,Raw VADER Missed (0 Score)
dismay,dismay,1,感到沮丧吃惊,-1.8,Direct VADER Included
decency,decency,1,礼貌体面 / 服务缺乏礼貌体面,0.0,Raw VADER Missed (0 Score)
bluntly,bluntly,1,直言不讳地,0.0,Raw VADER Missed (0 Score)
bluest,bluest,1,最湛蓝的（极致景色）,0.0,Raw VADER Missed (0 Score)
askance,askance,1,怀疑斜视地（不信任）,0.0,Raw VADER Missed (0 Score)
zing,zing,1,刺激快感,0.0,Raw VADER Missed (0 Score)
