word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
kindly,kindly,30,体贴友善地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unbelievably,unbelievably,29,难以置信地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stellar,stellar,29,璀璨顶尖级的,0. Direct NRC,Direct NRC Included (358 Words)
pure,pure,29,纯粹的 / 纯净震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
interactive,interactive,29,互动性强的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
delighted,delighted,29,高高兴兴的,0. Direct NRC,Direct NRC Included (358 Words)
convinced,convinced,29,深信不疑的 / 心服口服,0. Direct NRC,Direct NRC Included (358 Words)
chatty,chatty,29,健谈热情的,0. Direct NRC,Direct NRC Included (358 Words)
gladly,gladly,29,乐意地 / 高兴地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
boring,boring,28,令人无聊乏味的,0. Direct NRC,Direct NRC Included (358 Words)
sad,sad,28,悲伤的 / 遗憾痛心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
serene,serene,28,宁静祥和的,0. Direct NRC,Direct NRC Included (358 Words)
splendor,splendor,27,壮丽辉煌的奇观,0. Direct NRC,Direct NRC Included (358 Words)
peace,peace,27,宁静 / 和平,0. Direct NRC,Direct NRC Included (358 Words)
regrets,regrets,27,遗憾 / 后悔,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
aside,aside,27,撇开 / 排除,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
eager,eager,27,热切的 / 渴望的,0. Direct NRC,Direct NRC Included (358 Words)
comforting,comforting,27,令人感到安慰抚慰的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bang,bang,26,物超所值（bang for buck）,0. Direct NRC,Direct NRC Included (358 Words)
basic,basic,26,基础的 / 简陋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cramped,cramped,26,拥挤狭窄不适的,0. Direct NRC,Direct NRC Included (358 Words)
hate,hate,26,憎恨 / 讨厌,0. Direct NRC,Direct NRC Included (358 Words)
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
upset,upset,26,感到沮丧难过的,0. Direct NRC,Direct NRC Included (358 Words)
bump,bump,25,颠簸不适的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
communicative,communicative,25,善于沟通的,0. Direct NRC,Direct NRC Included (358 Words)
dangerous,dangerous,25,危险的,0. Direct NRC,Direct NRC Included (358 Words)
ill,ill,25,生病的 / 恶心呕吐的,0. Direct NRC,Direct NRC Included (358 Words)
laughing,laughing,25,欢声笑语 / 开心大笑,0. Direct NRC,Direct NRC Included (358 Words)
inclement,inclement,24,恶劣的气候,0. Direct NRC,Direct NRC Included (358 Words)
magnificence,magnificence,24,壮丽震撼感,0. Direct NRC,Direct NRC Included (358 Words)
impeccable,impeccable,23,无可挑剔的,0. Direct NRC,Direct NRC Included (358 Words)
talkative,talkative,23,健谈热情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
horrible,horrible,23,极度糟糕可怕的,0. Direct NRC,Direct NRC Included (358 Words)
shining,shining,22,璀璨夺目的,0. Direct NRC,Direct NRC Included (358 Words)
calmed,calmed,22,心情平静安稳下来的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
talented,talented,22,才华横溢精湛的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
skeptical,skeptical,22,怀疑的 / 存疑的,0. Direct NRC,Direct NRC Included (358 Words)
tough,tough,22,严苛倒霉的,0. Direct NRC,Direct NRC Included (358 Words)
lasting,lasting,22,持久的 / 深刻的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fearful,fearful,22,恐惧的 / 担心的,0. Direct NRC,Direct NRC Included (358 Words)
favourite,favourite,22,最喜爱的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bummed,bummed,21,感到扫兴遗憾失落的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
mild,mild,21,轻微适度的（颠簸/舒适）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
refreshing,refreshing,21,令人神清气爽耳目一新的,0. Direct NRC,Direct NRC Included (358 Words)
spoil,spoil,21,破坏 / 毁掉（好心情）,0. Direct NRC,Direct NRC Included (358 Words)
surprises,surprise,21,惊喜 / 意料之外,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
unbeatable,unbeatable,21,无可比拟的 / 无敌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
successful,successful,20,成功的 / 满意的,0. Direct NRC,Direct NRC Included (358 Words)
mood,mood,20,心情 / 情绪,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
spiritual,spiritual,20,精神神圣的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
cheerful,cheerful,20,欢快愉悦的,0. Direct NRC,Direct NRC Included (358 Words)
amusing,amusing,20,风趣风趣令人发笑的,0. Direct NRC,Direct NRC Included (358 Words)
astonishing,astonishing,20,令人惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exquisite,exquisite,19,精美的 / 绝妙的,0. Direct NRC,Direct NRC Included (358 Words)
suitable,suitable,19,合适的 / 满意的,0. Direct NRC,Direct NRC Included (358 Words)
inspired,inspired,19,灵感大发 / 深受震撼的,0. Direct NRC,Direct NRC Included (358 Words)
touching,touching,19,令人动容流泪的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comfy,comfy,19,舒适惬意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
chilly,chilly,19,寒冷不适的,0. Direct NRC,Direct NRC Included (358 Words)
awestruck,awestruck,19,充满敬畏震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
handy,handy,18,实用的 / 贴心的,0. Direct NRC,Direct NRC Included (358 Words)
wondered,wonder,18,感到惊奇惊叹 (动词变体),2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
witty,witty,18,风趣幽默的,0. Direct NRC,Direct NRC Included (358 Words)
soothing,soothing,18,舒缓抚慰人心的,0. Direct NRC,Direct NRC Included (358 Words)
secret,secret,18,秘境 / 私密独享感,0. Direct NRC,Direct NRC Included (358 Words)
marvel,marvel,18,惊叹 / 奇迹,0. Direct NRC,Direct NRC Included (358 Words)
keen,keen,18,热情的 / 敏锐的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
honesty,honesty,18,真诚 / 诚信解说,0. Direct NRC,Direct NRC Included (358 Words)
smart,smart,18,聪慧的 / 明智的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
haha,haha,18,哈哈（欢快情绪）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
easiest,easiest,18,最省心的 / 最容易的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
danger,danger,18,危险 / 威胁,0. Direct NRC,Direct NRC Included (358 Words)
amazement,amazement,18,惊叹 / 惊奇,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
chill,chill,18,惬意轻松的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
charm,charm,18,顺畅 / 令人满意,0. Direct NRC,Direct NRC Included (358 Words)
astounding,astounding,18,令人无比震撼惊叹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
effective,effective,18,有效划算的,0. Direct NRC,Direct NRC Included (358 Words)
hopes,hopes,17,期盼 / 希望,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
overwhelmed,overwhelmed,17,被震撼/感动深深淹没的,0. Direct NRC,Direct NRC Included (358 Words)
valuable,valuable,17,珍贵的 / 有价值的,0. Direct NRC,Direct NRC Included (358 Words)
energetic,energetic,17,精力充沛的,0. Direct NRC,Direct NRC Included (358 Words)
discomfort,discomfort,17,身体/心理不适感,0. Direct NRC,Direct NRC Included (358 Words)
cordial,cordial,17,热情亲切礼貌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
claustrophobic,claustrophobic,16,感到幽闭恐惧压抑的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
insane,insane,16,疯狂震撼的 / 极端的,0. Direct NRC,Direct NRC Included (358 Words)
leery,leery,16,提防警惕 / 顾虑重重的,0. Direct NRC,Direct NRC Included (358 Words)
loving,loving,16,热爱的 / 充满了爱的,0. Direct NRC,Direct NRC Included (358 Words)
sensational,sensational,16,绝佳轰动震撼的,0. Direct NRC,Direct NRC Included (358 Words)
sudden,sudden,16,突然的 / 猝不及防的,0. Direct NRC,Direct NRC Included (358 Words)
uncertain,uncertain,16,不确定的 / 顾虑的,0. Direct NRC,Direct NRC Included (358 Words)
worthy,worthy,16,非常值的 / 值得的,0. Direct NRC,Direct NRC Included (358 Words)
hilarious,hilarious,15,爆笑幽默搞笑的,0. Direct NRC,Direct NRC Included (358 Words)
warmth,warmth,15,温暖安心感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unprofessional,unprofessional,15,不专业的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
respectful,respectful,15,充满敬意的,0. Direct NRC,Direct NRC Included (358 Words)
immaculate,immaculate,15,完美无瑕洁净的,0. Direct NRC,Direct NRC Included (358 Words)
annoying,annoying,15,令人烦躁恼火的（Annoyance/Irritation Emotion）,0. Direct NRC,Direct NRC Included (358 Words)
fuss,fuss,15,大惊小怪 / 争吵骚动,0. Direct NRC,Direct NRC Included (358 Words)
awful,awful,15,极其糟糕的,0. Direct NRC,Direct NRC Included (358 Words)
awed,awed,15,感到为之肃然起敬震撼的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
bubbly,bubbly,15,活泼热情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
praise,praise,14,称赞 / 高度赞扬,0. Direct NRC,Direct NRC Included (358 Words)
trustworthy,trustworthy,14,值得信赖靠谱的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
satisfaction,satisfaction,14,满意感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ruined,ruined,14,毁掉行程的 / 扫兴糟心的,0. Direct NRC,Direct NRC Included (358 Words)
proud,proud,14,感到自豪骄傲的,0. Direct NRC,Direct NRC Included (358 Words)
marvellous,marvellous,14,令人叹为观止的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
intrusive,intrusive,14,突兀扰人的 / 煞风景的,0. Direct NRC,Direct NRC Included (358 Words)
glowing,glowing,14,极度赞赏口碑极佳的,0. Direct NRC,Direct NRC Included (358 Words)
frustrating,frustrating,14,令人挫败的 / 烦人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bothered,bothered,14,困扰的 / 烦心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
authentic,authentic,14,地道的 / 真实无伪的,0. Direct NRC,Direct NRC Included (358 Words)
tricky,tricky,13,棘手不安的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
worldly,worldly,13,超凡脱俗的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
vibrant,vibrant,13,生机勃勃色彩斑斓的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
uneasy,uneasy,13,心神不宁感到不安的,0. Direct NRC,Direct NRC Included (358 Words)
precious,precious,13,弥足珍贵的 memory,0. Direct NRC,Direct NRC Included (358 Words)
safest,safest,13,最安全平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
responsible,responsible,13,负责任的,0. Direct NRC,Direct NRC Included (358 Words)
pleasurable,pleasurable,13,令人愉快的,0. Direct NRC,Direct NRC Included (358 Words)
apologetic,apologetic,13,诚恳抱歉致歉的,0. Direct NRC,Direct NRC Included (358 Words)
bored,bored,12,感到无聊厌烦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
soaking,soaking,12,沉浸于（soaking in view）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stuffy,stuffy,12,闷热不适的（体感不适）,0. Direct NRC,Direct NRC Included (358 Words)
superbly,superbly,12,出类拔萃完美地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wondrous,wondrous,12,惊叹奇妙的,0. Direct NRC,Direct NRC Included (358 Words)
satisfying,satisfying,11,令人称心满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
wary,wary,11,警惕顾虑的,0. Direct NRC,Direct NRC Included (358 Words)
trepidation,trepidation,11,惊恐战栗 / 不安,0. Direct NRC,Direct NRC Included (358 Words)
surprising,surprising,11,令人出乎意料惊喜的,0. Direct NRC,Direct NRC Included (358 Words)
superlative,superlative,11,顶级极致赞赏的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
sketchy,sketchy,11,令人不安可疑的,0. Direct NRC,Direct NRC Included (358 Words)
slick,slick,11,熟练专业/光滑的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
rewarding,rewarding,11,非常有成就感/物超所值的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
nervousness,nervousness,11,紧张不安的情绪,0. Direct NRC,Direct NRC Included (358 Words)
mad,mad,11,发怒的 / 生气的,0. Direct NRC,Direct NRC Included (358 Words)
inviting,inviting,11,引人入胜令人愉悦的,0. Direct NRC,Direct NRC Included (358 Words)
cheesy,cheesy,11,俗气的 / 劣质的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
admire,admire,11,钦佩赞赏,0. Direct NRC,Direct NRC Included (358 Words)
mesmerized,mesmerized,10,被深深吸引迷住的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unfortunate,unfortunate,10,不幸遗憾的,0. Direct NRC,Direct NRC Included (358 Words)
stunningly,stunningly,10,令人震撼地,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
stunned,stunned,10,感到目瞪口呆震撼的,0. Direct NRC,Direct NRC Included (358 Words)
stability,stability,10,平稳安心感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
raving,raving,10,赞不绝口极力推荐的,0. Direct NRC,Direct NRC Included (358 Words)
quaint,quaint,10,古朴宜人的,0. Direct NRC,Direct NRC Included (358 Words)
wonderfull,wonderful,10,令人惊叹绝妙的 (错别字变体),1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
jealous,jealous,10,令人羡慕嫉妒的,0. Direct NRC,Direct NRC Included (358 Words)
improving,improving,10,不断改善令人满意的,0. Direct NRC,Direct NRC Included (358 Words)
improvement,improvement,10,体验改善 / 提升,0. Direct NRC,Direct NRC Included (358 Words)
friendlier,friendlier,10,更加亲切友好的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
emotional,emotional,10,情感上的 / 动情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
ecstatic,ecstatic,10,狂喜的 / 极度兴奋的,0. Direct NRC,Direct NRC Included (358 Words)
conscientious,conscientious,10,认真负责的,0. Direct NRC,Direct NRC Included (358 Words)
badly,badly,10,严重地 / 糟糕地,0. Direct NRC,Direct NRC Included (358 Words)
unspoiled,unspoiled,9,未经破坏原始纯粹的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
terribly,terribly,9,极度负面地 / 抱歉,0. Direct NRC,Direct NRC Included (358 Words)
susceptible,susceptible,9,易受影响脆弱的,0. Direct NRC,Direct NRC Included (358 Words)
stuffed,stuffed,9,塞满的 / 憋闷不适的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
miserable,miserable,9,极度痛苦糟糕的,0. Direct NRC,Direct NRC Included (358 Words)
hassles,hassles,9,烦心事 / 摩擦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
effortless,effortless,9,轻松平稳的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
compliment,compliment,9,赞美 / 赞赏评价,0. Direct NRC,Direct NRC Included (358 Words)
claustrophobia,claustrophobia,9,幽闭恐惧症（密闭机舱焦虑）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
cheerfully,cheerfully,9,欢快愉悦地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
bummer,bummer,9,令人扫兴扫兴的事,0. Direct NRC,Direct NRC Included (358 Words)
awkward,awkward,9,尴尬的 / 别扭的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
automatically,automatically,9,自动地 / 自然而然,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
mindful,mindful,8,细心周到的,0. Direct NRC,Direct NRC Included (358 Words)
yummy,yummy,8,美味愉悦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unstable,unstable,8,不稳定摇晃令人担心的,0. Direct NRC,Direct NRC Included (358 Words)
spoiled,spoiled,8,好心情被破坏毁掉的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
shocked,shocked,8,感到震惊惊吓的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
poorly,poorly,8,糟糕地 / 差劲地,0. Direct NRC,Direct NRC Included (358 Words)
nerve,nerve,8,紧张神经,0. Direct NRC,Direct NRC Included (358 Words)
grace,grace,8,优雅 / 良好风度,0. Direct NRC,Direct NRC Included (358 Words)
frustration,frustration,8,挫败感 / 烦恼,0. Direct NRC,Direct NRC Included (358 Words)
frightened,frightened,8,感到受惊吓害怕的,0. Direct NRC,Direct NRC Included (358 Words)
exhilaration,exhilaration,8,极度兴奋快感,0. Direct NRC,Direct NRC Included (358 Words)
exhausted,exhausted,8,精疲力竭极为疲惫的,0. Direct NRC,Direct NRC Included (358 Words)
dissapointed,disappointed,8,感到失望的（错别字变体）,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
cherished,cherish,8,珍视铭记的,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
annoyed,annoyed,8,感到烦恼的 / 恼火的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
strange,strange,7,怪异不安的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reputable,reputable,7,信誉良好的,0. Direct NRC,Direct NRC Included (358 Words)
ridiculous,ridiculous,7,荒谬的 / 离谱的,0. Direct NRC,Direct NRC Included (358 Words)
rudely,rudely,7,粗鲁地 / 无礼地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
serenity,serenity,7,宁静 / 祥和,0. Direct NRC,Direct NRC Included (358 Words)
relieved,relieved,7,宽慰的 / 松了一口气,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
suffered,suffered,7,遭受身体/晕眩痛苦,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unhappy,unhappy,7,不高兴不满意的,0. Direct NRC,Direct NRC Included (358 Words)
unpleasant,unpleasant,7,令人不快令人难受的,0. Direct NRC,Direct NRC Included (358 Words)
powerful,powerful,7,强烈的 / 感人的,0. Direct NRC,Direct NRC Included (358 Words)
worrying,worry,7,令人担心的,0. Direct NRC,Direct NRC Included (358 Words)
weird,weird,7,古怪令人不安的,0. Direct NRC,Direct NRC Included (358 Words)
painful,painful,7,痛苦的 / 令人难受的,0. Direct NRC,Direct NRC Included (358 Words)
panic,panic,7,恐慌 / 惊恐状态,0. Direct NRC,Direct NRC Included (358 Words)
laughter,laughter,7,欢笑 / 笑声,0. Direct NRC,Direct NRC Included (358 Words)
hopeful,hopeful,7,怀抱希望的,0. Direct NRC,Direct NRC Included (358 Words)
hesitating,hesitating,7,犹豫顾虑（心理活动）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
gushing,gushing,7,滔滔不绝赞赞称道的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
exhilerating,exhilarating,7,令人兴奋刺激酣畅地（错别字变体）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthusiastically,enthusiastically,7,热情高涨地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
curious,curious,7,好奇求知的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
confusion,confusion,7,困惑 / 混乱,0. Direct NRC,Direct NRC Included (358 Words)
classy,classy,7,高端优雅的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
captivated,captivated,7,被深深吸引着迷的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
alas,alas,7,唉 / 遗憾的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
reassurance,reassurance,6,令人放心的安抚感,0. Direct NRC,Direct NRC Included (358 Words)
inspirational,inspirational,6,鼓舞人心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
jovial,jovial,6,欢快风趣的,0. Direct NRC,Direct NRC Included (358 Words)
precision,precision,6,精准靠谱的,0. Direct NRC,Direct NRC Included (358 Words)
gratitude,gratitude,6,感激 / 感恩,0. Direct NRC,Direct NRC Included (358 Words)
relief,relief,6,轻松如释重负感,0. Direct NRC,Direct NRC Included (358 Words)
sublime,sublime,6,崇高壮丽绝美的（Aesthetic Emotion/Awe）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
timid,timid,6,胆怯害羞的,0. Direct NRC,Direct NRC Included (358 Words)
warmest,warmest,6,最暖心亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
hug,hug,6,拥抱 / 温暖关怀,0. Direct NRC,Direct NRC Included (358 Words)
amaze,amaze,6,使惊叹 / 惊奇,0. Direct NRC,Direct NRC Included (358 Words)
frightening,frightening,6,令人惊恐吓人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
calmer,calmer,6,更平静安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
appropriately,appropriately,6,恰当地 / 贴心地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
blind,blind,6,盲目的 / 视线受阻的,0. Direct NRC,Direct NRC Included (358 Words)
broad,broad,6,宽广的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
fascinated,fascinated,6,深深入迷为之倾倒的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
casual,casual,6,随和轻松的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
discouraged,discouraged,6,感到灰心气馁的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
enthralled,enthralled,6,被深深吸引迷住的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
joyful,joyful,5,充满喜悦欢快的,0. Direct NRC,Direct NRC Included (358 Words)
wowed,wowed,5,被深深惊叹震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
suprise,surprise,5,惊喜 / 意料之外（错别字变体）,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
stressful,stressful,5,令人压力重重焦虑的（Stress/Anxiety State）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
shock,shock,5,震惊 / 冲击,0. Direct NRC,Direct NRC Included (358 Words)
scare,scare,5,吓人 / 引发恐慌的,0. Direct NRC,Direct NRC Included (358 Words)
overwhelmingly,overwhelmingly,5,压倒性震撼地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
marveled,marvel,5,惊叹赞赏的,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
luscious,luscious,5,秀美令人心旷神怡的,0. Direct NRC,Direct NRC Included (358 Words)
pity,pity,5,遗憾 / 同情怜悯,0. Direct NRC,Direct NRC Included (358 Words)
jitters,jitters,5,忐忑不安 / 紧张发抖感,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
hates,hate,5,厌恶 / 讨厌,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
hated,hate,5,讨厌 / 极为憎恶的,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
gloomy,gloomy,5,阴沉的 / 沮丧的,0. Direct NRC,Direct NRC Included (358 Words)
faultless,faultless,5,无可挑剔完美的,0. Direct NRC,Direct NRC Included (358 Words)
envy,envy,5,羡慕 / 嫉妒,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
comforted,comforted,5,感到安慰安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
apprehension,apprehension,5,忧虑 / 疑虑不安,0. Direct NRC,Direct NRC Included (358 Words)
intimidating,intimidating,5,令人胆怯令人畏惧的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
tranquil,tranquil,4,清幽宁静的（Calmness/Serenity State）,0. Direct NRC,Direct NRC Included (358 Words)
spellbinding,spellbinding,4,扣人心弦迷人的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
spellbound,spellbound,4,出神为之入迷的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
stoked,stoked,4,极为激动期待的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
subtle,subtle,4,微妙精细的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
suprised,surprised,4,感到惊喜惊讶的（错别字变体）,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words)
thrills,thrills,4,刺激 / 快感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unnerving,unnerving,4,令人发慌不安吓人的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐
tranquility,tranquility,4,宁静 / 平和,0. Direct NRC,Direct NRC Included (358 Words)
underwhelmed,underwhelmed,4,大失所望未达预期的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words)
unfair,unfair,4,不公平的 / 冤枉的,0. Direct NRC,Direct NRC Included (358 Words)
