word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc8_emotions,nrc_polarities,nrc_all_tags
laughter,laughter,欢笑 / 笑声,Unclassified,E1_E2_Candidate,7,7,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
painful,painful,痛苦的 / 令人难受的,Unclassified,E1_E2_Candidate,7,6,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
panic,panic,恐慌 / 惊恐状态,Fear / Panic,E1_State (Direct Internal Affective State),7,6,fear,negative,"fear, negative"
powerful,powerful,强烈的 / 感人的,Unclassified,E1_E2_Candidate,7,7,"anger, anticipation, disgust, fear, joy, trust",positive,"anger, anticipation, disgust, fear, joy, positive, trust"
reputable,reputable,信誉良好的,Unclassified,E1_E2_Candidate,7,7,trust,positive,"positive, trust"
ridiculous,ridiculous,荒谬的 / 离谱的,Unclassified,E1_E2_Candidate,7,7,"anger, disgust",negative,"anger, disgust, negative"
serenity,serenity,宁静 / 祥和,Unclassified,E1_E2_Candidate,7,7,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
unhappy,unhappy,不高兴不满意的,Unclassified,E1_State (Direct Internal Affective State),7,7,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
unpleasant,unpleasant,令人不快令人难受的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,7,"disgust, sadness",negative,"disgust, negative, sadness"
weird,weird,古怪令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,7,disgust,negative,"disgust, negative"
worrying,worry,令人担心的,Anxiety / Worry,E2_Appraisal (Stimulus/Service Attribute),7,7,"anticipation, fear, sadness",negative,"anticipation, fear, negative, sadness"
amaze,amaze,使惊叹 / 惊奇,Amazement,E2_Appraisal (Stimulus/Service Attribute),6,5,surprise,,surprise
gratitude,gratitude,感激 / 感恩,Unclassified,E1_E2_Candidate,6,6,joy,positive,"joy, positive"
hug,hug,拥抱 / 温暖关怀,Unclassified,E1_E2_Candidate,6,5,"joy, trust",positive,"joy, positive, trust"
jovial,jovial,欢快风趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,joy,positive,"joy, positive"
reassurance,reassurance,令人放心的安抚感,Relief / Reassurance,E1_State (Direct Internal Affective State),6,6,trust,positive,"positive, trust"
timid,timid,胆怯害羞的,Fear / Nervousness,E1_State (Direct Internal Affective State),6,6,"fear, sadness",negative,"fear, negative, sadness"
apprehension,apprehension,忧虑 / 疑虑不安,Anxiety / Fear,E1_State (Direct Internal Affective State),5,4,fear,negative,"fear, negative"
faultless,faultless,无可挑剔完美的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,trust,positive,"positive, trust"
gloomy,gloomy,阴沉的 / 沮丧的,Unclassified,E1_E2_Candidate,5,4,sadness,negative,"negative, sadness"
hated,hate,讨厌 / 极为憎恶的,Anger / Dislike,E1_State (Direct Internal Affective State),5,5,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
hates,hate,厌恶 / 讨厌,Anger / Dislike,E1_State (Direct Internal Affective State),5,5,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
joyful,joyful,充满喜悦欢快的,Unclassified,E1_State (Direct Internal Affective State),5,5,"joy, trust",positive,"joy, positive, trust"
luscious,luscious,秀美令人心旷神怡的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,"anticipation, joy",positive,"anticipation, joy, positive"
marveled,marvel,惊叹赞赏的,Wonder / Awe,E1_State (Direct Internal Affective State),5,5,surprise,positive,"positive, surprise"
pity,pity,遗憾 / 同情怜悯,Pity / Sadness,E1_State (Direct Internal Affective State),5,5,sadness,,sadness
scare,scare,吓人 / 引发恐慌的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,"anger, anticipation, fear, surprise",negative,"anger, anticipation, fear, negative, surprise"
shock,shock,震惊 / 冲击,Surprise / Shock,E1_State (Direct Internal Affective State),5,5,"anger, fear, surprise",negative,"anger, fear, negative, surprise"
suprise,surprise,惊喜 / 意料之外（错别字变体）,Surprise,E1_State (Direct Internal Affective State),5,5,"fear, joy, surprise",positive,"fear, joy, positive, surprise"
dreaded,dread,令人害怕恐惧的 / 提心吊胆,Fear / Dread,E1_State (Direct Internal Affective State),4,4,"anticipation, fear",negative,"anticipation, fear, negative"
dreading,dread,感到十分恐惧担心的,Fear / Dread,E1_State (Direct Internal Affective State),4,4,"anticipation, fear",negative,"anticipation, fear, negative"
frustrated,frustrated,感到沮丧的 / 挫败的,Unclassified,E1_State (Direct Internal Affective State),4,4,anger,negative,"anger, negative"
hungry,hungry,贪婪的（money hungry）,Unclassified,E1_E2_Candidate,4,4,anticipation,negative,"anticipation, negative"
irritating,irritating,令人烦躁恼火的,Annoyance / Irritation,E2_Appraisal (Stimulus/Service Attribute),4,4,"anger, disgust",negative,"anger, disgust, negative"
nasty,nasty,令人厌恶的 / 恶劣的,Unclassified,E1_E2_Candidate,4,3,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
ominous,ominous,不详的 / 不妙的,Unclassified,E1_E2_Candidate,4,3,"anticipation, fear",negative,"anticipation, fear, negative"
regretting,regret,感到后悔遗憾的,Regret,E1_State (Direct Internal Affective State),4,4,sadness,negative,"negative, sadness"
suprised,surprised,感到惊喜惊讶的（错别字变体）,Surprise,E1_State (Direct Internal Affective State),4,4,surprise,,surprise
tranquil,tranquil,清幽宁静的（Calmness/Serenity State）,Unclassified,E1_State (Direct Internal Affective State),4,4,joy,positive,"joy, positive"
tranquility,tranquility,宁静 / 平和,Unclassified,E1_E2_Candidate,4,4,"joy, trust",positive,"joy, positive, trust"
unfair,unfair,不公平的 / 冤枉的,Unclassified,E1_E2_Candidate,4,3,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
unfriendly,unfriendly,不友善的,Unclassified,E1_E2_Candidate,4,4,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
wicked,wicked,太棒了 / 绝妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,4,fear,negative,"fear, negative"
apprehensions,apprehension,顾虑 / 忧虑不安,Anxiety / Fear,E1_State (Direct Internal Affective State),3,3,fear,negative,"fear, negative"
aprehensive,apprehensive,感到忧虑不安的（错别字变体）,Anxiety / Fear,E1_State (Direct Internal Affective State),3,3,"anticipation, fear",negative,"anticipation, fear, negative"
candid,candid,坦率真诚的,Unclassified,E1_E2_Candidate,3,3,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
cheer,cheer,振奋 / 欢呼,Unclassified,E1_E2_Candidate,3,3,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
compassion,compassion,同理心 / 关切,Compassion,E1_State (Direct Internal Affective State),3,3,fear,positive,"fear, positive"
curiosity,curiosity,好奇心 / 探索欲,Unclassified,E1_State (Direct Internal Affective State),3,3,"anticipation, surprise",positive,"anticipation, positive, surprise"
disappointingly,disappointed,令人失望地,Disappointment,E2_Appraisal (Stimulus/Service Attribute),3,3,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
ecstasy,ecstasy,狂喜 / 极乐状态,Intense Joy,E1_State (Direct Internal Affective State),3,3,"anticipation, joy",positive,"anticipation, joy, positive"
guilty,guilty,内疚内疚感,Guilt,E1_State (Direct Internal Affective State),3,3,"anger, sadness",negative,"anger, negative, sadness"
happiness,happiness,幸福快乐感,Unclassified,E1_State (Direct Internal Affective State),3,3,"anticipation, joy",positive,"anticipation, joy, positive"
harrowing,harrowing,令人触目惊心惊恐的,Fear / Dread,E2_Appraisal (Stimulus/Service Attribute),3,3,fear,negative,"fear, negative"
heartfelt,heartfelt,真挚的 / 出自内心的,Unclassified,E1_E2_Candidate,3,3,"joy, sadness, trust",positive,"joy, positive, sadness, trust"
marvelously,marvelously,奇妙极其出色地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,joy,positive,"joy, positive"
overjoyed,overjoyed,欣喜若狂的,Joy,E1_State (Direct Internal Affective State),3,3,joy,positive,"joy, positive"
reassure,reassure,使人感到安心放心的,Relief / Reassurance,E2_Appraisal (Stimulus/Service Attribute),3,3,trust,positive,"positive, trust"
remorse,remorse,懊悔 / 悔恨,Regret / Guilt,E1_State (Direct Internal Affective State),3,3,sadness,negative,"negative, sadness"
scaring,scare,使人害怕恐惧的,Fear,E2_Appraisal (Stimulus/Service Attribute),3,3,"anger, anticipation, fear, surprise",negative,"anger, anticipation, fear, negative, surprise"
sickening,sickening,令人作呕恶心的,Disgust,E2_Appraisal (Stimulus/Service Attribute),3,3,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
sympathy,sympathy,同情 / 体谅,Sympathy,E1_State (Direct Internal Affective State),3,3,sadness,positive,"positive, sadness"
uneasiness,uneasiness,不安 / 忐忑感,Anxiety,E1_State (Direct Internal Affective State),3,3,"anticipation, sadness",negative,"anticipation, negative, sadness"
unsettled,unsettled,心神不宁忐忑的,Uneasiness / Anxiety,E1_State (Direct Internal Affective State),3,3,"anger, disgust, fear",negative,"anger, disgust, fear, negative"
agreeable,agreeable,宜人的 / 令人满意的,Unclassified,E1_E2_Candidate,2,2,trust,positive,"positive, trust"
animated,animated,生动的 / 活力充沛的,Unclassified,E1_E2_Candidate,2,2,joy,positive,"joy, positive"
bothering,bothering,打扰令人烦心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,"anger, sadness",negative,"anger, negative, sadness"
darling,darling,可爱的 / 亲切的,Unclassified,E1_E2_Candidate,2,2,"joy, trust",positive,"joy, positive, trust"
humility,humility,谦逊贴心,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,1,trust,positive,"positive, trust"
offensive,offensive,冒犯的 / 令人不适的,Unclassified,E1_E2_Candidate,2,2,"anger, disgust",negative,"anger, disgust, negative"
squeamish,squeamish,胆怯恶心体质易受惊的,Unclassified,E1_State (Direct Internal Affective State),2,2,"disgust, fear",negative,"disgust, fear, negative"
suffering,suffering,受苦受难不适,Unclassified,E1_State (Direct Internal Affective State),2,2,"disgust, fear, sadness",negative,"disgust, fear, negative, sadness"
threaten,threaten,受到威胁/令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,"anger, anticipation, fear",negative,"anger, anticipation, fear, negative"
dismay,dismay,感到沮丧吃惊,Disappointment / Distress,E1_State (Direct Internal Affective State),1,1,"anger, anticipation, fear, sadness, surprise",negative,"anger, anticipation, fear, negative, sadness, surprise"
disrespectful,disrespectful,无礼的 / 冒犯的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
gloom,gloom,阴郁忧伤,Sadness / Gloom,E1_State (Direct Internal Affective State),1,1,sadness,negative,"negative, sadness"
grumpy,grumpy,脾气暴躁的 / 不悦的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
hazardous,hazardous,危险的 / 有隐患的,Unclassified,E1_E2_Candidate,1,1,fear,negative,"fear, negative"
hostile,hostile,敌意的 / 恶劣的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, fear",negative,"anger, disgust, fear, negative"
reward,reward,赏心悦目的奖赏体验,Unclassified,E1_State (Direct Internal Affective State),1,1,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
shady,shady,可疑不诚信的,Unclassified,E1_E2_Candidate,1,1,fear,negative,"fear, negative"
truthful,truthful,真实可信的,Unclassified,E1_E2_Candidate,1,1,trust,,trust
ungodly,ungodly,糟糕恶劣的,Unclassified,E1_E2_Candidate,1,1,sadness,negative,"negative, sadness"
unwell,unwell,身体不适的,Unclassified,E1_E2_Candidate,1,1,sadness,negative,"negative, sadness"
