word,canonical_lemma,frequency_21215,chinese_translation,strict_raw_category_id,strict_raw_category_name,class_taxonomy,nrc_emotion
ideal,ideal,72,理想的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
peaceful,peaceful,72,平和宁静的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
understanding,understanding,70,体谅的 / 理解的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
impossible,impossible,65,不可能的 / 难以置信的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
tremendous,tremendous,64,震撼巨大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
passion,passion,64,热情 / 激情,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fears,fears,64,恐惧 / 忧虑,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
conscious,conscious,63,有意识的 / 讲究的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pristine,pristine,62,原始纯净的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
dramatic,dramatic,61,戏剧性的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
extraordinary,extraordinary,61,非凡的 / 卓越的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
gracious,gracious,61,亲切和蔼的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
moving,moving,61,令人动容感人的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
passionate,passionate,61,充满激情的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
considerate,considerate,60,体贴周到的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
joy,joy,60,喜悦 / 快乐,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
entertained,entertained,60,感到深受愉悦娱乐的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
complimentary,complimentary,59,赞赏的 / 赠送贴心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
excitement,excitement,59,兴奋 / 激动情绪,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
intimate,intimate,59,温馨亲切的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nerves,nerves,59,紧张感 / 不安神经,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unreal,unreal,59,如梦似幻的 / 震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
flawless,flawless,58,无瑕的 / 完美的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fortunately,fortunately,58,幸运的是,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
disappointing,disappointing,58,令人失望的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
lush,lush,57,郁郁葱葱宜人的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
negative,negative,57,负面体验 / 消极评价,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
thankful,thankful,57,感激的 / 感恩的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
thoughtful,thoughtful,57,贴心周到的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
glorious,glorious,56,壮丽辉煌的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
uncomfortable,uncomfortable,56,感到不适的 / 不安的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
fair,fair,55,公道的 / 划算的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
noisy,noisy,55,喧闹吵杂的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
remarkable,remarkable,54,卓越令人瞩目的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
genuine,genuine,54,真诚的 / 地道的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cherish,cherish,54,珍视 / 珍惜铭记,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
caring,caring,53,体贴入微关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
appreciation,appreciation,52,感激 / 欣赏,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
enthusiasm,enthusiasm,52,热情 / 积极性,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
gentle,gentle,52,平稳柔和的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
strong,strong,52,强烈的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
trouble,trouble,52,麻烦 / 困扰,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
disappointment,disappointment,51,失望 / 遗憾失落情绪,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nicer,nicer,51,更美好/更亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hoping,hoping,50,期盼 / 希望,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
happier,happier,50,更快乐的 / 更满意的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
queasy,queasy,49,恶心反胃的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
seamless,seamless,49,流畅无缝无摩擦的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
satisfied,satisfied,49,感到满意的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
delight,delight,48,欣喜 / 愉快,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
genuinely,genuinely,48,真诚地 / 确实,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
steady,steady,48,平稳的 / 稳健的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
terrible,terrible,46,可怕的 / 糟糕的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
warmly,warmly,46,温暖地 / 热情地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unexpected,unexpected,46,意想不到的惊喜,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
sensitive,sensitive,46,敏感的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
easier,easier,46,更容易的 / 更省心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
decent,decent,45,尚可的 / 体面的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
friendliness,friendliness,45,友善 / 亲和力,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
loud,loud,45,吵闹的 / 噪音大的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
relax,relax,45,放松 / 放轻松,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
terrified,terrified,45,极度惊恐的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
encouraged,encouraged,44,深受鼓舞的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
happily,happily,44,快乐地 / 欣然,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
quieter,quieter,44,更安静宁静的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
beautifully,beautifully,43,优美地 / 出色地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
calming,calming,42,令人平息平稳安心的（Calmness State）,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
adventurous,adventurous,41,充满冒险刺激感的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
charming,charming,40,迷人讨喜的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
responsive,responsive,40,积极回应的 / 贴心的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
touched,touched,40,深受感动的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nicest,nicest,39,最美好的 / 最亲切的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unsafe,unsafe,39,感觉不安全的 / 担惊受怕的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worst,worst,39,最糟糕的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
handle,handle,39,善于处理 / 掌控感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
enjoyment,enjoyment,39,乐趣 / 享受,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
greater,greater,38,更宏大震撼的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hospitable,hospitable,38,殷勤好客的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pleasantly,pleasantly,38,令人愉快地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
stress,stress,38,压力 / 紧张感,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
wonderfully,wonderfully,38,极其出色绝妙地,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worries,worry,38,担忧 / 挂虑,1. Class 1 Morphological,Class 1: Participle & Morphological Variance Gaps (127 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hopefully,hopefully,37,怀着希望地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nicely,nicely,37,很好地 / 优雅地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cared,cared,37,得到无微不至关怀的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
delicious,delicious,37,美味愉悦的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
nauseous,nauseous,36,恶心晕车的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
reliable,reliable,36,可靠的 / 可信赖的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
marvelous,marvelous,36,绝妙的 / 令人惊叹的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
humour,humour,35,幽默感,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
superior,superior,35,优越顶尖的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
picturesque,picturesque,35,风景如画的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
surprisingly,surprisingly,35,出乎意料赞叹地,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
humorous,humorous,35,幽默风趣的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
bother,bother,35,打扰 / 烦扰,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
anxious,anxious,35,焦虑不安的 / 挂虑的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
anxiety,anxiety,34,焦虑 / 不安,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
generous,generous,34,大方的 / 慷慨的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
romantic,romantic,34,浪漫惬意的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
sadly,sadly,34,令人遗憾地 / 悲伤地,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
worse,worse,34,更糟糕的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
airsick,airsick,33,晕机的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
hassle,hassle,33,麻烦 / 烦心事,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
overwhelming,overwhelming,33,铺天盖地震撼的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
turbulent,turbulent,32,颠簸不安的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
upfront,upfront,32,直率透明的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
skillful,skillful,32,技术精湛的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
reassured,reassured,32,感到安心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cute,cute,31,可爱宜人的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
economical,economical,31,划算实惠的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
kindly,kindly,30,体贴友善地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
unbelievably,unbelievably,29,难以置信地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
stellar,stellar,29,璀璨顶尖级的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
pure,pure,29,纯粹的 / 纯净震撼的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
interactive,interactive,29,互动性强的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
delighted,delighted,29,高高兴兴的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
convinced,convinced,29,深信不疑的 / 心服口服,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
chatty,chatty,29,健谈热情的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
gladly,gladly,29,乐意地 / 高兴地,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
boring,boring,28,令人无聊乏味的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
sad,sad,28,悲伤的 / 遗憾痛心的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
serene,serene,28,宁静祥和的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
splendor,splendor,27,壮丽辉煌的奇观,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
peace,peace,27,宁静 / 和平,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
regrets,regrets,27,遗憾 / 后悔,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
aside,aside,27,撇开 / 排除,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
eager,eager,27,热切的 / 渴望的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
comforting,comforting,27,令人感到安慰抚慰的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
bang,bang,26,物超所值（bang for buck）,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
basic,basic,26,基础的 / 简陋的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
cramped,cramped,26,拥挤狭窄不适的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
hate,hate,26,憎恨 / 讨厌,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,3. Class 3 Domain,Class 3: Low-Altitude Domain Lexicon (17 Words) ⭐,2b. Class 3 低空观光领域专有采掘词 (16 Words),CATE (Low-Altitude Air Tourism Domain Discovery)
upset,upset,26,感到沮丧难过的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
bump,bump,25,颠簸不适的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
communicative,communicative,25,善于沟通的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
dangerous,dangerous,25,危险的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
ill,ill,25,生病的 / 恶心呕吐的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
laughing,laughing,25,欢声笑语 / 开心大笑,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
inclement,inclement,24,恶劣的气候,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
magnificence,magnificence,24,壮丽震撼感,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
impeccable,impeccable,23,无可挑剔的,0. Direct NRC,Direct NRC Included (358 Words),1a. NRC 原生 8大情绪涵盖词 (286 Words),Joy / Trust / Fear / Sadness
talkative,talkative,23,健谈热情的,2. Class 2 Colloquial,Class 2: Colloquial Superlatives & Base Terms (128 Words),1b. NRC 原生 仅极性涵盖词 (72 Words),NRC Polarity Only (Positive/Negative)
horrible,horrible,23,极度糟糕可怕的,0. Direct NRC,Direct NRC Included (358 Words),1b. NRC 原生 仅极性涵盖词 (72 Words),NRC Polarity Only (Positive/Negative)
shining,shining,22,璀璨夺目的,0. Direct NRC,Direct NRC Included (358 Words),1b. NRC 原生 仅极性涵盖词 (72 Words),NRC Polarity Only (Positive/Negative)
