word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc8_emotions,nrc_polarities,nrc_all_tags
bored,bored,感到无聊厌烦的,Boredom,E1_State (Direct Internal Affective State),12,12,None (Not in NRC 8),,Unmapped in NRC
soaking,soaking,沉浸于（soaking in view）,Unclassified,E1_E2_Candidate,12,12,None (Not in NRC 8),,Unmapped in NRC
stuffy,stuffy,闷热不适的（体感不适）,Unclassified,E1_E2_Candidate,12,12,None (Not in NRC 8),negative,negative
superbly,superbly,出类拔萃完美地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),12,12,None (Not in NRC 8),,Unmapped in NRC
wondrous,wondrous,惊叹奇妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),12,12,None (Not in NRC 8),positive,positive
cheesy,cheesy,俗气的 / 劣质的,Unclassified,E1_E2_Candidate,11,11,None (Not in NRC 8),,Unmapped in NRC
rewarding,rewarding,非常有成就感/物超所值的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,11,None (Not in NRC 8),,Unmapped in NRC
satisfying,satisfying,令人称心满意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,11,None (Not in NRC 8),,Unmapped in NRC
sketchy,sketchy,令人不安可疑的,Unclassified,E1_E2_Candidate,11,11,None (Not in NRC 8),negative,negative
slick,slick,熟练专业/光滑的,Unclassified,E1_E2_Candidate,11,11,None (Not in NRC 8),,Unmapped in NRC
superlative,superlative,顶级极致赞赏的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,11,None (Not in NRC 8),,Unmapped in NRC
emotional,emotional,情感上的 / 动情的,Unclassified,E1_E2_Candidate,10,10,None (Not in NRC 8),,Unmapped in NRC
friendlier,friendlier,更加亲切友好的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,None (Not in NRC 8),,Unmapped in NRC
improving,improving,不断改善令人满意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,None (Not in NRC 8),positive,positive
mesmerized,mesmerized,被深深吸引迷住的,Fascination / Awe,E1_State (Direct Internal Affective State),10,10,None (Not in NRC 8),,Unmapped in NRC
stability,stability,平稳安心感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),10,10,None (Not in NRC 8),,Unmapped in NRC
stunningly,stunningly,令人震撼地,Unclassified,E1_E2_Candidate,10,10,None (Not in NRC 8),,Unmapped in NRC
automatically,automatically,自动地 / 自然而然,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),,Unmapped in NRC
awkward,awkward,尴尬的 / 别扭的,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),,Unmapped in NRC
cheerfully,cheerfully,欢快愉悦地,Unclassified,E1_State (Direct Internal Affective State),9,8,None (Not in NRC 8),,Unmapped in NRC
claustrophobia,claustrophobia,幽闭恐惧症（密闭机舱焦虑）,Fear / Anxiety,E1_State (Direct Internal Affective State),9,9,None (Not in NRC 8),,Unmapped in NRC
effortless,effortless,轻松平稳的,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),,Unmapped in NRC
hassles,hassles,烦心事 / 摩擦,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),,Unmapped in NRC
stuffed,stuffed,塞满的 / 憋闷不适的,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),,Unmapped in NRC
susceptible,susceptible,易受影响脆弱的,Unclassified,E1_E2_Candidate,9,9,None (Not in NRC 8),negative,negative
unspoiled,unspoiled,未经破坏原始纯粹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),9,9,None (Not in NRC 8),,Unmapped in NRC
annoyed,annoyed,感到烦恼的 / 恼火的,Unclassified,E1_State (Direct Internal Affective State),8,7,None (Not in NRC 8),,Unmapped in NRC
grace,grace,优雅 / 良好风度,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,8,None (Not in NRC 8),positive,positive
mindful,mindful,细心周到的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),8,8,None (Not in NRC 8),positive,positive
nerve,nerve,紧张神经,Unclassified,E1_E2_Candidate,8,8,None (Not in NRC 8),positive,positive
poorly,poorly,糟糕地 / 差劲地,Unclassified,E1_E2_Candidate,8,7,None (Not in NRC 8),negative,negative
shocked,shocked,感到震惊惊吓的,Surprise / Shock,E1_State (Direct Internal Affective State),8,8,None (Not in NRC 8),,Unmapped in NRC
spoiled,spoiled,好心情被破坏毁掉的,Unclassified,E1_State (Direct Internal Affective State),8,8,None (Not in NRC 8),,Unmapped in NRC
yummy,yummy,美味愉悦的,Unclassified,E1_E2_Candidate,8,8,None (Not in NRC 8),,Unmapped in NRC
alas,alas,唉 / 遗憾的是,Unclassified,E1_E2_Candidate,7,7,None (Not in NRC 8),,Unmapped in NRC
captivated,captivated,被深深吸引着迷的,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
classy,classy,高端优雅的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,7,None (Not in NRC 8),,Unmapped in NRC
curious,curious,好奇求知的,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
enthusiastically,enthusiastically,热情高涨地,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
exhilerating,exhilarating,令人兴奋刺激酣畅地（错别字变体）,Excitement,E2_Appraisal (Stimulus/Service Attribute),7,6,None (Not in NRC 8),,Unmapped in NRC
gushing,gushing,滔滔不绝赞赞称道的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,6,None (Not in NRC 8),,Unmapped in NRC
hesitating,hesitating,犹豫顾虑（心理活动）,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
relieved,relieved,宽慰的 / 松了一口气,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
rudely,rudely,粗鲁地 / 无礼地,Unclassified,E1_E2_Candidate,7,6,None (Not in NRC 8),,Unmapped in NRC
strange,strange,怪异不安的,Unclassified,E1_E2_Candidate,7,7,None (Not in NRC 8),,Unmapped in NRC
suffered,suffered,遭受身体/晕眩痛苦,Unclassified,E1_State (Direct Internal Affective State),7,7,None (Not in NRC 8),,Unmapped in NRC
appropriately,appropriately,恰当地 / 贴心地,Unclassified,E1_E2_Candidate,6,6,None (Not in NRC 8),,Unmapped in NRC
blind,blind,盲目的 / 视线受阻的,Unclassified,E1_E2_Candidate,6,6,None (Not in NRC 8),negative,negative
broad,broad,宽广的,Unclassified,E1_E2_Candidate,6,6,None (Not in NRC 8),,Unmapped in NRC
calmer,calmer,更平静安心的,Unclassified,E1_State (Direct Internal Affective State),6,6,None (Not in NRC 8),,Unmapped in NRC
casual,casual,随和轻松的,Unclassified,E1_E2_Candidate,6,6,None (Not in NRC 8),,Unmapped in NRC
discouraged,discouraged,感到灰心气馁的,Unclassified,E1_State (Direct Internal Affective State),6,5,None (Not in NRC 8),,Unmapped in NRC
enthralled,enthralled,被深深吸引迷住的,Unclassified,E1_State (Direct Internal Affective State),6,6,None (Not in NRC 8),,Unmapped in NRC
fascinated,fascinated,深深入迷为之倾倒的,Fascination,E1_State (Direct Internal Affective State),6,6,None (Not in NRC 8),,Unmapped in NRC
frightening,frightening,令人惊恐吓人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,None (Not in NRC 8),,Unmapped in NRC
inspirational,inspirational,鼓舞人心的,Unclassified,E1_E2_Candidate,6,6,None (Not in NRC 8),,Unmapped in NRC
precision,precision,精准靠谱的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,None (Not in NRC 8),positive,positive
relief,relief,轻松如释重负感,Relief,E1_State (Direct Internal Affective State),6,6,None (Not in NRC 8),positive,positive
sublime,sublime,崇高壮丽绝美的（Aesthetic Emotion/Awe）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,None (Not in NRC 8),,Unmapped in NRC
warmest,warmest,最暖心亲切的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,None (Not in NRC 8),,Unmapped in NRC
comforted,comforted,感到安慰安心的,Comfort / Relief,E1_State (Direct Internal Affective State),5,5,None (Not in NRC 8),,Unmapped in NRC
envy,envy,羡慕 / 嫉妒,Envy,E1_State (Direct Internal Affective State),5,5,None (Not in NRC 8),,Unmapped in NRC
intimidating,intimidating,令人胆怯令人畏惧的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,None (Not in NRC 8),,Unmapped in NRC
jitters,jitters,忐忑不安 / 紧张发抖感,Nervousness / Anxiety,E1_State (Direct Internal Affective State),5,5,None (Not in NRC 8),,Unmapped in NRC
overwhelmingly,overwhelmingly,压倒性震撼地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,None (Not in NRC 8),,Unmapped in NRC
stressful,stressful,令人压力重重焦虑的（Stress/Anxiety State）,Unclassified,E1_State (Direct Internal Affective State),5,5,None (Not in NRC 8),,Unmapped in NRC
wowed,wowed,被深深惊叹震撼的,Amazement / Awe,E1_State (Direct Internal Affective State),5,5,None (Not in NRC 8),,Unmapped in NRC
captivating,captivating,扣人心弦引人入胜的,Fascination / Awe,E2_Appraisal (Stimulus/Service Attribute),4,4,None (Not in NRC 8),positive,positive
disconcerting,disconcerting,令人不安的,Unclassified,E1_E2_Candidate,4,4,None (Not in NRC 8),,Unmapped in NRC
embarrassed,embarrassed,感到尴尬难堪的,Unclassified,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
emotion,emotion,情感 / 情绪,Unclassified,E1_E2_Candidate,4,4,None (Not in NRC 8),,Unmapped in NRC
exhilarated,exhilarated,感到无比兴奋酣畅的,Excitement / Joy,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
giddy,giddy,兴奋得头晕目眩欢欣的,Excitement / Joy,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
irritated,irritated,感到恼火烦躁的,Unclassified,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
peacefulness,peacefulness,宁静详和感,Calm / Serenity,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
phobia,phobia,恐惧症 / 恐高心理,Fear,E1_State (Direct Internal Affective State),4,3,None (Not in NRC 8),,Unmapped in NRC
pleasing,pleasing,令人愉悦满意的,Pleasure / Satisfaction,E2_Appraisal (Stimulus/Service Attribute),4,4,None (Not in NRC 8),,Unmapped in NRC
profound,profound,深刻震撼的,Unclassified,E1_E2_Candidate,4,4,None (Not in NRC 8),,Unmapped in NRC
spellbinding,spellbinding,扣人心弦迷人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,4,None (Not in NRC 8),,Unmapped in NRC
spellbound,spellbound,出神为之入迷的,Fascination / Awe,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
stoked,stoked,极为激动期待的,Excitement,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
subtle,subtle,微妙精细的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,4,None (Not in NRC 8),,Unmapped in NRC
thrills,thrills,刺激 / 快感,Unclassified,E1_E2_Candidate,4,4,None (Not in NRC 8),,Unmapped in NRC
underwhelmed,underwhelmed,大失所望未达预期的,Disappointment,E1_State (Direct Internal Affective State),4,4,None (Not in NRC 8),,Unmapped in NRC
unnerving,unnerving,令人发慌不安吓人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,4,None (Not in NRC 8),,Unmapped in NRC
wildest,wildest,最疯狂的（狂想）,Unclassified,E1_E2_Candidate,4,4,None (Not in NRC 8),,Unmapped in NRC
aggressively,aggressively,挑衅攻击地 / 极其恶劣地,Unclassified,E1_E2_Candidate,3,3,None (Not in NRC 8),,Unmapped in NRC
ambivalent,ambivalent,矛盾复杂心理的,Mixed Emotion,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
astonished,astonished,感到十分惊异惊叹的,Amazement / Surprise,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
astounded,astounded,感到十分震惊震撼的,Amazement,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
beneficial,beneficial,有益的 / 有帮助的,Unclassified,E1_E2_Candidate,3,3,None (Not in NRC 8),positive,positive
carefree,carefree,无忧无虑自在的,Unclassified,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
compassionate,compassionate,富有同理心体贴的,Compassion,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),positive,positive
daunting,daunting,令人望而生畏胆怯的,Fear / Anxiety,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),,Unmapped in NRC
dazzled,dazzled,目眩神迷震撼的,Amazement / Awe,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
deaf,deaf,听而不闻冷漠的（fell on deaf ears）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),negative,negative
dissatisfied,dissatisfied,感到不满意的,Disappointment / Dissatisfaction,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
dreaming,dreaming,梦寐以求 / 心驰神往,Unclassified,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
horribly,horrible,糟糕恐怖地,Disgust / Distress,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),negative,negative
incomprehensible,incomprehensible,难以理解令人困惑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),negative,negative
indulge,indulge,尽情享受 / 犒劳自己,Unclassified,E1_State (Direct Internal Affective State),3,3,None (Not in NRC 8),,Unmapped in NRC
joking,joking,开玩笑的,Unclassified,E1_E2_Candidate,3,3,None (Not in NRC 8),positive,positive
peacefully,peacefully,宁静和平地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),,Unmapped in NRC
rickety,rickety,摇摇欲坠的,Unclassified,E1_E2_Candidate,3,3,None (Not in NRC 8),negative,negative
securely,securely,安全平稳地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,None (Not in NRC 8),,Unmapped in NRC
spoilt,spoilt,被破坏败兴的,Unclassified,E1_E2_Candidate,3,3,None (Not in NRC 8),,Unmapped in NRC
clever,clever,聪明睿智的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,None (Not in NRC 8),positive,positive
compliant,compliant,顺从的 / 合规安心的,Unclassified,E1_E2_Candidate,2,2,None (Not in NRC 8),positive,positive
desperate,desperate,感到绝望迫切的,Unclassified,E1_State (Direct Internal Affective State),2,2,None (Not in NRC 8),negative,negative
exhausting,exhausting,令人筋疲力尽的,Fatigue / Exhaustion,E2_Appraisal (Stimulus/Service Attribute),2,2,None (Not in NRC 8),,Unmapped in NRC
favourable,favourable,有利的 / 良好的,Unclassified,E1_E2_Candidate,2,2,None (Not in NRC 8),,Unmapped in NRC
positively,positively,积极正面地,Unclassified,E1_E2_Candidate,2,2,None (Not in NRC 8),,Unmapped in NRC
primo,primo,一流的 / 顶级的,Unclassified,E1_E2_Candidate,2,1,None (Not in NRC 8),,Unmapped in NRC
pumped,pumped,兴奋激动的 / 跃跃欲试,Unclassified,E1_State (Direct Internal Affective State),2,2,None (Not in NRC 8),,Unmapped in NRC
rigid,rigid,刻板不近人情的,Unclassified,E1_E2_Candidate,2,2,None (Not in NRC 8),negative,negative
askance,askance,怀疑斜视地（不信任）,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
bluest,bluest,最湛蓝的（极致景色）,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
bluntly,bluntly,直言不讳地,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
decency,decency,礼貌体面 / 服务缺乏礼貌体面,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,1,None (Not in NRC 8),positive,positive
flaky,flaky,不靠谱的 / 经常取消的,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
grandest,grandest,最宏大的 / 极其壮丽的,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
harsh,harsh,严酷恶劣的,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
immeasurable,immeasurable,无法估量的 / 极致的,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
miraculously,miraculously,奇迹般地,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
quell,quell,镇定 / 平息（恐惧）,Unclassified,E1_State (Direct Internal Affective State),1,1,None (Not in NRC 8),negative,negative
racist,racist,种族歧视的,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
regrettably,regrettably,遗憾地 / 抱歉,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,1,None (Not in NRC 8),,Unmapped in NRC
wasbeautiful,wasbeautiful,美丽动人的（美感）,Unclassified,E1_E2_Candidate,1,1,None (Not in NRC 8),,Unmapped in NRC
whelmed,whelmed,被深深震撼淹没的,Unclassified,E1_State (Direct Internal Affective State),1,1,None (Not in NRC 8),,Unmapped in NRC
worthful,worthful,物有所值的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,1,None (Not in NRC 8),,Unmapped in NRC
zing,zing,刺激快感,Unclassified,E1_State (Direct Internal Affective State),1,1,None (Not in NRC 8),,Unmapped in NRC
