user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo,language,is_english,user_city,user_state,user_country,is_us_domestic,review_word_count,review_char_count,title_word_count,exclamation_count,uppercase_ratio,sentiment_polarity,sentiment_pos,sentiment_neg,safety_mention,helicopter_comparison,price_value_mention,coast_mention,canyon_mention,waterfall_mention,wildlife_mention,weather_mention,flight_crew_mention,ground_staff_mention,companion_mention,pilot_mention,staff_service_mention,guide_mention,pilot_service_mention,special_occasion,aircraft_type,aspects_found,aspect_count,aspect_Scenery,aspect_Pilot,aspect_GroundStaff,aspect_CabinComfort,aspect_Safety,aspect_Weather,aspect_PriceValue,aspect_ServiceRecovery,aspect_Companion,aspect_LifetimeExperience,incongruence_type
Captain-From-Kuwait,Kuwait,5,Jul 2018,An amazing aircraft Glacier landing on the top of the mountain,It was an amazing experience to fly by a small airplane from Talkeetna to the Denali Park’s mountains top where we landed over the Glacier on the top of the mountains and walk over the beautiful snow in the middle of the summer watching this breath taking blue ice lakes,Unknown,0,2018-08-31,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Kuwait,,Unknown,0,50,270,11,0,0.0185185185185185,0.8834,0.201,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Airplane,"['Scenery', 'CabinComfort', 'Weather']",3,1,0,0,1,0,1,0,0,0,0,Pure Positive Baseline
Sandy F,,5,Aug 2018 • Couples,Amazing experience,"Initially we rejected the idea of a flightseeing tour due to the price.  At the last minute, we decided to book a tour and are so glad we did.  The weather completely cooperated and it was a once in lifetime experience.  The flight to the glacier had incredible views. Then we landed on the glacier and walked around.  Words fail to adequate describe it - just wow!  We are so glad we did this.  It was truly one of the most memorable things we have ever done.  The entire K-2 staff was wonderful.  Special thanks to our pilot Kevin.  His combination of knowledge and jokes made the adventure even more fun.",Couples,0,2018-08-27,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,,Unknown,0,111,607,2,1,0.0214168039538715,0.9777,0.251,0.051,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,Airplane,"['Scenery', 'Pilot', 'GroundStaff', 'Weather', 'PriceValue']",5,1,1,1,0,0,1,1,0,0,0,Type 1: Local Friction - Overall Positive
reneetrips,"Oro Valley, AZ",5,,Valley tour,Great valley tour. Accommodated weather limitations. Worked with passengers. Safe informative beautiful flight.,Unknown,0,2018-08-17,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Oro Valley,AZ,United States,1,13,111,2,0,0.036036036036036,0.8979,0.522,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Airplane,"['Safety', 'Weather', 'ServiceRecovery']",3,0,0,0,0,1,1,0,1,0,0,Pure Positive Baseline
Amanda B,,5,Jul 2018 • Couples,God's creation,"We did the Denali Flyer Trip. This was an experience I will treasure for the rest of my life. Our pilot Chris was great. He showed us beautiful scenery and was a master with landing and take-off. We landed on Ruth Glacier and got to play for a few minutes. The weather was perfect and we saw God's amazing creation. It was so awesome it made me cry. While we were up there, my husband and I exchanged renewal vows. We felt like we were in heaven.",Couples,0,2018-08-17,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,,Unknown,0,87,446,2,0,0.0403587443946188,0.9836,0.307,0.029,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather', 'Companion']",4,1,1,0,0,0,1,0,0,1,0,Minor Local Noise
Lengtan67,Kuala Lumpur,5,Jul 2018 • Friends,Simply Breathtaking Views,"Simply exhilarating and blessed to be able to go on this flight and saw Denali up close along with the glacier landing on July 31st at 1.00 ... awesome.

K2 offered the best price (USD 310) that I had found when I was doing a search on the best flightseeing available options from Talkeetna. On top of that, this company has made it a point to make a refund on the portion paid for glacier landing if we are unable to do so due to poor weather condition, that's real good business etiquette in which rarely to be found nowadays.

Went on this flight with a great pilot and I believe that would make a difference too.",Friends,0,2018-08-15,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Kuala Lumpur,,Unknown,0,117,616,3,0,0.0211038961038961,0.9765,0.213,0.026,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather', 'PriceValue', 'ServiceRecovery']",5,1,1,0,0,0,1,1,1,0,0,Minor Local Noise
adrienne407,"Los Angeles, CA",3,Aug 2018 • Friends,Nice tour,"Denali was not an option the day we went because of bad weather so they offered us another tour.  We had a wonderful pilot and got to see a lot.  I was in the co-pilot seat which was amazing!  My girlfriend was in the back and was a bit disappointed that she was unable to see a lot of things that were being shown on the opposite side of the plane.  She was really underwhelmed when she got off the plane.  All in all though we felt it was cool to be able to see Alaska from that high though, despite not being able for her to see that much.

The day of our tour, we found out later, was the same day the plane crashed.  They left only a few hours after us.  I have no idea what the factors were that led to that, because there is not much information online still. I have to say that memory will live with us forever.  We are still in total shock that a few hours later the same tour we were on was never coming back.  Our hearts are heavy for everyone involved.  What an awful day.",Friends,0,2018-08-15,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Los Angeles,CA,United States,1,197,984,2,1,0.0142276422764227,-0.5983,0.048,0.072,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Pilot', 'CabinComfort', 'Weather']",3,0,1,0,1,0,1,0,0,0,0,Low Rating Failure
gailtcosby,"Birmingham, AL",5,Jul 2018 • Couples,Excellent investment if weather is good!,"Seeing Denali up close and personal in a plane is an experience I'll never forget. Rose Marie, our pilot, made sure the 3 of us saw both peaks of the huge mountain, climbing routes, glaciers, and pointed out other peaks in the Alaska Range. She knew elevations, she explained how tundra grows on top of glaciers and pointed out an ice fall from a calving glacier. It was well worth the cost. I was lucky because it was a sunny, clear day.",Couples,0,2018-08-09,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Birmingham,AL,United States,1,82,438,6,0,0.0228310502283105,0.9457,0.23,0.0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'PriceValue']",3,1,1,0,0,0,0,1,0,0,0,Pure Positive Baseline
Michelle T,,5,Aug 2018 • Family,Great experience,"We were scheduled to land on a glacier but the weather was too cloudy and it was not felt to be safe to land however we had a great pilot, Mark, who flew us around the mountain and showed us many great vistas! Wonderful tour.",Family,0,2018-08-09,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,,,Unknown,0,45,225,2,1,0.0133333333333333,0.9735,0.344,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Safety', 'Weather']",4,1,1,0,0,1,1,0,0,0,0,Pure Positive Baseline
Tranquillo,NJ,5,Jun 2018 • Couples,INCREDIBLE VIEWS,"This was an amazing experience as we left Talkeetna and flew over Denali.  As we  climbed high, we were in awe as the scenery all along the way kept getting better over U shaped valleys and snow covered pinnacles.  The views from the snow covered top were incredible and as we got off and walked around, it was just undesirable, An absolute MUST DO!",Couples,0,2018-08-07,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,NJ,United States,1,64,349,2,1,0.0372492836676217,0.7088,0.124,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Airplane,"['Scenery', 'Weather', 'LifetimeExperience']",3,1,0,0,0,0,1,0,0,0,1,Minor Local Noise
Mike W,,5,Jul 2018 • Friends,The flight was beautiful and Chris did an excellent job.,We were in Alaska for ten days and this flight was the best part of the trip. The scenery was awesome and the pilot was very informative. Thank you and we will be back.,Friends,0,2018-08-06,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,,Unknown,0,34,168,10,0,0.0238095238095238,0.9017,0.263,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
alanfarmer996,"Philadelphia, PA",5,Jul 2018 • Family,Highly recommended,"K2 Aviation is a super friendly and well-run organization. Views were amazing. So glad my teenage kids got to really see a glacier for what it is. We'd talked about them so much on the rest of our trip but it was all talk until this tour made it real. Breathtakingly real.

K2 picked us up in a shuttle bus from Talkeetna Alaskan Lodge promptly 45 minutes before scheduled takeoff. Belongings you don't want to carry in the tight cabin of the plane are stored in locking bins at the office, one per aircraft. Some of my party are a little squeamish about small planes, but were put at ease by the pilot's safety talk and by the overall clean and competent feel of the place. Our plane had a 1 pilot and 6 passenger capacity, and there were bigger and smaller ones around the airfield. After the 90 minute narrated flight we walked about 5 minutes to downtown Talkeetna for lunch and shopping.

As others have said, weather is likely to mess with your plans. We couldn't do the glacier landing, but it was abundantly clear why. The clouds started at 4000 feet that day and the landing site is at 5000 feet. The front desk staff were super quick and friendly about adjusting the price to match what we actually got to do. Couldn't ask for more.

Highly recommended!",Family,0,2018-08-06,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Philadelphia,PA,United States,1,231,1263,2,1,0.0166270783847981,0.9898,0.167,0.018,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,Airplane,"['Scenery', 'Pilot', 'GroundStaff', 'CabinComfort', 'Safety', 'Weather', 'PriceValue', 'Companion']",8,1,1,1,1,1,1,1,0,1,0,Pure Positive Baseline
pndbailey,"Cherry Valley, IL",5,Jul 2018 • Couples,A Jaw-Dropping Experience,"This was by far the most amazing experience of our Alaskan vacation. To land and walk on a glacier while looking up at Mt. Denali was beyond our expectations. We had a very friendly, knowledgeable pilot who guided us through the flight and answered our questions. If you can only do one thing while in Alaska, take the Denali Experience with Glacier Landing you won't be disappointed.",Couples,0,2018-08-05,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Cherry Valley,IL,United States,1,67,384,3,0,0.03125,0.879,0.141,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
79suzannem79,"Sydney, Australia",5,Jul 2018 • Couples,An Alaskan highlight,I am not a fan of small planes & was a little apprehensive about taking this trip which was an add on tour  to Danali after a cruise. We flew from Anchorage to Talkeeta and my nerves settled down with our competent pilot Kevin giving a wonderful commentary and pointing out interesting places of interest. When we reached the mountains I felt so close we could have touched them but my nerves gave way to awe at the magnificent scenery we were witnessing.  Definitely one to tick off the bucket list !!,Couples,0,2018-08-02,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Sydney,,Australia,0,92,502,3,2,0.0179282868525896,0.9428,0.205,0.043,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,Airplane,"['Scenery', 'Pilot', 'CabinComfort', 'LifetimeExperience']",4,1,1,0,1,0,0,0,0,0,1,Type 1: Local Friction - Overall Positive
rugsymowzer,"Hertford, UK",5,Jul 2018 • Couples,One of the highlights of our Alaskan trip,If you only do one thing in Alaska....make sure it is this one. What an experience. Super organisation and fab pilot who was very knowledgeable about Mount Denali and its surroundings. We were very lucky to fly on a crystal clear sunny day when Mount Denali was visible from the bottom  right up to the top!,Couples,0,2018-08-02,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Hertford,,United Kingdom,0,56,307,8,1,0.0293159609120521,0.9571,0.292,0.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,['Pilot'],1,0,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
BillSweeney1,"Norwalk, CT",5,Jul 2018 • Friends,The highlight of our Alaska vacation!,"It took a lot of back and forth for everyone to build up the courage to take this flight.  It was fantastic!  We all felt it was the best thing we did on the vacation.  The flight to the mountains and the landing on the glacier were amazing.  Our pilot, Billy, really made this fun.  He immediately put us at ease and was engaging with plenty of commentary along the way.  Definitely recommend it.",Friends,0,2018-07-30,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Norwalk,CT,United States,1,74,397,6,1,0.0201511335012594,0.9824,0.315,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,Airplane,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
Rodger D,,5,Jul 2018 • Couples,DENALI EXPERIENCE WITH GLACIER LANDING,"This was our 2nd time flying with K2 Aviation.  Same flight both times.  Mike the pilot from 2008 is still there.  We flew with Chris the chief pilot this time.  Both pilots were fantastic, extremely informative and very professional.  There is no way to describe the feeling of landing on a glacier.  The word ""awesome"" doesn't come close.  This is definitely one for the ole bucket list!!  The only suggestion I could make would be to add more chairs in the shade while you wait for your turn to go.",Couples,0,2018-07-28,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,,,Unknown,0,90,501,5,2,0.0259481037924151,0.7339,0.089,0.023,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,Airplane,"['Scenery', 'Pilot', 'LifetimeExperience']",3,1,1,0,0,0,0,0,0,0,1,Minor Local Noise
The_Bergy_Bits,"Golden, CO",5,Jul 2018 • Friends,Flying High!,"This was an amazing tour! Although we had signed up for the Denali Flyer trip the weather decided to move in and they switched us to the Denali Experience tour, with a refund of the cost difference. Once we got into the Alaska Range, the clouds had cleared up a bit since their previous flights so we had some unbelievable views of the range and the glaciers below. Our pilot, Daniel, gave us great narrative info throughout the flight and kept us safe and comfortable even with the clouds and changing weather. If you're considering a flight tour- it's definitely worth splurging on and K2 gives an awesome experience!",Friends,0,2018-07-27,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Golden,CO,United States,1,109,619,2,2,0.0210016155088853,0.9766,0.215,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Safety', 'Weather', 'PriceValue', 'ServiceRecovery']",6,1,1,0,0,1,1,1,1,0,0,Pure Positive Baseline
tdale2018,"Haslett, MI",5,Jul 2018 • Solo,Great Experience,"Great pilot and great tour.  Unfortunately weather was not cooperative and could only go 7,400 ft up rather than 20,000.  Saw a lot of ice and mountains.  K2 very accommodating for the required change.  Would highly recommend to anyone",Solo,0,2018-07-26,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Haslett,MI,United States,1,39,235,2,0,0.0212765957446808,0.8622,0.232,0.051,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather']",3,1,1,0,0,0,1,0,0,0,0,Type 1: Local Friction - Overall Positive
Hallie B,,5,Jul 2018 • Friends,Highlight of the trip!,"This was an amazing tour! We originally signed up for the Denali Flyer trip but due to weather they decided to only run the Denali Experience tour. We were lucky that the clouds had cleared up a bit since their previous flights so we had some beautiful views of the Alaskan Range. Our pilot, Daniel, gave us great narrative info throughout the flight and kept us safe and comfortable even with the clouds and changing weather. If you're considering a flight tour- it's definitely worth splurging on and K2 gives an awesome experience!",Friends,0,2018-07-26,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,,Unknown,0,93,534,4,2,0.0243445692883895,0.9913,0.326,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,Airplane,"['Scenery', 'Pilot', 'Safety', 'Weather', 'PriceValue']",5,1,1,0,0,1,1,1,0,0,0,Pure Positive Baseline
Simone L,"Anchorage, AK",5,Jul 2018 • Friends,Fantastic Experience,"Two major things you need to have a great flight seeing experience a good pilot and fantastic weather, we were fortunate to have both. 

The plane ride out to see Denali was smooth and the pilot was great making sure everyone was able to see the awesome sights in front and below us. The clouds cleared from the great mountain just as we got close which I guess makes us part of the 30% crowd that saw the mountain. 

He then took us through some valleys and we saw glaciers and some of the wonderful jewel like reflections of deep blue peaking through the snow. We did hit a bit of turbulence in one of the passes and the pilot handled it beautifully.

It was an awe inspiring experience and I'm so glad to call Alaska home.",Friends,0,2018-07-26,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Anchorage,AK,United States,1,137,725,2,0,0.0137931034482758,0.9934,0.292,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather']",3,1,1,0,0,0,1,0,0,0,0,Pure Positive Baseline
Thomas S,,5,Jul 2018 • Friends,Wedding on the Glacier,"Outstanding experience. The staff was friendly and the Pilot, Dan, was top notch. We benefited from a perfect day on the glacier and the competent, friendly, efficient team at K2 made our special day just Perfect!",Friends,0,2018-07-24,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,,,Unknown,0,36,213,4,1,0.0328638497652582,0.9792,0.516,0.0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,Airplane,"['Scenery', 'Pilot', 'GroundStaff']",3,1,1,1,0,0,0,0,0,0,0,Pure Positive Baseline
Ken M,"Alameda, CA",5,Jul 2018 • Friends,"Only way to ""see"" Denali...!!!","We signed up on the ""spur of the moment""
Called in the morning hoping to get on a flight and we were airborne by 1.
At $300/per it wasn't ""cheap"" but boy was it worth it.
Truly the only way to really ""See"" Denali park.
Our Pilot was Professional, Knowledgeable, Friendly and engaging.
We did not do the glacier landing but will try for that next time we get to AK.
If you have a chance, JUST DO IT....",Friends,0,2018-07-23,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Alameda,CA,United States,1,79,401,5,0,0.0573566084788029,0.9517,0.202,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'PriceValue']",3,1,1,0,0,0,0,1,0,0,0,Pure Positive Baseline
rodnak,"San Francisco, CA",5,,Outstanding experience with glacier landing!,"Start off with Dillon. The young shuttle driver who was totally engaging and who checked us in.

Then Chris, our expert pilot who took off and landed with hardly a bump! He was amazingly awesome! Gave all the appropriate safety warnings. Told us of POI as we flew along. Spent more than enough time on the glacier.

My wife was hesitant when we booked, but thoroughly loved the experience in the end👍👍👍",Unknown,0,2018-07-23,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,San Francisco,CA,United States,1,72,402,5,2,0.0323383084577114,0.8937,0.158,0.038,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'GroundStaff', 'Safety', 'Companion']",5,1,1,1,0,1,0,0,0,1,0,Minor Local Noise
EuroTraveler52,"Skippack, PA",5,Jul 2018 • Family,Breathtaking!,"I am recently retired, and a trip to Alaska was one of my 'bucket list' destinations.  This flightseeing tour over Denali was the crown jewel of the trip.  Truly amazing, and a lifetime memorable experience.  The clouds came and went, but, overall the weather cooperated the day we visited.  I would highly recommend this to anyone visiting Denali, even timid flyers, as the flight was as smooth as any commerical flight.",Family,0,2018-07-22,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Skippack,PA,United States,1,71,421,1,0,0.0190023752969121,0.7422,0.132,0.034,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Airplane,"['Weather', 'LifetimeExperience']",2,0,0,0,0,0,1,0,0,0,1,Minor Local Noise
TravellingLinda,"Clearwater, FL",5,Jul 2018 • Couples,Denali Experience + Glacier Landing = Fabulous Adventure!,"We did the Denali Experience tour + glacier landing.  Truly a bucket list experience!!  We highly recommend K2 and this trip.  Well worth the money.  And Craig was a great pilot, shared lots of info during flight, and happy to take group photos for us.  This is a must-do adventure!!",Couples,0,2018-07-21,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Clearwater,FL,United States,1,50,283,8,4,0.0353356890459364,0.9697,0.381,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,Airplane,"['Scenery', 'Pilot', 'PriceValue', 'LifetimeExperience']",4,1,1,0,0,0,0,1,0,0,1,Pure Positive Baseline
RRST12,"Anchorage, AK",5,Jul 2018 • Solo,Truly Remarkable Experience,"I can't say enough about this amazing flight seeing experience. The staff at K2 were wonderful, they did their best to manage expectations regarding the weather and possibility of a glacier landing and were very helpful in making sure all passengers were ready to go and comfortable (even let some of us borrow sunglasses!). Our pilot was very safety-minded and knowledgeable. This flight is so much more than seeing Denali, it's about being amidst the huge, wild, jagged mountains that surround it. Puffy clouds only made it all the more dramatic. Our glacier landing was such fun, and although we couldn't spend too much time on the glacier itself due to flight traffic, it was still such an adventure. You don't want to miss out on this experience, so plan some flexibility in your schedule in case your scheduled flight is delayed for weather.",Solo,0,2018-07-17,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Anchorage,AK,United States,1,144,847,3,1,0.0106257378984651,0.9858,0.215,0.019,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,Airplane,"['Scenery', 'Pilot', 'GroundStaff', 'Safety', 'Weather', 'ServiceRecovery']",6,1,1,1,0,1,1,0,1,0,0,Pure Positive Baseline
Smitha08,"Thiruvananthapuram (Trivandrum), India",4,Jun 2018 • Couples,Great Views but couldnt do Glacier Landing,"Booked a glacier landing trip but when we reached the weather was bad . Good customer care , even when the weather was not allowing they gave options to change the booking to another day or refund or fly without landing. We changed to another day but the weather didnt allow us next time as well , so we had to choose not to land on glacier. So missed the landing , but they refunded the difference in cost and we did get to see denali from above :)",Couples,0,2018-07-17,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Thiruvananthapuram (Trivandrum),,India,0,89,449,7,0,0.0089086859688195,0.7515,0.16,0.098,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Airplane,"['Scenery', 'Weather', 'PriceValue', 'ServiceRecovery']",4,1,0,0,0,0,1,1,1,0,0,Type 1: Local Friction - Overall Positive
LoveTheRoadTrip,"Garrett Park, MD",4,Jun 2018 • Family,"Nice flight-seeing, but not Denali","K2 Aviation is very friendly, but has no control over the weather.  If you can be flexible, book this for the first day of your trip and keep your options open to reschedule for the best weather.  We visited in mid-June.  There had been several days of rain just before, so they were not offering the glacier landing we had booked.  It was also cloudy, so they were not flying to Denali itself (the Denali Grand Tour).  They offered a complete refund, the chance to reschedule (warning that they had many flights to rebook), or the option to keep our reservation time and do the shorter, less expensive Denali Experience.  We had reservations at our next destination so we could not reschedule for a different day.  

Our pilot Daniel made us feel very safe and gave us some great views of several glaciers and smaller peaks.  It was a great experience, but we did not get to see The Big One on this flight.",Family,0,2018-07-16,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Garrett Park,MD,United States,1,164,907,5,0,0.0231532524807056,0.9857,0.173,0.015,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Safety', 'Weather', 'PriceValue', 'ServiceRecovery']",6,1,1,0,0,1,1,1,1,0,0,Pure Positive Baseline
travelersw089,"Phoenix, AZ",5,Jun 2018 • Couples,Just amazing views!,"We had a 9am reservation for the Grand Tour but were informed about postponment due to weather. K2 kept in touch via email about each change in plans.  We really wanted to see Denali so decided not to take other flightseeing destinations which were offered instead.  Finally, 24 hours later,  Denali was visible and we found out the tour was on BUT no glacier landing and a one hour instead of a two hour.  We were a little doubtful but so excited to be flying around Denali that we decided this was the best alternative.  We were definitely not disappointed!  The views were crystal clear and just incredible, Mike was a wonderful pilot and commentator..  The substitution turned out to be just a reason to try again another time.  Fabulous job K2!  What wonderful memories (and photographs) we have!",Couples,0,2018-07-14,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Phoenix,AZ,United States,1,139,801,3,3,0.0249687890137328,0.988,0.226,0.033,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather', 'ServiceRecovery']",4,1,1,0,0,0,1,0,1,0,0,Minor Local Noise
adamsfamily1993,"Athens, GA",4,Jul 2018 • Couples,Beautiful experience,"My husband and I enjoyed this as a part of celebration for our anniversary. The entire experience was wonderful with exception of having to wait over an hour for our take off time. When checking in, we were told they would be loading with in the next few minutes, an hour later, we were off?? Not sure, what happened, there was no explanation. That was a let down! We were scheduled for the 3:00 flight and departed a little after 4:00.",Couples,0,2018-07-12,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Athens,GA,United States,1,81,436,2,1,0.0160550458715596,0.6694,0.09,0.049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Airplane,['Companion'],1,0,0,0,0,0,0,0,0,1,0,Minor Local Noise
Mary M,"Winston Salem, NC",5,Jul 2018 • Couples,The Best Of Denali!  K2 Aviation!,"If you want first hand joy from the seat of an airplane, K2 is your mandatory stop.  Our pilot, Chris, gave us such a special tour and went beyond the call of duty looking for critters.  It's no wonder Trip Advisor five star reviews steered us in the right direction, just like Capt. Chris did!  Bravo K2, we'll spread the good word!",Couples,0,2018-07-10,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,0,en,1,Winston Salem,NC,United States,1,62,333,6,2,0.033033033033033,0.9167,0.245,0.059,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Airplane,"['Pilot', 'CabinComfort']",2,0,1,0,1,0,0,0,0,0,0,Type 1: Local Friction - Overall Positive
Linda M,,5,Jun 2018 • Couples,"""Fantastic Flight""",The vast beauty of Denali park area is like no other.  Our pilot was very knowledgeable and experienced pilot.  The view was beyond words.  Seeing the back side of Denali was the greatest as a break in the clouds allowed us to look up to the top.  Would do it again and again  Cathedral Mountain was incredible.  I could have flown all day.,Couples,0,2018-07-10,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,,,Unknown,0,63,340,2,0,0.0294117647058823,0.8779,0.174,0.031,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Airplane,"['Scenery', 'Pilot', 'Weather']",3,1,1,0,0,0,1,0,0,0,0,Minor Local Noise
Dusky,"Evansville, IN",5,,Gorgeous,No words can describe this!!! The enormity of this mountain range is incredible. I cried from the shear beauty of the view. It’s absolutely worth every single penny.,Unknown,0,2018-07-09,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Evansville,IN,United States,1,28,165,1,3,0.0242424242424242,0.4712,0.198,0.138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Airplane,"['Scenery', 'PriceValue']",2,1,0,0,0,0,0,1,0,0,0,Type 1: Local Friction - Overall Positive
GoldenRule64,"Pittsburgh, PA",5,May 2018 • Couples,Superb flight by very experienced pilot,"My wife and I did the Denali Experience Flightseeing Tour on May 29, 2018. There were some clouds to contend with but K2 will not fly if it is not safe. So they delayed our flight about 30 minutes. I was very pleased to see that we were going in a turbine powered Otter aircraft; much safer than a piston as I just retired after 45 years of flying military and corporate. Chip our pilot gave us a good safety briefing before we got airborne. My wife sat in the copilot's seat as I wanted to just take photos. Chip gave us a nonstop tour and history of the area; it was like being in a college classroom as he really knows what he is talking about. Overall this was the highlight of the Alaska land tour that we did with Princess Cruises. If you want to see Mt Denali up close and personal and the surrounding area, don't miss this flight. K2 is an impressive company; check out their article on landing on glaciers in AOPA magazine, June or July 2018 issue if I remember correctly. This tour should not be missed....(skip the river rafting, boring; use that money to fly!!!). You won't be sorry you did. Don't forget your camera either.",Couples,0,2018-07-08,5 -Denali Experience Flightseeing Tour from Talkeetna_2025-02-27,1,en,1,Pittsburgh,PA,United States,1,213,1136,6,3,0.0308098591549295,0.9748,0.15,0.038,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,Airplane,"['Pilot', 'CabinComfort', 'Safety', 'Weather', 'PriceValue', 'ServiceRecovery', 'Companion', 'LifetimeExperience']",8,0,1,0,1,1,1,1,1,1,1,Type 8: Negation Pseudo-Negative
