tour_name,rating,fear_words,has_pilot,fear_sentence,pilot_sentence,full_text
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,0,"The smallest plane we had previously flown in was a Twin Otter, which landed on the beach at Barra in Scotland, so we were a little nervous about a smaller one that  also landed on water",,"Floatplane flight with Trevor Smith . The smallest plane we had previously flown in was a Twin Otter, which landed on the beach at Barra in Scotland, so we were a little nervous about a smaller one that  also landed on water.

The weather was rather dull (Misty Fjords not possible) and Trevor said t..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,scared,0,The take off was so smooth and gentle I never felt scared,,Misty Fjords overhead was amazing! . Taguan picked my group of 4 right at the cruise ship berth and took us to their launching off point. Saw a safety film and was loaded into a small place. The take off was so smooth and gentle I never felt scared. The beauty of the Misty Fjords in the Tongas Natio...
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,scared,1,"One reason, because I'm scared of heights and have an over active imagination of things that could go wrong and second, I tend to get motion sickness | However I agreed to go even though I was scared out of my mind","Our pilot Sam was awesome, very knowledgeable on the area and you could tell he was all about giving his passengers an experience they would remember forever | I would definitely recommend this tour and guide","Awesome Experience! . I had the chance of a lifetime to go on this amazing adventure with my brother on 6/30/17. My brother had been trying to talk me into going on a float plane trip through the Misty Fjords but I wasn't convinced I'd be able to go or enjoy it. One reason, because I'm scared of hei..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,scared,0,His girlfriend was scared and Chuck was very attentive to her needs,,Seaplane Excursion Chuck is GREAT . We had a wonderful experience flying with Chuck when we were in Ketchikan. He calmed our nerves and we could tell he was very experienced. His plane was absolutely perfect. He gave us a lot of information about the area and was great with the kids. My son sat in t...
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,afraid,1,"Fun flight even for someone afraid to fly | I was very afraid but our pilot was great, we had a 20 min flight","I was very afraid but our pilot was great, we had a 20 min flight | They play music for you to listen and the pilot also narrates interesting facts and points out different landmarks and buildings","Fun flight even for someone afraid to fly. . This was a great experience.  I was very afraid but our pilot was great, we had a 20 min flight. Landing at George inlet lodge for dungeness crab.  The views were amazing. The take off and landing was very smooth. They play music for you to listen and the..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,fear,1,"We were able to fly with Chuck Perkins, who eased my sons fear of flying and provided us a very fun time","Thank you Office Manager, Danita Scott for recommending this flight tour as a gift for my family and Pilot Chuck Perkins for allowing my family to have a fun, safe and memorable trip","Amazing flight tour . A wonderful flight to the Misty Fjords! We were able to fly with Chuck Perkins, who eased my sons fear of flying and provided us a very fun time! We live in SE Alaska and even living here we forget what an amazing place we have all around us! Thank you Office Manager, Danita Sc..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,"I have to admit, I was very nervous to get on a very small plane as I am extremely claustrophobic","Thank goodness for our AMAZING pilot, Ethan, who helped get me  on the plane so I wouldn't miss out on one of the best experiences of my life","Amazing! . I have to admit, I was very nervous to get on a very small plane as I am extremely claustrophobic. Thank goodness for our AMAZING pilot, Ethan, who helped get me  on the plane so I wouldn't miss out on one of the best experiences of my life. I don't think I could have gotten on that plane..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,My husband and I were a little nervous because we've never flown in a plane that small,We had an excellent bush plane tour with Chuck as our pilot today,"Misty Fjords was breath-taking! . We had an excellent bush plane tour with Chuck as our pilot today! My husband and I were a little nervous because we've never flown in a plane that small. We booked this tour through Carnival and we were not disappointed! Our Otter plane was a 10 seater plane, every..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,She was really nervous but the headphones and music helped her relax,Our pilot was knowledgeable and great,"Loved it! Once in a lifetime experience. . She was really nervous but the headphones and music helped her relax. The sights and sounds were great. The best part was landing in the middle of the flight, into a small lake...getting out on the ski and just taking a few moments to breathe, reflect and b..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,anxious,0,I was somewhat anxious that it would be hard to see but everyone got a window seat and the headset commentary was helpful too,,"Float plance tour to Misty Fjords National Monument . Words are inadequate to describe just how wonderful this experience is.   I was somewhat anxious that it would be hard to see but everyone got a window seat and the headset commentary was helpful too.

The views are beyond spectacular, mile after..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,afraid,0,Don't be afraid to take this plane ride it is a great ride,,Really good. . I went on this because my friend wanted to go.  I do not like to fly.  The plane ride was magnificent.  You got to see things from a different perspective and it was beautiful.  The take-off and landing was really smooth and not at all rough.  I would definitely do this again. Don't b...
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,"Even if you're a tad nervous about flying in a small ( 6 Pax) float plane, you will soon be absorbed by the majesty of Alaska and will not feel unsafe","Our ground crew and pilot for Taquan Air were friendly, organized, and competent","! . This was a Holland America Cruise Line shore excursion. A great experience all the way around: weather, sights, and dining. Our ground crew and pilot for Taquan Air were friendly, organized, and competent. Even if you're a tad nervous about flying in a small ( 6 Pax) float plane, you will soon b..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,fear,1,above ground) And I have to say any fear of flying vanishes quickly once you get used to the tiny bouncing air currents (smoother than riding in car),"Our very experienced pilot gave us to option of either listening to his live narration with his own mix tape | Everyone on board voted for our pilot, (I believe it was Tim's) voice","First below, now above...an amazing place from any angle! . We've done boat excursions through Misty Fjords before and it is an incredible experience. However, this time....unplanned, as we headed back to the ship we meandered through the excursion extravaganza and were interested in trying it by ai..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,We were nervous flying in the floatplane but the pilot was really wonderful and the flight and landings were incredibly smooth - better than most flights I have been on,"We boarded a de havilland with another family and our pilot, seven of us in all | Our pilot was great and gave us a wonderful narrated flight to prince of Wales island",Great trip to see bears by plane! . My 11 yo daughter and I made this trip while our cruise ship was in Ketchikan and my husband and son were zip lining. We had a terrific adventure and we highly recommend it. Bears are our favorites and seeing them was a highlight of our trip! The bus picked us up ...
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,afraid,1,"I was a little afraid of doing this, however our pilot was very reassuring and provided extremely smooth take offs and landings","I was a little afraid of doing this, however our pilot was very reassuring and provided extremely smooth take offs and landings","Must do in Ketchikan . I was a little afraid of doing this, however our pilot was very reassuring and provided extremely smooth take offs and landings.  It was amazing to see our cruise ship from the air and then to fly into the Misty Fjords National Park was absolutely breathtaking.  I have to say ..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,afraid,1,"As much as I enjoyed my trip and (amazingly) was not afraid, I couldn't help but remember the lives lost on a similar expedition (different company) a few weeks before","Went up over Misty Fjords with ""Captain Dan"" who was fabulous and very knowledgeable and put us all (five women | I had the distinct pleasure of riding in the co-pilot's seat which was a genuine thrill","What a wonderful adventure! . Such beautiful scenery!  Such a wonderful company - full of people who seem to love their jobs and take really good and friendly care of their customers.  Went up over Misty Fjords with ""Captain Dan"" who was fabulous and very knowledgeable and put us all (five women!) a..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,"I'm a bit of a nervous flyer, height issues & I felt very comfortable in the beaver aircraft",Very professional pilot | Our pilot gave us a wonderful tour,"A fun ride . Very professional pilot. It was a smooth ride. Our pilot gave us a wonderful tour. I'm a bit of a nervous flyer, height issues & I felt very comfortable in the beaver aircraft. I sat in the second seat behind the pilot. My son flew shotgun...."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,scared,1,I went by myself as others in my group were scared to take the flight,The pilot was nice and knowledgeable,Incredible . One of the best things I have ever done in my life. So amazing and so gorgeous of views. It makes the world seem so small. No matter the cost you must take this trip especially if it is the only time you will be there. Once in a lifetime. The people there were great. We booked thru a cr...
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,"As a nervous flyer I was reluctant to take this tour, but figuring I'd probably not be in Alaska anytime soon, I'd better do it",Our pilot was informative and nice,"So worth it! . As a nervous flyer I was reluctant to take this tour, but figuring I'd probably not be in Alaska anytime soon, I'd better do it. So glad I did! Taking off and landing in the float plane was not at all scary. The scenery at Misty Fjords was so breathtakingly beautiful. Our pilot was in..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,"scared, nervous",1,"My husband is a pilot so I wasn't  "" nervous"" about this excursion | Do not be scared","We were picked up at pier and bussed  to location, watched a FAA emergency briefing , assigned to a pilot and we took off | Pilot was very knowledgeable and friendly","Misty Fijords!!! . Booked this excursions for my parents, husband and myself. We were picked up at pier and bussed  to location, watched a FAA emergency briefing , assigned to a pilot and we took off! Pilot was very knowledgeable and friendly. My husband is a pilot so I wasn't  "" nervous"" about this..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,fear,1,"For someone with a fear of planes, this was extremely pleasant and it really helped that they took so many precautions and were so patient with myself",Sure it was a little rainy but the plane was safe and our pilot couldn't have made us feel more secure and comfortable,"Amazing Ride . Amazing experience where we circled around the island. Sure it was a little rainy but the plane was safe and our pilot couldn't have made us feel more secure and comfortable. For someone with a fear of planes, this was extremely pleasant and it really helped that they took so many pre..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,scared,1,I am really scared of heights but was surprised at how well I did,"Our pilot, Brian maybe I have forgotten his name was great","Landed on a Fjord . I will admit I didn't know anything about fjords before our float plane trip. What and amazing thing to see.  Our pilot, Brian maybe I have forgotten his name was great.  He one of the four pilots that fly for Taquan year round.  We landed on a Fjord and got our of the plane and ..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,I was a bit nervous to fly in a small plane for this but the pilot (James) was very sensitive to our needs,I was a bit nervous to fly in a small plane for this but the pilot (James) was very sensitive to our needs | He was an excellent pilot that made the most of this experience for us,"Amazing Float Plane Trip . My family of 4 (wife and 2 sons age 12 and 10) loved the sightseeing of Misty Fjords!  I was a bit nervous to fly in a small plane for this but the pilot (James) was very sensitive to our needs.  He was an excellent pilot that made the most of this experience for us.  
The..."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,afraid,0,"I was afraid the fog would hinder the experience, but only made the photos even more mystical and Alaskan",,"Mystical Beauty . 100% worth it. The Fjords were amazing and I really enjoyed the landing on the lake. I was afraid the fog would hinder the experience, but only made the photos even more mystical and Alaskan...."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,fear,1,"I have a debilitating fear of flying, but our pilot instilled a great sense of confidence before we took off","I have a debilitating fear of flying, but our pilot instilled a great sense of confidence before we took off","Crab feast flight seeing treat! . I have a debilitating fear of flying, but our pilot instilled a great sense of confidence before we took off. the flight was smooth and perfect. I would definitely do it again...."
17-653-Taquan Air Tours_attraction_review_2025-02-27,5,nervous,1,"Let me first state that my wife doesn't like to fly in small planes, and she was very nervous about the water part",After a short briefing about safety and so forth we were introduced to our pilot Adam,"Awe Inspiring . Let me first state that my wife doesn't like to fly in small planes, and she was very nervous about the water part.  But being the trooper she is she agreed to go for me.  We did book this through our cruise ship and upon leaving the ship immediately boarded their bus.  We had a grea..."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,fear,1,"It felt like our wing tips were just a breath away from the mountain and yet, no fear",Our pilot was great,"Amazing bucket list trip! . This was amazing!  It felt like our wing tips were just a breath away from the mountain and yet, no fear!  Our pilot was great!  The landing on the glacier was so smooth!  A bucket list trip for sure. Flying between and around all the mountains was a view like no other!..."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,"fear, nervous",1,I was the most nervous in the bunch | And the flight itself gave me nothing to fear,"They realized I wouldn't be able to understand the pilot, especially with him and everyone else masked, so they gave me a several page print out with information of everything I would see on the flight | The pilot was excellent and clear as he gave his flight instructions to his passengers","A must do when in Talkeetna . We hemmed and hawed about doing a flight seeing experience.  I was the most nervous in the bunch.  Agreed at the last minute to do a Denali fly around with a glacier landing.  

Arrived at K2 for our reservation only to find out that the experience would be a bit differ..."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,"nervous, afraid",1,"And the weather is so variable, we were afraid to commit | Also, just have to say that we were nervous given Covid","This time was incredible, and K2 aviation, and our pilot Chris, put our trip over the top | Chris our pilot was phenomenal from the second we met him","Words cannot describe how awesome this is! . I've been to Talkeetna a number of times. It's always been overcast or rainy, and I've loved it anyway, even when I haven't been fortunate to see Denali. This time was incredible, and K2 aviation, and our pilot Chris, put our trip over the top. Literally...."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,nervous,1,"Although a couple of us felt initially nervous about the flight in a small plane, once in the air, all fears melted away","Our pilot, Ryan was great","Fabulous! . Incredible flight around Denali!  Our pilot, Ryan was great. He flew in a way that allowed both sides of the plane to see everything.  The views are out of this world!!  Ryan shared lots of information - the names of all the features, the routes made by climbers, history of the area, gla..."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,nervous,1,"If you are nervous about the small plane fligtseeing, this is the place for you","Our pilot, Chris, was an excellent guide","Amazing Experience!. . Our pilot, Chris, was an excellent guide. Knowledgeable about the mountains, AK history and flight. By far the smoothest take off, flight and landing ever. If you are nervous about the small plane fligtseeing, this is the place for you. Could not be easier. Also upgrade to the..."
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,nervous,1,I never felt nervous or uneasy about the flight,What an awesome experience with an awesome pilot that knew his stuff and answered questions throughout,Breath taking . What an awesome experience with an awesome pilot that knew his stuff and answered questions throughout.  I never felt nervous or uneasy about the flight.  Landing and takeoff were smooth.  Can't wait to do it again!!!...
28_231_Denali Grand Flightseeing Tour from Talkeetna_attraction_product_review_2025-03-01,5,nervous,0,We were a little nervous flying in a plane that lands on a glacier but this was incredible and well worth it,,"Best “adventure” on our 10 day trip . We were a little nervous flying in a plane that lands on a glacier but this was incredible and well worth it. We landed on Pika Glacier in front of Foraker Mountain. 

The sights were amazing and a thrill we won’t forget. Spent around 30 minutes on the glacier a..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"terrified, afraid",0,"Don't be afraid like I was -- very professional | To be completely honest, I was terrified going into this, but the whole experience was 100% professional--very comforting",,"Don't be afraid like I was -- very professional . To be completely honest, I was terrified going into this, but the whole experience was 100% professional--very comforting. Also, this is not like a wild trip of ups and downs and stunt flying--very calm all the way and also very informative. Would hi..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"scared, nervous",1,"One of our party is very, very scared of heights (and a bit of flying) and so almost dropped out last minute | Someone else on the trip almost mentioned to the pilot afterwards that she too is a nervous flyer and felt good about the trip",I think they say the chopper technically seats 7 (with pilot) but it would be cramped with over 5 adults | Forrest our pilot did an excellent job pointing things out and giving us a bit of history/info,"One of the top experiences of our lives . We did the 45 minute tour and it was one of the best things we have ever done. It is by far the best way to appreciate the scale of the canyon. 

The seating in the chopper is set by the computer based on the weight of all passengers in order to achieve a go..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"scared, nervous",0,After all the hype of the Grand Canyon I was scared it wouldn’t live up to people explaining it to me | I was nervous but had to do it anyway,,DO THIS TOUR! No joke! . After all the hype of the Grand Canyon I was scared it wouldn’t live up to people explaining it to me. I saw it in person and it was beautiful and amazing…BUT it was nothing compared to the helicopter tour. Holy wow! I was nervous but had to do it anyway. There is nothing li...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,I was a little nervous but the Pilot was excellent,I was a little nervous but the Pilot was excellent,Maverick Helicopters . It was a beautiful flight over the Grand Canyon.  I was a little nervous but the Pilot was excellent!...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,"I was a little nervous at first, but I love flying in small airplanes so it was fun after my initial worries","The Pilot was fun and full of so much information, I wish I had a recording of his narrative as we flew to sync up to the video I shot","Best money I ever spent! . BEST $300 I EVER spent! I knew I could never see the whole Grand Canyon, and had never been there before. The experience was amazing. The Pilot was fun and full of so much information, I wish I had a recording of his narrative as we flew to sync up to the video I shot. I w..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"anxious, afraid",1,I'm afraid of heights and was both a bit anxious about the flight and very excited about what we'd see,"Our pilot and the ground crew were all excellent | The ground crew and pilot, Brendon, were very safety conscious and got everyone strapped in with headphones","Bucket List  Helicopter Flight . I had never flown in a helicopter before. I'm afraid of heights and was both a bit anxious about the flight and very excited about what we'd see. This flight was amazing! It was smooth and not at all scary. 
We flew over parts of the Grand Canyon that we never would ..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"fear, scared",1,"First was scared to death and considering backing out but went through it | David, our pilot, was extremely helpful easing my fear","David, our pilot, was extremely helpful easing my fear","Was awesome . This was my first time of doing anything like this. First was scared to death and considering backing out but went through it. It was AMAZING.  So glad I did it. David, our pilot, was extremely helpful easing my fear...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,scared,1,We were scared at first but the views take your breath away,"Pilot, crew and reception all great","Terrific but terrifying . Everything was efficient and professional. Pilot, crew and reception all great. We were scared at first but the views take your breath away...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"fear, terrified",1,"I'm terrified of flying, but after a few minutes, my fear went away and enjoyed the spectacular view",Pilot knew what they were doing,"Awe Inspiring Views . Everything about this booking was great. Not a bad seat in the helicopter, front or back. Pilot knew what they were doing. I'm terrified of flying, but after a few minutes, my fear went away and enjoyed the spectacular view...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,"We had never been in a helicopter so were a bit nervous, however, we felt completely safe and secure the entire time, our pilot was informative and made us all feel very comfortable which made viewing the Grand Canyon from this perspective an outstanding experience","We had never been in a helicopter so were a bit nervous, however, we felt completely safe and secure the entire time, our pilot was informative and made us all feel very comfortable which made viewing the Grand Canyon from this perspective an outstanding experience","Experience of a lifetime! . This was a fantastic experience for our family.  The  operation was run very smoothly.  The office where you checked in and waiting for your ride to begin was quite nice and welcoming.  It was very organized and when it was our turn we were directed exactly what to do, bu..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,scared,1,"My daughter was a bit scared, so this really helped her","The pilot did a great job of keeping his talking points fresh and explaining what we were seeing (apologies to the pilot that I can’t give him a shout out – I forgot his name) | I felt very safe the entire flights and my son loved it so much, he now wants to be a helicopter pilot","Amazing experience! . I would highly recommend taking a helicopter tour of the GC! We took a 45 minute ride that included going over the south rim, flying across to the north rim and amazing views all the way. The flight was magical and informative. The pilot did a great job of keeping his talking p..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,Neither of us had been in a helicopter before so we were a little nervous but the pilot was naturally comforting,The views were amazing and the guide/pilot was awesome | Neither of us had been in a helicopter before so we were a little nervous but the pilot was naturally comforting,"Just do it . My girlfriend and I decided to splurge a little more than usual with this trip, but holy crap was it worth it. The views were amazing and the guide/pilot was awesome.  Neither of us had been in a helicopter before so we were a little nervous but the pilot was naturally comforting. 10/10..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"fear, scared",1,Truly no need to be scared | This is from someone who has a fear of heights,Matt was our pilot,"Absolutely Spectacular . The whole experience was so smooth. 
Matt was our pilot. He was amazing! In simple conversations he was able to gage everyone's excitement and fears. He has a way of using humor to offset someone's fears. Truly no need to be scared. This is from someone who has a fear of hei..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,0,My daughter was a bit nervous about flying in a helicopter for her first time,,Another check off the bucket list . The thrill of flying into that great wonder of the world was an experience I’ll never forget. My daughter was a bit nervous about flying in a helicopter for her first time. My assurance the it was safer than driving in the family car did little to assuage her conc...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,"scared, nervous",1,Not for a minute was I scared or nervous,Our pilot Matt came in and greeted us and another couple | So there were 4 plus of course the pilot,What a great way to see the Grand Canyon! . We decided to take a helicopter tour over the grand canyon and decided to go with Maverick tours. We arrived at 1 for our 1:45 tour. We were weighed and checked in immediately. They have a nice little gift shop there to poke around in while you wait for yo...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,afraid,0,I don’t care for helicopters and my wife is afraid of heights but we wanted our kids to have an amazing experience,,"Amazing . I don’t care for helicopters and my wife is afraid of heights but we wanted our kids to have an amazing experience.  This blew us away…I will go back anytime…it was amazing.

Highly recommend...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,0,A couple of them were nervous about it but ended up loving it,,Awesome experience . We had a great experience!  I had done this trip before but the other 5 in our group had not.  A couple of them were nervous about it but ended up loving it.  It is an amazing way to see the Grand Canyon....
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,afraid,1,My wife is afraid of heights and she was comfortable the whole time,"The pilot was wonderful and the ride was a lot smoother than I was anticipating | Extra shout out that the pilot shuffled us around of the preselected seating assignments (based on our weight) after I asked if he could let my son sit in the ""good seat"" (front right with the best view - although it was great from the back seat too) because of the special occasion of picking him up for ARMY training","Incredible! . Our son just graduated from AIT (ARMY training) in Ft. Huachuca AZ. He asked us to drive half way across the country to pick him up so of course it was a no-brainer. We really wanted to surprise him with something special for this once in a life time occasion, and what better than a he..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,It was our first time in an helicopter and we were a bit nervous,The pilot made all guests very comfortable,Incredible way to experience the Grand Canyon . I’m so glad my husband and I took this tour as a honeymoon gift. What an amazing way to see the beauty of the Grand Canyon and its immediate surroundings. It was our first time in an helicopter and we were a bit nervous. The pilot made all guests very ...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,First helicopter ride and was a little nervous but the professional group was great,The pilot was very reassuring and very informative,"Bucket List . Lifetime experience. First helicopter ride and was a little nervous but the professional group was great. The pilot was very reassuring and very informative.
You fly over and through the Canyon and see many things that you can not appreciate on the ground...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,afraid,0,The flight was ever so smooth and for those afraid of flying then the music helped calm the nerves,,Amazing Grand Canyon flight with spectacular views . This was worth every penny (or dollar even!) Check in was very straightforward. The flight took off spot on time and there was ample room to see. You get allocated seating depending on weight for safe loading so be prepared. There are 6 passenger ...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,"At no point were we nervous, even my 7 year old son, it was a very calm and amazing experience | I was actually more nervous just walking on the trails into the canyon later that day rather than flying high over the canyon itself","We travelled with our 7 and 10 year old children and were placed in a private tour with no others, which was wonderful and we all had a fantastic view, I was in front with the two kids and my husband was behind the pilot next to the window | Our pilot Mark was phenomenal; very skilled in flying, knowledgeable on the geography of the Grand Canyon, and entertaining","Just WOW - An Experience Like No Other! . My family of 4 did this tour last week and were beyond impressed.  We opted for Maverick because of their fleet of newer helicopters with ample windows spanning down to the floor in the front.  Navigation to the airport and check in was so easy, with a relax..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,scared,1,Not scared at all due to the professional pilot,Not scared at all due to the professional pilot,"First time ride on a helicopter . Not scared at all due to the professional pilot. The views were indescribable, great experience. Monsoon rain and fog had us postponed our date, company was flexible, no problem in accommodating us on another date. Once-in-a-lifetime experience...."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,afraid,1,"I was afraid that it would be too high up to appreciate the Grand Canyon, boy was I wrong",The flight was amazing and so was our pilot/guide Daniel,"""Heavenly."" . I was afraid that it would be too high up to appreciate the Grand Canyon, boy was I wrong! The flight was amazing and so was our pilot/guide Daniel.  He was informative and answered all of our questions. It was a true adventure and I would do it again!!..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,scared,1,"The only time I was a bit scared was coming up to the crest of a butte, the wind was strong in Nov","(we had 3 women, 3 men w pilot Vern)  This was always on my bucket list, I loved it, a great investment in a great experience","Best way to see Grand Canyon . The Grand Canyon is SO Vast, it's the fastest, best way to see the whole thing.  It was hard to take it all in... so much to look at.  We saw Bison grazing in field, saw many formations that Vern told us about, and their names & he answered any questions we had while i..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,It was the first time for my wife but the positive safe environment helped her not be nervous,"our pilot was very pro | Beyond the canyon, the friendly and informative pilot showed us buffalos at a water hole on the north rim wilderness, and many other interesting things","Experience not to be missed! . We took the 10:00am tour and were lucky to each have a window seat. (middle seats in the back would not be as enjoyable, but on our flight they were left empty)

The EC-130 helo gives a very smooth ride and is very stable. our pilot was very pro. It was the first time ..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,nervous,1,"I regularly use helicopters for my work offshore, but I know my wife was incredibly nervous, and the revelation of his flying experience really helped her to enjoy the flight",Our pilot (apologies as his name escapes me,More than i expected it to be . We travelled from Scotland to the USA to ride down the famous Route 66. One of my most anticipated stops was to see the Grand Canyon. But it was also one of my most dreaded... perhaps the hype was all just hype... what if it was an anti-climax? What if it was a comple...
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,fear,1,"Once we took off, I never felt any fear at all, It was a thrilling experience to fly over the canyon, to see views up close that you cannot see anywhere else","The pilot was amazing, couldn't have asked for better","The highlight of our trip!  I will never forget this experience! . Never having flown in a helicopter, I was apprehensive but determined to take this tour!  The pilot was amazing, couldn't have asked for better.  Once we took off, I never felt any fear at all, It was a thrilling experience to fly ov..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,afraid,0,Don't be afraid,,"You need the bird's eye view, too . This is money well spent to enhance your experience of Grand Canyon. It is not instead of visiting the Canyon - the helicopter tour complements what you see when you visit the South Rim. Don't be afraid. It is awesome to fly there in the helicopter, and the pilots..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,scared,1,"I was hesitant to book the 45 minute flight, both because of the price and the fact that I'm scared of flying, but I knew my husband would love it and now I'm so glad we did it",Our pilot was very nice and professional,"Breathtaking! . I was hesitant to book the 45 minute flight, both because of the price and the fact that I'm scared of flying, but I knew my husband would love it and now I'm so glad we did it! We spent a few days hiking above and below the south rim, but having the possibility to see the Grand Cany..."
"9-691_45-minute Helicopter Flight Over the Grand Canyon from Tusayan, Arizona_attraction_product_review_2025-02-27",5,anxious,1,"However, if you're feeling anxious about it, maybe those are the seats for you","The helicopter seating arrangement is the pilot plus three people in the front; and four people across the back | We only had the pilot plus 5 passengers, so the two center backseat chairs were empty","Whole New Perspective . Highly recommend seeing the Grand Canyon from the air.  There are a couple of helicopter tours that leave out of the Tusayan airport.  Maverick is on the back side, or the second entrance coming from the town.  We took a 45 minute tour which was a good amount of time for us. ..."
