word,chinese_translation,stage_origin,frequency_2500,review_count_2500,example_context
alternative,alternative（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
began,began（过程/动作动词）,Stage 1 (500 Discovery),13,12,"review_7b8fca9fb1b20483fadf5af6 :: This was my first experience of this kind. and I am glad it began with this operator.  The crew ( Capt Josh, Ellen and Ciera) was excellent. We arrived an hour early for the 11'o c..."
capture,capture（名词/物理实体）,Stage 1 (500 Discovery),13,13,review_bed38cb5492cc85e5a6942a8 :: If you are in the front you get a panoramic view of the canyon but in the back you get a panoramic view of the front passengers. Its very unfair that Maverick charge the same price...
card,card（名词/物理实体）,Stage 1 (500 Discovery),13,8,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
consider,consider（过程/动作动词）,Stage 1 (500 Discovery),13,11,"review_bab9df7e8bd9919aeef4816d :: The Grand Canyon scenery was absolutely spectacular from the ground so we were expecting even better views from the helicopter flight over the Grand Canyon. However, unfortunately ..."
contact,contact（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_65d0a54805e601aa5a524fcc :: This review is for the Grand Deluxe tour with Kauai by Air. The tour covers most of the standard spots in Kauai including Jurassic Falls, Napali, Waimea Canyon, etc. 

Experience (..."
copilot,copilot（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_993985c342753f81a2cd36de :: Knowing that my wife, Valerie, wouldn't consider a helicopter experience over the island, (neither would I) I researched WOK and talked her into the flight.  WOW!  We totally enjoy..."
counter,counter（名词/物理实体）,Stage 1 (500 Discovery),13,12,review_07b74d25ca8cca39cb34a0be :: I did this excursion today on 06/20/2013 and I had a bad experience on this ride which I would like to share especially from the pilot of of our float plane.  First of all he tried...
credit,credit（名词/物理实体）,Stage 1 (500 Discovery),13,9,"review_af08902c4c1b7326756e9e93 :: In a nutshell, the views of Mckinley were stunning however the pilot, a gentleman from Pennsylvania, exhibited the height of rudeness. And no, I'm not misunderstood. He was blatant..."
discount,discount（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
driven,driven（过程/动作动词）,Stage 1 (500 Discovery),13,13,review_3be86b281748fcad0f0f0b34 :: This is a bucket lister for sure. We called one day ahead and made the reservation with ease. I must say the young men who answered the phone had some of the nicest manners I have ...
edge,edge（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_d4fa1a7a54b252b2583388d6 :: Last week we did the seaplane tour of the Misty Fjords on Taquan Air Tours.  The views were spectacular.  However, breathing in diesel fumes while in-flight was not fun.  Anyway, a..."
everybody,everybody（中性词）,Stage 1 (500 Discovery),13,13,review_f71dcbf52b93eb6e5b772372 :: It was such a pleasure dealing with Lesley. We were group of 14 and the entire flightseeing tour of Misty Fjords was flawless. Everybody at SeaWind  Aviation are very friendly and ...
formations,formations（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
groups,groups（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_e01e7e33a2e53a8b8dad0eb6 :: This was the best part of our Alaskan cruise. The float plane trip was exceptional,  but the walk through the woods and viewing the bears from a platform was the most thrilling exp..."
heading,heading（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_50ad674985c5646672bc62e8 :: We dealt directly wit Taquan Air by email to book this rather than through our ship. Much cheaper and really easy to do, they are really easy to deal with directly and are happy to..."
heard,heard（过程/动作动词）,Stage 1 (500 Discovery),13,13,"review_07a4d180b1c3927f6d90e08e :: Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They o..."
heights,heights（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_2b9c272ff392f8ee6495f4ba :: It was an amazing, once-in-a-lifetime experience for me and my partner and we were so glad we chose to go with a plane instead of the helicopter tour. We were able to see all of th..."
include,include（过程/动作动词）,Stage 1 (500 Discovery),13,13,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai. We picked this company for our air tour because of the great reviews. Although the flight was nice (Marcu..."
inside,inside（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_9406c0f7b673118b01c4a820 :: This is the second time I have made the trip..and it's an approxinately 1.50 hour trip of absolute wonder. We landed approx 11,000 ft. I really can't express the sheer joy of seein..."
jeep,jeep（名词/物理实体）,Stage 1 (500 Discovery),13,11,review_50087c058cc38daa21b82926 :: We took this flight combined with “The Original Grand Canyon Jeep and Safari Tour.”  No words can appropriately describe this awe inspiring experience.  At one time I found myself ...
moose,moose（名词/物理实体）,Stage 1 (500 Discovery),13,12,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
opinion,opinion（名词/物理实体）,Stage 1 (500 Discovery),13,13,review_526dbe35e33d3c3d784cc127 :: Great experience from friendly booking agent to professional extremely knowledgable pilot.  We have two young girls (4 & 6) and we all got great large window seats with  noise canc...
parking,parking（名词/物理实体）,Stage 1 (500 Discovery),13,11,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
playing,playing（名词/物理实体）,Stage 1 (500 Discovery),13,13,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
rainbow,rainbow（名词/物理实体）,Stage 1 (500 Discovery),13,13,review_1fc8f0c15a6fbe4082544da9 :: My wife and I took a 50 minute air tour with AirVentures and were flown around the island by Captain Harry in one of their two Gippsland GA-8 AirVan single engine fixed wing aircra...
rate,rate（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_767bec68b932ffbf60702af0 :: We booked months prior to our trip to Alaska. I called to make the reservations, and they couldn't have been nicer! The day of our flight was finally here and we were excited. When..."
recent,recent（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_6466b9ab383b5a4f1fdda53c :: Our recent Seaplane Adventure was fabulous! Aside from the novelty of taking off an landing on water we were treated to a sightseeing adventure along the Marin County coastline, pa..."
remote,remote（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_82386bb91c344ca8b5ec8dd0 :: From the first moment Tony put us in a relaxed mood 
After introduction and seating in the plane we took off across the water for a very visible and knowledgeable journey to Evergl..."
rock,rock（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_54ae5b5d8364deffe47809c6 :: My husband and children (18,19) had a great time on this trip!  The early morning plane ride was terrific, and as we had read before, it’s best to sit on the left side of the plane..."
room,room（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
salmon,salmon（名词/物理实体）,Stage 1 (500 Discovery),13,10,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
saved,saved（过程/动作动词）,Stage 1 (500 Discovery),13,13,review_546786840bf6c65f5be66ad8 :: We booked after we got off the ship and saved a bunch of money!!! The ship price was 280 and we got the trip for 230... Naomi took us to the plane and Mike took us flying. It was w...
scale,scale（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_48c09089c16a76a76a7c28b4 :: Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon..."
sent,sent（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_6e26cab593dc66b15f99cf0a :: My favorite excursion so far in Alaska! Pilot Lou flew a smooth flight and landing on the glacier. I learned so much about how the glaciers, mountains and waterways were formed. He..."
shorter,shorter（客观属性词）,Stage 1 (500 Discovery),13,13,review_526dbe35e33d3c3d784cc127 :: Great experience from friendly booking agent to professional extremely knowledgable pilot.  We have two young girls (4 & 6) and we all got great large window seats with  noise canc...
signed,signed（过程/动作动词）,Stage 1 (500 Discovery),13,13,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
similar,similar（客观属性词）,Stage 1 (500 Discovery),13,11,"review_bea011d24dcf4997edde8188 :: Great views to give you an overall impression of the island without trying to drive/hike everywhere! Our pilot ""Piper"" was an amazing lady - bubbly,informative, wrote down some tur..."
skill,skill（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot. With his incredible skill, we were able to witness the sea cliff from an impeccabl..."
skywalk,skywalk（名词/物理实体）,Stage 1 (500 Discovery),13,12,"review_c39dc7379a12552fa62d8ddd :: We booked the full package through Grand Canyon Scenic Airlines: air flight to the Canyon, helicopter trip into the Canyon and river ride, bus tour and Skywalk. The company was con..."
slow,slow（过程/动作动词）,Stage 1 (500 Discovery),13,13,review_f636b160dcd5b8cb35245d33 :: Maverick tours are a very slick and professional company. There was 8 in our party and we had a great day. We couldn't fault any part of the tour and Bruce our guide was informativ...
sorry,sorry（客观属性词）,Stage 1 (500 Discovery),13,13,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
spoke,spoke（名词/物理实体）,Stage 1 (500 Discovery),13,13,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
staying,staying（过程/动作动词）,Stage 1 (500 Discovery),13,13,"review_bbf12aaf52ffd1f8f514701a :: This was the experience of a lifetime. By nature of their business, weather can play a role in their ability to provide their service. K2 was phenomenal at staying in communication..."
stood,stood（过程/动作动词）,Stage 1 (500 Discovery),13,12,review_dea6554bb253c3a9200497a0 :: Never book this tour! The tour didn‘t take place without notice! We stood infront of the company and we couldn’t fly WITHOUT any notice! The person on the phone was super unfriendl...
store,store（名词/物理实体）,Stage 1 (500 Discovery),13,11,"review_b000df598ef420c3db6a55b4 :: We did a Denali explorer flight seeing tour with glacier landing on July 5.  I had originally had this excursion booked for three weeks prior to this date, but I came down with cov..."
waterfall,飞瀑 / 瀑布,Stage 1 (500 Discovery),13,12,"review_e01e7e33a2e53a8b8dad0eb6 :: This was the best part of our Alaskan cruise. The float plane trip was exceptional,  but the walk through the woods and viewing the bears from a platform was the most thrilling exp..."
website,website（名词/物理实体）,Stage 1 (500 Discovery),13,11,"review_0f50928b644eab8e69fd4905 :: I need to reschedule the flight for 3 times because of Glacier Landing. When I asked a front desk person, when was the last glacier landing, she did not able to answer me which is ..."
advice,advice（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_07b74d25ca8cca39cb34a0be :: I did this excursion today on 06/20/2013 and I had a bad experience on this ride which I would like to share especially from the pilot of of our float plane.  First of all he tried...
altitude,altitude（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_ef7bbe16ce33d90360beda5a :: Everyone that greeted us there was very friendly. Our pilot (Josh?) was very knowledgeable of the land history and movies that had taken place there. Although we had very clear sky...
amazed,amazed（过程/动作动词）,Stage 1 (500 Discovery),12,12,review_3d455acb96b23304d8dd0f88 :: We were traveling in Alaska for about 1.5 weeks in September of 2011.  We knew that we would have to be flexible with the weather but we were hopeful things would work out.  At the...
arriving,arriving（过程/动作动词）,Stage 1 (500 Discovery),12,10,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
attractions,attractions（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_082e1f27aa3bb895882c5db8 :: I wanted to do something special for my girlfriend's birthday. I've been to Kauai a couple of times but she has not. What better way to see an island for the first time than seeing...
audio,audio（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_1a40b7366c1df323a2059968 :: Captain Jack was wonderful as he flew us over the Grand Canyon. The tour had an audio component, which was just informative enough but not overdone. The views were stunning and tru..."
bi,bi（名词/物理实体）,Stage 1 (500 Discovery),12,9,"review_291988db94de25fedef72be3 :: My friend and I were in Kauai celebrating our 50th birthdays and wanted to do something memorable together. When our commercial plane arrived in Lihue, we saw this yellow bi-plane ..."
breakfast,breakfast（名词/物理实体）,Stage 1 (500 Discovery),12,9,"review_88502161ff9ad68f73b4c322 :: Took the Canyon Adventure tour that consisted of a plane ride early AM over the canyon, walk into Antelope Slot, and float ride down the Colorado River.  Expensive, but hands down ..."
changed,changed（过程/动作动词）,Stage 1 (500 Discovery),12,12,review_72dffd429fd9efb709276575 :: I decided the day of to take this trip. My husband and son had a reservation but I was too scared. I changed my mind and went. The pilot was great. Very thorough going through safe...
communicate,communicate（过程/动作动词）,Stage 1 (500 Discovery),12,12,"review_0007fe1c2b3216a8645c4245 :: After being in Alaska for about a week, we were really looking forward to our float plane ride - as we had already seen so many fly by.  We had an absolutely perfect day for flying..."
country,country（名词/物理实体）,Stage 1 (500 Discovery),12,10,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
coupon,coupon（名词/物理实体）,Stage 1 (500 Discovery),12,10,"review_65d0a54805e601aa5a524fcc :: This review is for the Grand Deluxe tour with Kauai by Air. The tour covers most of the standard spots in Kauai including Jurassic Falls, Napali, Waimea Canyon, etc. 

Experience (..."
covers,covers（名词/物理实体）,Stage 1 (500 Discovery),12,10,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
deep,deep（名词/物理实体）,Stage 1 (500 Discovery),12,11,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
directions,directions（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_b000df598ef420c3db6a55b4 :: We did a Denali explorer flight seeing tour with glacier landing on July 5.  I had originally had this excursion booked for three weeks prior to this date, but I came down with cov..."
dramamine,dramamine（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_2b9c272ff392f8ee6495f4ba :: It was an amazing, once-in-a-lifetime experience for me and my partner and we were so glad we chose to go with a plane instead of the helicopter tour. We were able to see all of th..."
dropping,dropping（过程/动作动词）,Stage 1 (500 Discovery),12,12,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
earth,earth（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_bbf12aaf52ffd1f8f514701a :: This was the experience of a lifetime. By nature of their business, weather can play a role in their ability to provide their service. K2 was phenomenal at staying in communication..."
east,east（名词/物理实体）,Stage 1 (500 Discovery),12,11,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
event,event（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_b8ab433b6add39f65bbcf6a9 :: Everyone paid the same price but the experiences were vastly different depending on where in the helicopter you sat.  I sat in the back in the middle and had a very restricted view...
everglades,everglades（名词/物理实体）,Stage 1 (500 Discovery),12,5,"review_ae2ecce2195633184719de13 :: Wow where to begin ...This was one of the Best Ever Tours we’ve ever done. Our Seaplane Capt Anderson was Brilliant, I’ve been on a bigger Seaplane before but never one so small th..."
excursions,excursions（名词/物理实体）,Stage 1 (500 Discovery),12,10,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
fear,fear（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
ft,ft（名词/物理实体）,Stage 1 (500 Discovery),12,8,"review_9406c0f7b673118b01c4a820 :: This is the second time I have made the trip..and it's an approxinately 1.50 hour trip of absolute wonder. We landed approx 11,000 ft. I really can't express the sheer joy of seein..."
headset,headset（名词/物理实体）,Stage 1 (500 Discovery),12,11,review_4e12b4a1176793651a28a048 :: My husband and I visited Alaska for my first time in early August.  We knew we wanted to experience a fly over Denali National Park.  After researching the various tour operators o...
itinerary,itinerary（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_c3f460d4aaa80dae038e0054 :: We are a group of 6 ladies from all over who met in Hawaii yo celebrate 2 of our 50th birthdays.
We included Kauai on our itinerary to see the Na Pali trail only to discover it has..."
major,major（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_300f9baf05912fc8f616fd90 :: We booked the private tour at 5:30. We got there at 4:45. (Booking says to get there 30 mins earlier.) When you get to the destination they have no office. They just get fuel from ...
man,man（名词/物理实体）,Stage 1 (500 Discovery),12,11,review_300f9baf05912fc8f616fd90 :: We booked the private tour at 5:30. We got there at 4:45. (Booking says to get there 30 mins earlier.) When you get to the destination they have no office. They just get fuel from ...
manner,manner（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
mile,mile（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
month,month（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_13f4ed29bbfcff2c082a87b1 :: Bruce and Patti offer incredible service, an extraordinary experience at a very reasonable price.  My family had 3 adults a 3 year old and a 6 month old on our flight.  Bruce and P..."
offers,offers（名词/物理实体）,Stage 1 (500 Discovery),12,11,"review_9f9d62b99552657a136a55ab :: Part of our family vacation this year was an overnight trip to San Juan Islands, and what better way to get there and back than a seaplane!  This was awesome.  The flight is about ..."
path,path（名词/物理实体）,Stage 1 (500 Discovery),12,10,review_e55f985b9a9c0b8f6f16b85a :: Really great flight with views of humpback one way and mountains the other. Ex navy pilot so in good hands. The bear watching was a short 10 min walk through the rain forest with M...
played,played（过程/动作动词）,Stage 1 (500 Discovery),12,12,review_a158a996fb85a211763435ea :: The flight itself is really scenic. I liked that we landed in the water about halfway through and could walk out on the sides of the plane to take in the view. Pilot was good but d...
pm,pm（名词/物理实体）,Stage 1 (500 Discovery),12,10,"review_75cdb4112994bd19ab8118d1 :: Worst experience compared to every other tour we did in Kauai and big islands, they started 30 minutes late than actual time which was 4.30 pm, thus it made us late for our plans a..."
quality,quality（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_ccbf41fd973bf287ad08897f :: We had questionable weather with heavy clouds and some rain, Josh gave us the option to cancel but also gave us some knowledgeable insights about what to expect, noting the cloud d..."
reading,reading（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_af6e91837198d33f81e2790e :: We paid to get a ride on a 30 seater and were taken on the tarmac to a beater silver plane in the back. The plane had clank noises when turning on the runway. The pilot was reading...
relaxing,relaxing（过程/动作动词）,Stage 1 (500 Discovery),12,12,"review_a15b565f6bbac9f317cc2336 :: Booked the day before going, very last minute. Everything worked perfectly- from start to finish. Relaxing, beautiful, and breathtaking views that you can’t see without a plane! Li..."
rough,rough（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
services,services（名词/物理实体）,Stage 1 (500 Discovery),12,11,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
shop,shop（名词/物理实体）,Stage 1 (500 Discovery),12,11,"review_6e26cab593dc66b15f99cf0a :: My favorite excursion so far in Alaska! Pilot Lou flew a smooth flight and landing on the glacier. I learned so much about how the glaciers, mountains and waterways were formed. He..."
shots,shots（名词/物理实体）,Stage 1 (500 Discovery),12,11,review_43ea85710b6216e626dd2867 :: Thanks Harry for a smooth flight and delightful information about the island.  The sights were spectacular. You can really see the differences of each side of the island.  My only ...
slightly,slightly（副词/程度词）,Stage 1 (500 Discovery),12,12,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
space,space（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_ed42ef9dc4fa813cfcacdfdb :: My family of 4 did this tour last week and were beyond impressed.  We opted for Maverick because of their fleet of newer helicopters with ample windows spanning down to the floor i...
starting,starting（名词/物理实体）,Stage 1 (500 Discovery),12,12,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
till,till（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_0f3f96f0d8ddde5849fdb605 :: Never book with these people....  I made a reservation for September 30 and they said it was confirmed for Sept 23rd.  They never sent a confirmation, never got one and they called..."
viewed,viewed（过程/动作动词）,Stage 1 (500 Discovery),12,11,review_b3ad77a1bb49a5eb337a6bd2 :: We were blessed with a clear blue sky and a unlimited viewing of the ice fields and mountains in Denali. The pilot was gracious and accomplished. We had a glacier landing which was...
visible,visible（客观属性词）,Stage 1 (500 Discovery),12,12,"review_6817a71966166352425fc30b :: Took a 70 minute flight with my two young daughters, the Gippsland GA8 (airvan) is a comfortable aircraft, each passenger has a bubble window suitable for photography, and cold bot..."
vs,vs（名词/物理实体）,Stage 1 (500 Discovery),12,11,review_6695b050bf998824d236b151 :: I was being dropped off at Denali base camp as I was trying to climb Denali. Upon being dropped off and after the plane left I realized that 5 of my buckles were broken on my pack ...
wonders,wonders（名词/物理实体）,Stage 1 (500 Discovery),12,12,"review_71241e031e521f6c6963b901 :: I am terrified of flying and was really dreading the Grand Canyon tour.
 As we drove to Boulder airport I was becoming more and more terrified. As I walked into the airport a lovel..."
affordable,affordable（客观属性词）,Stage 1 (500 Discovery),11,11,"review_e19f4508602ecbfcd0a59754 :: I really enjoyed the tour!! it was my mom's birthday gift
the tour was beyond my imagination and very affordable prices.
very nice gift and experience 
The best in the market
Eagle..."
agree,agree（过程/动作动词）,Stage 1 (500 Discovery),11,11,"review_b000df598ef420c3db6a55b4 :: We did a Denali explorer flight seeing tour with glacier landing on July 5.  I had originally had this excursion booked for three weeks prior to this date, but I came down with cov..."
agreed,agreed（过程/动作动词）,Stage 1 (500 Discovery),11,10,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
alone,alone（客观属性词）,Stage 1 (500 Discovery),11,10,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
aspects,aspects（名词/物理实体）,Stage 1 (500 Discovery),11,11,review_1abcbc85e601f91ee16e3669 :: The Wings Over Kauai staff was so helpful from the start. Our first reservation was for the private air tour for 2 on a Cessna. That trip was cancelled so they rebooked us for the ...
avoid,avoid（过程/动作动词）,Stage 1 (500 Discovery),11,10,"review_4511d8eaf3229db4ead0a471 :: We were very much looking forward to this tour when we booked it from Holland America. When we took the tour, 3 other groups left at the same time. We were group of 5 and was only ..."
bags,bags（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
basically,basically（副词/程度词）,Stage 1 (500 Discovery),11,11,"review_af08902c4c1b7326756e9e93 :: In a nutshell, the views of Mckinley were stunning however the pilot, a gentleman from Pennsylvania, exhibited the height of rudeness. And no, I'm not misunderstood. He was blatant..."
boots,boots（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_b6566a20ab2c573fdf5f18b8 :: Heidi, the young lady who booked our reservation was incredibly helpful and informative. She was honest and forthcoming. When we arrived, the location was close to the town center ..."
brief,brief（名词/物理实体）,Stage 1 (500 Discovery),11,10,"review_6817a71966166352425fc30b :: Took a 70 minute flight with my two young daughters, the Gippsland GA8 (airvan) is a comfortable aircraft, each passenger has a bubble window suitable for photography, and cold bot..."
caring,caring（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_c3f460d4aaa80dae038e0054 :: We are a group of 6 ladies from all over who met in Hawaii yo celebrate 2 of our 50th birthdays.
We included Kauai on our itinerary to see the Na Pali trail only to discover it has..."
cd,cd（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_9a11f9cee33a76f2968df167 :: We have friends that now live in Hawaii and they strongly suggested that we take a plane tour of Kauai, rather than a helicopter tour. So we searched and found Wings over Kauai. Th..."
covid,covid（中性词）,Stage 1 (500 Discovery),11,9,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
described,described（过程/动作动词）,Stage 1 (500 Discovery),11,11,"review_979ebaf5ccd3b94c095ddf1a :: We picked Kauia destination for our honeymoon, but as far as we wanted to make the trip brilliant we came to Kauai un prepared about doing an Air tour ! We were worried we wouldn't..."
difference,difference（名词/物理实体）,Stage 1 (500 Discovery),11,9,review_4e12b4a1176793651a28a048 :: My husband and I visited Alaska for my first time in early August.  We knew we wanted to experience a fly over Denali National Park.  After researching the various tour operators o...
dollar,美元,Stage 1 (500 Discovery),11,11,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
eagles,eagles（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_e19f4508602ecbfcd0a59754 :: I really enjoyed the tour!! it was my mom's birthday gift
the tour was beyond my imagination and very affordable prices.
very nice gift and experience 
The best in the market
Eagle..."
enjoying,enjoying（过程/动作动词）,Stage 1 (500 Discovery),11,10,"review_bab9df7e8bd9919aeef4816d :: The Grand Canyon scenery was absolutely spectacular from the ground so we were expecting even better views from the helicopter flight over the Grand Canyon. However, unfortunately ..."
fascinating,fascinating（过程/动作动词）,Stage 1 (500 Discovery),11,11,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
garden,garden（名词/物理实体）,Stage 1 (500 Discovery),11,11,"review_a656c6b756028f860463f7a4 :: What an amazing way to see the beautiful Garden Island! Our pilot/instructor/guide, Jacob, let me fly while my wife did the photos from the back seat. We explored the whole island ..."
