word,chinese_translation,affect_type,frequency,review_count,example_context
screaming,惊恐尖叫的,E1_State (Direct Internal Affective State),1,1,"review_326f19457a589d42a33ff874 :: Can't express how amazing this flightseeing was!! We did Mt. McKinley base camp with glacier landing. During the flight, I was just screaming (nobody could hear me as everyone wore..."
shaking,吓得发抖颤抖的,E1_State (Direct Internal Affective State),1,1,review_5d9eea119504a77b7f64c33f :: So the BF and I were debating whether to view the Na Pali Coast by water or air.  I made the executive decision to do both.  We did the cheaper sunset cruise with Captain Andy's th...
soothing,舒缓抚慰人心的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_06c317e4d5d8ceacebdaa76d :: The scenery was amazing!  There is so much natural beauty in Kauai and this is a great and special way to see it.  Some of the interior parts of Kauai are only visible by air, as t..."
spellbinding,扣人心弦迷人的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_8d4ddb6f94926e611f27073f :: I took the 30 minute San Francisco Bay tour on August 28th at 3:15.  It was a spectacular day with some fog around the Golden Gate Bridge.  We flew around and over every major tour...
splendor,壮丽辉煌的奇观,E2_Appraisal (Stimulus/Service Attribute),1,1,review_60729dc12e183107376e19e8 :: We did the 1.5 hour flight with the glacier landing.  Words cannot explain the beauty and splendor of  Mount McKinley up close and personal like this.  It was truly amazing.  Our p...
spoil,破坏 / 毁掉（好心情）,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_38c140061a79f5dc4b034f30 :: Well.. I suppose we were really lucky ducks. ..
Booked month in advance from downunder..flew specially over from our holiday stay on Waikiki for this trip.
On arrival our booking w..."
spoiled,好心情被破坏毁掉的,E1_State (Direct Internal Affective State),1,1,"review_eda1a4bce0aac45015172f03 :: We heard so much about how beautiful Kauai was, but after driving around the entire island, we weren't that impressed. Mind you, we had just seen all the major sights of Maui, so w..."
squeamish,胆怯恶心体质易受惊的,E1_State (Direct Internal Affective State),1,1,review_be8faf48d8d937ed7f366e98 :: K2 Aviation is a super friendly and well-run organization. Views were amazing. So glad my teenage kids got to really see a glacier for what it is. We'd talked about them so much on...
suffered,遭受身体/晕眩痛苦,E1_State (Direct Internal Affective State),1,1,review_b0217b73fa2d49d7679ca1b5 :: We took the flight and I realized that I should have done this the first day of our vacation.  We waited a week for our relatives and they got the benefit of the overview that woul...
suffering,受苦受难不适,E1_State (Direct Internal Affective State),1,1,"review_4002b14844a9fdb69e609624 :: The staff are cordial and warm. They called us in advance to warn us about inclement weather and cancellation of the tour on the day in question. The day of the tour , we arrived t..."
superlative,顶级极致赞赏的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_c602155441c88a5da2dca24a :: Company was referred to us by another, who could not accommodate plus size. These folks picked up up at Anchor Cove Mall (free shuttle from cruise ship), fast ride to airport. 
Eri..."
threaten,受到威胁/令人不安的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_ce23c1ddd00fe162177658fe :: To be fair, I want to say upfront that this review focuses not only on the provider but also on Trip Advisor (based on the comments of the owner/vendor that Trip Advisor is horribl..."
touching,令人动容流泪的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_65f6eeef22d6baf1636ca70e :: I have travelled to many parts of the world but this 2 hour flight with TAT is THEE BEST experience I can ever recall. They are seasoned professionals that will greatly exceed your...
trustworthy,值得信赖靠谱的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
uneasy,心神不宁感到不安的,E1_State (Direct Internal Affective State),1,1,"review_28c726804d0b55cac4d79f6a :: The staff is great and it's a great way to see the entire Island which you can't do with a car... However, if you are at all uneasy about flying, you should think twice about going..."
unnerving,令人发慌不安吓人的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_25a5df0aa1c4c82bb9d30e47 :: This was a treat!  I've taken a helicopter tour, which was cool, but sometimes a little unnerving.  If you want a little more metal around your seat area, do this flight.  The ride..."
unpleasant,令人不快令人难受的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_7cd1afc1532ba6ca69afe686 :: This company deserves to be given the golden buzzer award for being the worst company in Miami. We paid double the price to reach to the airport, we were left waiting with no one t..."
unspoiled,未经破坏原始纯粹的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_94adaa49f35fc20844991ace :: We took the flight tour of the Misty Fjords Wilderness when our cruise ship was in Ketchikan.  Lesley and her husband who own the business are wonderful to deal with.  They are bot...
warmest,最暖心亲切的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_95ec6a711bfc4f4d25ea7e38 :: We had a brilliant time on our Cessna tour, we're still talking about it in awe. From the moment we arrived and received the warmest welcome and smoothest check-in with the lovely ..."
weird,古怪令人不安的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_25709817e43e27ba434614d8 :: Beautiful views from a perspective we hadn’t seen before. Pilot was great, especially with the weird winds that day. Staff helpful and friendly...."
whelmed,被深深震撼淹没的,E1_State (Direct Internal Affective State),1,1,review_73ea364d5cf3ab4aeb05cc52 :: Only negative in th whole trip was the back 2 seats. It was very cramped for me. But the views over whelmed the tight squeeze...
wicked,太棒了 / 绝妙的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_2ab683db4e0f4e9f1312b993 :: The day started out cloudy, so my first original flight was delayed until conditions cleared up. Which they did because they want you to have the best experience, and I was happy t..."
wondrous,惊叹奇妙的,E2_Appraisal (Stimulus/Service Attribute),1,1,review_d8bcef3b73276930469f2a1e :: We had gone to Denali National Park the day before and got a glimpse of this spectacular mountain. But we had also booked a flight seeing tour with TAT to get a closer look. This w...
worthful,物有所值的,E2_Appraisal (Stimulus/Service Attribute),1,1,"review_49d6bd5b0908e91752ac4a6c :: Flying over the Denali National Park and landing on the glacier close to highest mountain of North America is definitely a lifetime experience.

The trip is very expensive but wort..."
zing,刺激快感,E1_State (Direct Internal Affective State),1,1,"review_1e0c948582ed23b06a40f486 :: So glad i decided to do this tour at the last minute ! It was A-MA-ZING !!! The pilot was awesome ! Friendly staff :)  Highly recommend when in Talkeetna. 
Bucketlist checked :)..."
