word,canonical_lemma,chinese_translation,our_emotion_category,affect_type,frequency_21215,in_nrc_lexicon,nrc_8_emotions,nrc_polarities,nrc_raw_list
trouble,trouble,麻烦 / 困扰,Unclassified,E1_E2_Candidate,52,False,Unmapped in NRC,Unmapped in NRC,[]
disappointment,disappointment,失望 / 遗憾失落情绪,Unclassified,E1_State (Direct Internal Affective State),51,True,"disgust, sadness",negative,"['disgust', 'negative', 'sadness']"
nicer,nicer,更美好/更亲切的,Unclassified,E1_E2_Candidate,51,False,Unmapped in NRC,Unmapped in NRC,[]
happier,happier,更快乐的 / 更满意的,Unclassified,E1_E2_Candidate,50,False,Unmapped in NRC,Unmapped in NRC,[]
hoping,hoping,期盼 / 希望,Unclassified,E1_E2_Candidate,50,False,Unmapped in NRC,Unmapped in NRC,[]
queasy,queasy,恶心反胃的,Unclassified,E1_E2_Candidate,49,False,Unmapped in NRC,Unmapped in NRC,[]
satisfied,satisfied,感到满意的,Satisfaction / Contentment,E1_State (Direct Internal Affective State),49,True,joy,positive,"['joy', 'positive']"
seamless,seamless,流畅无缝无摩擦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),49,False,Unmapped in NRC,Unmapped in NRC,[]
delight,delight,欣喜 / 愉快,Unclassified,E1_State (Direct Internal Affective State),48,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
genuinely,genuinely,真诚地 / 确实,Unclassified,E1_E2_Candidate,48,False,Unmapped in NRC,Unmapped in NRC,[]
steady,steady,平稳的 / 稳健的,Unclassified,E1_E2_Candidate,48,True,"surprise, trust",Unmapped in NRC,"['surprise', 'trust']"
easier,easier,更容易的 / 更省心的,Unclassified,E1_E2_Candidate,46,False,Unmapped in NRC,Unmapped in NRC,[]
sensitive,sensitive,敏感的,Unclassified,E1_E2_Candidate,46,False,Unmapped in NRC,Unmapped in NRC,[]
terrible,terrible,可怕的 / 糟糕的,Unclassified,E1_E2_Candidate,46,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
unexpected,unexpected,意想不到的惊喜,Unclassified,E1_E2_Candidate,46,True,"anticipation, fear, joy, surprise","negative, positive","['anticipation', 'fear', 'joy', 'negative', 'positive', 'surprise']"
warmly,warmly,温暖地 / 热情地,Unclassified,E1_E2_Candidate,46,False,Unmapped in NRC,Unmapped in NRC,[]
decent,decent,尚可的 / 体面的,Unclassified,E1_E2_Candidate,45,True,Unmapped in NRC,positive,['positive']
friendliness,friendliness,友善 / 亲和力,Unclassified,E1_E2_Candidate,45,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
loud,loud,吵闹的 / 噪音大的,Unclassified,E1_E2_Candidate,45,False,Unmapped in NRC,Unmapped in NRC,[]
relax,relax,放松 / 放轻松,Relaxation,E1_State (Direct Internal Affective State),45,False,Unmapped in NRC,Unmapped in NRC,[]
terrified,terrified,极度惊恐的,Unclassified,E1_State (Direct Internal Affective State),45,False,Unmapped in NRC,Unmapped in NRC,[]
encouraged,encouraged,深受鼓舞的,Unclassified,E1_State (Direct Internal Affective State),44,False,Unmapped in NRC,Unmapped in NRC,[]
happily,happily,快乐地 / 欣然,Unclassified,E1_E2_Candidate,44,True,joy,positive,"['joy', 'positive']"
quieter,quieter,更安静宁静的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),44,False,Unmapped in NRC,Unmapped in NRC,[]
beautifully,beautifully,优美地 / 出色地,Unclassified,E1_E2_Candidate,43,False,Unmapped in NRC,Unmapped in NRC,[]
calming,calming,令人平息平稳安心的（Calmness State）,Unclassified,E1_State (Direct Internal Affective State),42,False,Unmapped in NRC,Unmapped in NRC,[]
adventurous,adventurous,充满冒险刺激感的,Unclassified,E1_E2_Polysemous (State & Appraisal),41,True,Unmapped in NRC,positive,['positive']
charming,charming,迷人讨喜的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),40,True,Unmapped in NRC,positive,['positive']
responsive,responsive,积极回应的 / 贴心的,Unclassified,E1_E2_Candidate,40,True,"anticipation, trust",positive,"['anticipation', 'positive', 'trust']"
touched,touched,深受感动的,Unclassified,E1_State (Direct Internal Affective State),40,True,Unmapped in NRC,negative,['negative']
enjoyment,enjoyment,乐趣 / 享受,Unclassified,E1_E2_Candidate,39,False,Unmapped in NRC,Unmapped in NRC,[]
handle,handle,善于处理 / 掌控感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),39,False,Unmapped in NRC,Unmapped in NRC,[]
nicest,nicest,最美好的 / 最亲切的,Unclassified,E1_E2_Candidate,39,False,Unmapped in NRC,Unmapped in NRC,[]
unsafe,unsafe,感觉不安全的 / 担惊受怕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),39,True,fear,negative,"['fear', 'negative']"
worst,worst,最糟糕的,Unclassified,E1_E2_Candidate,39,False,Unmapped in NRC,Unmapped in NRC,[]
greater,greater,更宏大震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),38,True,Unmapped in NRC,positive,['positive']
hospitable,hospitable,殷勤好客的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),38,False,Unmapped in NRC,Unmapped in NRC,[]
pleasantly,pleasantly,令人愉快地,Unclassified,E1_E2_Candidate,38,False,Unmapped in NRC,Unmapped in NRC,[]
stress,stress,压力 / 紧张感,Unclassified,E1_E2_Candidate,38,True,Unmapped in NRC,negative,['negative']
wonderfully,wonderfully,极其出色绝妙地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),38,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
worries,worry,担忧 / 挂虑,Anxiety / Worry,E1_State (Direct Internal Affective State),38,True,"anticipation, fear, sadness",negative,"['anticipation', 'fear', 'negative', 'sadness']"
cared,cared,得到无微不至关怀的,Unclassified,E1_State (Direct Internal Affective State),37,False,Unmapped in NRC,Unmapped in NRC,[]
delicious,delicious,美味愉悦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),37,True,joy,positive,"['joy', 'positive']"
hopefully,hopefully,怀着希望地,Unclassified,E1_E2_Candidate,37,False,Unmapped in NRC,Unmapped in NRC,[]
nicely,nicely,很好地 / 优雅地,Unclassified,E1_E2_Candidate,37,False,Unmapped in NRC,Unmapped in NRC,[]
marvelous,marvelous,绝妙的 / 令人惊叹的,Unclassified,E1_E2_Candidate,36,True,joy,positive,"['joy', 'positive']"
nauseous,nauseous,恶心晕车的,Unclassified,E1_E2_Candidate,36,True,"disgust, sadness",negative,"['disgust', 'negative', 'sadness']"
reliable,reliable,可靠的 / 可信赖的,Unclassified,E1_E2_Candidate,36,True,trust,positive,"['positive', 'trust']"
anxious,anxious,焦虑不安的 / 挂虑的,Unclassified,E1_State (Direct Internal Affective State),35,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
bother,bother,打扰 / 烦扰,Unclassified,E1_E2_Candidate,35,True,Unmapped in NRC,negative,['negative']
humorous,humorous,幽默风趣的,Unclassified,E1_E2_Candidate,35,True,joy,positive,"['joy', 'positive']"
humour,humour,幽默感,Unclassified,E1_E2_Candidate,35,False,Unmapped in NRC,Unmapped in NRC,[]
picturesque,picturesque,风景如画的,Unclassified,E1_E2_Candidate,35,True,joy,positive,"['joy', 'positive']"
superior,superior,优越顶尖的,Unclassified,E1_E2_Candidate,35,True,Unmapped in NRC,positive,['positive']
surprisingly,surprisingly,出乎意料赞叹地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),35,True,"anticipation, surprise",Unmapped in NRC,"['anticipation', 'surprise']"
anxiety,anxiety,焦虑 / 不安,Unclassified,E1_E2_Candidate,34,True,"anger, anticipation, fear, sadness",negative,"['anger', 'anticipation', 'fear', 'negative', 'sadness']"
generous,generous,大方的 / 慷慨的,Unclassified,E1_E2_Candidate,34,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
romantic,romantic,浪漫惬意的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),34,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
sadly,sadly,令人遗憾地 / 悲伤地,Unclassified,E1_E2_Candidate,34,True,sadness,negative,"['negative', 'sadness']"
worse,worse,更糟糕的,Unclassified,E1_E2_Candidate,34,True,"fear, sadness",negative,"['fear', 'negative', 'sadness']"
airsick,airsick,晕机的,Unclassified,E1_E2_Candidate,33,False,Unmapped in NRC,Unmapped in NRC,[]
hassle,hassle,麻烦 / 烦心事,Unclassified,E1_E2_Candidate,33,False,Unmapped in NRC,Unmapped in NRC,[]
overwhelming,overwhelming,铺天盖地震撼的,Unclassified,E1_E2_Candidate,33,True,Unmapped in NRC,positive,['positive']
reassured,reassured,感到安心的,Unclassified,E1_State (Direct Internal Affective State),32,False,Unmapped in NRC,Unmapped in NRC,[]
skillful,skillful,技术精湛的,Unclassified,E1_E2_Candidate,32,True,trust,positive,"['positive', 'trust']"
turbulent,turbulent,颠簸不安的,Unclassified,E1_E2_Candidate,32,True,fear,negative,"['fear', 'negative']"
upfront,upfront,直率透明的,Unclassified,E1_E2_Candidate,32,False,Unmapped in NRC,Unmapped in NRC,[]
cute,cute,可爱宜人的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),31,True,Unmapped in NRC,positive,['positive']
economical,economical,划算实惠的,Unclassified,E1_E2_Candidate,31,False,Unmapped in NRC,Unmapped in NRC,[]
breathtakingly,breathtakingly,令人屏息震撼地（Awe/Amazement Emotion）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),30,False,Unmapped in NRC,Unmapped in NRC,[]
kindly,kindly,体贴友善地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),30,False,Unmapped in NRC,Unmapped in NRC,[]
chatty,chatty,健谈热情的,Unclassified,E1_E2_Candidate,29,True,Unmapped in NRC,negative,['negative']
convinced,convinced,深信不疑的 / 心服口服,Unclassified,E1_State (Direct Internal Affective State),29,True,trust,Unmapped in NRC,['trust']
delighted,delighted,高高兴兴的,Unclassified,E1_State (Direct Internal Affective State),29,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
gladly,gladly,乐意地 / 高兴地,Joy / Eagerness,E1_State (Direct Internal Affective State),29,False,Unmapped in NRC,Unmapped in NRC,[]
interactive,interactive,互动性强的,Unclassified,E1_E2_Candidate,29,False,Unmapped in NRC,Unmapped in NRC,[]
pure,pure,纯粹的 / 纯净震撼的,Unclassified,E1_E2_Candidate,29,False,Unmapped in NRC,Unmapped in NRC,[]
stellar,stellar,璀璨顶尖级的,Unclassified,E1_E2_Candidate,29,True,Unmapped in NRC,positive,['positive']
unbelievably,unbelievably,难以置信地,Unclassified,E1_E2_Candidate,29,False,Unmapped in NRC,Unmapped in NRC,[]
boring,boring,令人无聊乏味的,Boredom,E2_Appraisal (Stimulus/Service Attribute),28,True,Unmapped in NRC,negative,['negative']
sad,sad,悲伤的 / 遗憾痛心的,Unclassified,E1_State (Direct Internal Affective State),28,False,Unmapped in NRC,Unmapped in NRC,[]
serene,serene,宁静祥和的,Unclassified,E1_E2_Candidate,28,True,trust,negative,"['negative', 'trust']"
aside,aside,撇开 / 排除,Unclassified,E1_E2_Candidate,27,False,Unmapped in NRC,Unmapped in NRC,[]
comforting,comforting,令人感到安慰抚慰的,Comfort / Relief,E2_Appraisal (Stimulus/Service Attribute),27,False,Unmapped in NRC,Unmapped in NRC,[]
eager,eager,热切的 / 渴望的,Unclassified,E1_E2_Candidate,27,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
peace,peace,宁静 / 和平,Unclassified,E1_E2_Candidate,27,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
regrets,regrets,遗憾 / 后悔,Unclassified,E1_E2_Candidate,27,False,Unmapped in NRC,Unmapped in NRC,[]
splendor,splendor,壮丽辉煌的奇观,Unclassified,E2_Appraisal (Stimulus/Service Attribute),27,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
bang,bang,物超所值（bang for buck）,Unclassified,E1_E2_Candidate,26,True,"anger, disgust, fear, sadness, surprise",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
basic,basic,基础的 / 简陋的,Unclassified,E1_E2_Candidate,26,False,Unmapped in NRC,Unmapped in NRC,[]
cramped,cramped,拥挤狭窄不适的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),26,True,Unmapped in NRC,negative,['negative']
hate,hate,憎恨 / 讨厌,Hate / Dislike,E1_State (Direct Internal Affective State),26,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
mesmerizing,mesmerizing,令人目眩神迷为之倾倒的,Fascination / Awe,E2_Appraisal (Stimulus/Service Attribute),26,False,Unmapped in NRC,Unmapped in NRC,[]
upset,upset,感到沮丧难过的,Distress / Sadness,E1_State (Direct Internal Affective State),26,True,"anger, sadness",negative,"['anger', 'negative', 'sadness']"
bump,bump,颠簸不适的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),25,False,Unmapped in NRC,Unmapped in NRC,[]
communicative,communicative,善于沟通的,Unclassified,E1_E2_Candidate,25,True,Unmapped in NRC,positive,['positive']
dangerous,dangerous,危险的,Unclassified,E1_E2_Candidate,25,True,fear,negative,"['fear', 'negative']"
ill,ill,生病的 / 恶心呕吐的,Unclassified,E1_E2_Candidate,25,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
laughing,laughing,欢声笑语 / 开心大笑,Unclassified,E1_State (Direct Internal Affective State),25,True,joy,positive,"['joy', 'positive']"
inclement,inclement,恶劣的气候,Unclassified,E1_E2_Candidate,24,True,Unmapped in NRC,negative,['negative']
magnificence,magnificence,壮丽震撼感,Awe / Grandeur,E2_Appraisal (Stimulus/Service Attribute),24,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
horrible,horrible,极度糟糕可怕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),23,True,"anger, disgust, fear",negative,"['anger', 'disgust', 'fear', 'negative']"
impeccable,impeccable,无可挑剔的,Unclassified,E1_E2_Candidate,23,True,trust,positive,"['positive', 'trust']"
talkative,talkative,健谈热情的,Unclassified,E1_E2_Candidate,23,False,Unmapped in NRC,Unmapped in NRC,[]
calmed,calmed,心情平静安稳下来的,Unclassified,E1_State (Direct Internal Affective State),22,False,Unmapped in NRC,Unmapped in NRC,[]
favourite,favourite,最喜爱的,Unclassified,E1_E2_Candidate,22,False,Unmapped in NRC,Unmapped in NRC,[]
fearful,fearful,恐惧的 / 担心的,Unclassified,E1_E2_Candidate,22,True,"fear, sadness",negative,"['fear', 'negative', 'sadness']"
lasting,lasting,持久的 / 深刻的,Unclassified,E1_E2_Candidate,22,False,Unmapped in NRC,Unmapped in NRC,[]
shining,shining,璀璨夺目的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),22,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
skeptical,skeptical,怀疑的 / 存疑的,Unclassified,E1_E2_Candidate,22,True,Unmapped in NRC,negative,['negative']
talented,talented,才华横溢精湛的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),22,False,Unmapped in NRC,Unmapped in NRC,[]
tough,tough,严苛倒霉的,Unclassified,E1_E2_Candidate,22,True,sadness,negative,"['negative', 'sadness']"
bummed,bummed,感到扫兴遗憾失落的,Unclassified,E1_State (Direct Internal Affective State),21,False,Unmapped in NRC,Unmapped in NRC,[]
mild,mild,轻微适度的（颠簸/舒适）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),21,False,Unmapped in NRC,Unmapped in NRC,[]
refreshing,refreshing,令人神清气爽耳目一新的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),21,True,Unmapped in NRC,positive,['positive']
spoil,spoil,破坏 / 毁掉（好心情）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),21,True,disgust,negative,"['disgust', 'negative']"
surprises,surprise,惊喜 / 意料之外,Surprise,E2_Appraisal (Stimulus/Service Attribute),21,True,"fear, joy, surprise",positive,"['fear', 'joy', 'positive', 'surprise']"
unbeatable,unbeatable,无可比拟的 / 无敌的,Unclassified,E1_E2_Candidate,21,False,Unmapped in NRC,Unmapped in NRC,[]
amusing,amusing,风趣风趣令人发笑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),20,True,joy,positive,"['joy', 'positive']"
astonishing,astonishing,令人惊叹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),20,False,Unmapped in NRC,Unmapped in NRC,[]
cheerful,cheerful,欢快愉悦的,Joy,E1_State (Direct Internal Affective State),20,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
mood,mood,心情 / 情绪,Unclassified,E1_E2_Candidate,20,False,Unmapped in NRC,Unmapped in NRC,[]
spiritual,spiritual,精神神圣的,Unclassified,E1_E2_Candidate,20,False,Unmapped in NRC,Unmapped in NRC,[]
successful,successful,成功的 / 满意的,Unclassified,E1_E2_Candidate,20,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
awestruck,awestruck,充满敬畏震撼的,Unclassified,E1_State (Direct Internal Affective State),19,False,Unmapped in NRC,Unmapped in NRC,[]
chilly,chilly,寒冷不适的,Unclassified,E1_E2_Candidate,19,True,Unmapped in NRC,negative,['negative']
comfy,comfy,舒适惬意的,Unclassified,E1_E2_Candidate,19,False,Unmapped in NRC,Unmapped in NRC,[]
exquisite,exquisite,精美的 / 绝妙的,Unclassified,E1_E2_Candidate,19,True,joy,positive,"['joy', 'positive']"
inspired,inspired,灵感大发 / 深受震撼的,Unclassified,E1_State (Direct Internal Affective State),19,True,"joy, surprise, trust",positive,"['joy', 'positive', 'surprise', 'trust']"
suitable,suitable,合适的 / 满意的,Unclassified,E1_E2_Candidate,19,True,Unmapped in NRC,positive,['positive']
touching,touching,令人动容流泪的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),19,False,Unmapped in NRC,Unmapped in NRC,[]
amazement,amazement,惊叹 / 惊奇,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
astounding,astounding,令人无比震撼惊叹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,False,Unmapped in NRC,Unmapped in NRC,[]
charm,charm,顺畅 / 令人满意,Unclassified,E1_E2_Candidate,18,True,Unmapped in NRC,positive,['positive']
chill,chill,惬意轻松的,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
danger,danger,危险 / 威胁,Unclassified,E1_E2_Candidate,18,True,"fear, sadness",negative,"['fear', 'negative', 'sadness']"
easiest,easiest,最省心的 / 最容易的,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
effective,effective,有效划算的,Unclassified,E1_E2_Candidate,18,True,trust,positive,"['positive', 'trust']"
haha,haha,哈哈（欢快情绪）,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
handy,handy,实用的 / 贴心的,Unclassified,E1_E2_Candidate,18,True,Unmapped in NRC,positive,['positive']
honesty,honesty,真诚 / 诚信解说,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,True,trust,positive,"['positive', 'trust']"
keen,keen,热情的 / 敏锐的,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
marvel,marvel,惊叹 / 奇迹,Amazement / Awe,E2_Appraisal (Stimulus/Service Attribute),18,True,surprise,positive,"['positive', 'surprise']"
secret,secret,秘境 / 私密独享感,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,True,trust,Unmapped in NRC,['trust']
smart,smart,聪慧的 / 明智的,Unclassified,E1_E2_Candidate,18,False,Unmapped in NRC,Unmapped in NRC,[]
soothing,soothing,舒缓抚慰人心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
witty,witty,风趣幽默的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),18,True,joy,positive,"['joy', 'positive']"
wondered,wonder,感到惊奇惊叹 (动词变体),Amazement / Wonder,E1_State (Direct Internal Affective State),18,False,Unmapped in NRC,Unmapped in NRC,[]
cordial,cordial,热情亲切礼貌的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),17,False,Unmapped in NRC,Unmapped in NRC,[]
discomfort,discomfort,身体/心理不适感,Unclassified,E1_State (Direct Internal Affective State),17,True,sadness,negative,"['negative', 'sadness']"
energetic,energetic,精力充沛的,Unclassified,E1_E2_Candidate,17,True,Unmapped in NRC,positive,['positive']
hopes,hopes,期盼 / 希望,Unclassified,E1_E2_Candidate,17,False,Unmapped in NRC,Unmapped in NRC,[]
overwhelmed,overwhelmed,被震撼/感动深深淹没的,Unclassified,E1_State (Direct Internal Affective State),17,True,sadness,negative,"['negative', 'sadness']"
valuable,valuable,珍贵的 / 有价值的,Unclassified,E1_E2_Candidate,17,True,Unmapped in NRC,positive,['positive']
claustrophobic,claustrophobic,感到幽闭恐惧压抑的,Unclassified,E1_State (Direct Internal Affective State),16,False,Unmapped in NRC,Unmapped in NRC,[]
insane,insane,疯狂震撼的 / 极端的,Unclassified,E1_E2_Candidate,16,True,"anger, fear",negative,"['anger', 'fear', 'negative']"
leery,leery,提防警惕 / 顾虑重重的,Unclassified,E1_State (Direct Internal Affective State),16,True,surprise,Unmapped in NRC,['surprise']
loving,loving,热爱的 / 充满了爱的,Love / Affection,E1_State (Direct Internal Affective State),16,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
sensational,sensational,绝佳轰动震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),16,True,joy,positive,"['joy', 'positive']"
sudden,sudden,突然的 / 猝不及防的,Unclassified,E1_E2_Candidate,16,True,surprise,Unmapped in NRC,['surprise']
uncertain,uncertain,不确定的 / 顾虑的,Unclassified,E1_E2_Candidate,16,True,"anger, disgust, fear, surprise",negative,"['anger', 'disgust', 'fear', 'negative', 'surprise']"
worthy,worthy,非常值的 / 值得的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),16,True,trust,positive,"['positive', 'trust']"
annoying,annoying,令人烦躁恼火的（Annoyance/Irritation Emotion）,Unclassified,E1_State (Direct Internal Affective State),15,True,anger,negative,"['anger', 'negative']"
awed,awed,感到为之肃然起敬震撼的,Awe,E1_State (Direct Internal Affective State),15,False,Unmapped in NRC,Unmapped in NRC,[]
awful,awful,极其糟糕的,Unclassified,E1_E2_Candidate,15,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
bubbly,bubbly,活泼热情的,Unclassified,E1_E2_Candidate,15,False,Unmapped in NRC,Unmapped in NRC,[]
fuss,fuss,大惊小怪 / 争吵骚动,Unclassified,E1_E2_Candidate,15,True,"anger, sadness",negative,"['anger', 'negative', 'sadness']"
hilarious,hilarious,爆笑幽默搞笑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),15,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
immaculate,immaculate,完美无瑕洁净的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),15,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
respectful,respectful,充满敬意的,Unclassified,E1_E2_Candidate,15,True,trust,positive,"['positive', 'trust']"
unprofessional,unprofessional,不专业的,Unclassified,E1_E2_Candidate,15,False,Unmapped in NRC,Unmapped in NRC,[]
warmth,warmth,温暖安心感,Warmth / Comfort,E1_State (Direct Internal Affective State),15,False,Unmapped in NRC,Unmapped in NRC,[]
authentic,authentic,地道的 / 真实无伪的,Unclassified,E1_E2_Candidate,14,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
bothered,bothered,困扰的 / 烦心的,Unclassified,E1_E2_Candidate,14,False,Unmapped in NRC,Unmapped in NRC,[]
frustrating,frustrating,令人挫败的 / 烦人的,Unclassified,E1_E2_Candidate,14,False,Unmapped in NRC,Unmapped in NRC,[]
glowing,glowing,极度赞赏口碑极佳的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,True,Unmapped in NRC,positive,['positive']
intrusive,intrusive,突兀扰人的 / 煞风景的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,True,"anger, disgust, fear, surprise",negative,"['anger', 'disgust', 'fear', 'negative', 'surprise']"
marvellous,marvellous,令人叹为观止的,Amazement / Awe,E2_Appraisal (Stimulus/Service Attribute),14,False,Unmapped in NRC,Unmapped in NRC,[]
praise,praise,称赞 / 高度赞扬,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
proud,proud,感到自豪骄傲的,Pride,E1_State (Direct Internal Affective State),14,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
ruined,ruined,毁掉行程的 / 扫兴糟心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
satisfaction,satisfaction,满意感,Satisfaction,E1_State (Direct Internal Affective State),14,False,Unmapped in NRC,Unmapped in NRC,[]
trustworthy,trustworthy,值得信赖靠谱的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),14,False,Unmapped in NRC,Unmapped in NRC,[]
apologetic,apologetic,诚恳抱歉致歉的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,True,trust,positive,"['positive', 'trust']"
pleasurable,pleasurable,令人愉快的,Unclassified,E1_E2_Candidate,13,True,joy,positive,"['joy', 'positive']"
precious,precious,弥足珍贵的 memory,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
responsible,responsible,负责任的,Unclassified,E1_E2_Candidate,13,True,trust,positive,"['positive', 'trust']"
safest,safest,最安全平稳的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,False,Unmapped in NRC,Unmapped in NRC,[]
tricky,tricky,棘手不安的,Unclassified,E1_E2_Candidate,13,False,Unmapped in NRC,Unmapped in NRC,[]
uneasy,uneasy,心神不宁感到不安的,Unclassified,E1_State (Direct Internal Affective State),13,True,"disgust, fear",negative,"['disgust', 'fear', 'negative']"
vibrant,vibrant,生机勃勃色彩斑斓的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),13,False,Unmapped in NRC,Unmapped in NRC,[]
worldly,worldly,超凡脱俗的,Unclassified,E1_E2_Candidate,13,False,Unmapped in NRC,Unmapped in NRC,[]
bored,bored,感到无聊厌烦的,Boredom,E1_State (Direct Internal Affective State),12,False,Unmapped in NRC,Unmapped in NRC,[]
soaking,soaking,沉浸于（soaking in view）,Unclassified,E1_E2_Candidate,12,False,Unmapped in NRC,Unmapped in NRC,[]
stuffy,stuffy,闷热不适的（体感不适）,Unclassified,E1_E2_Candidate,12,True,Unmapped in NRC,negative,['negative']
superbly,superbly,出类拔萃完美地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),12,False,Unmapped in NRC,Unmapped in NRC,[]
wondrous,wondrous,惊叹奇妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),12,True,Unmapped in NRC,positive,['positive']
admire,admire,钦佩赞赏,Admiration,E1_State (Direct Internal Affective State),11,True,trust,positive,"['positive', 'trust']"
cheesy,cheesy,俗气的 / 劣质的,Unclassified,E1_E2_Candidate,11,False,Unmapped in NRC,Unmapped in NRC,[]
inviting,inviting,引人入胜令人愉悦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
mad,mad,发怒的 / 生气的,Unclassified,E1_E2_Candidate,11,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
