word,chinese_translation,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
thrilled,极度兴奋的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),113,112,"review_bd8c0a2fe49ee9634fbbf7bf :: top notch customer service for an experience that was out of this world. Shane is a fantastic pilot and my kids, 10 and 12, were over the top thrilled with seeing the Cascades wher..."
confidence,信心 / 确信,E1_E2_Candidate,Stage 1 (500 Discovery),112,109,"review_64c85a47e768780264992f7b :: I have traveled much of the world, and the experience of flying past Denali and the other peaks, then landing on the glacier is one of the top five I have had in my life.  The ""lai..."
difficult,困难的 / 令人头疼的,E1_E2_Candidate,Stage 1 (500 Discovery),112,111,"review_5ef922df306a71e19e3c61b6 :: I highly recommend this tour. Despite difficult weather conditions they were able to give us an amazing and safe flight.  Our pilot, Leon was great, we couldn’t have asked for more..."
expert,专家级的 / 娴熟的,E1_E2_Candidate,Stage 1 (500 Discovery),112,106,review_a2b3cf2d16dcbbae8fc45f56 :: This was an experience and way more than imagined!  Such an easy day because Westwind Tours took care of everything. Easy flights thanks to Caden and Carla and an amazing experienc...
honestly,老实说 / 真诚地,E1_E2_Candidate,Stage 1 (500 Discovery),111,109,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
confident,自信的 / 确信的,E1_E2_Candidate,Stage 1 (500 Discovery),109,109,review_488e7f2f65d5a21f1c2e1fc3 :: My husband and I took this tour yesterday and it was fantastic!  Gayle was very helpful when we booked and even called the day before to tell us the what the temperature would be a...
willing,乐意的 / 愿意的,E1_E2_Candidate,Stage 1 (500 Discovery),108,104,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
worry,担心 / 忧虑感,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),106,103,"review_c7e6af06a116fe685858b33c :: We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. ..."
accessible,易到达的 / 便捷省心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),105,104,review_58a0827f8492108f205ab25a :: From the folks at the front desk to the pilot everyone was both very helpful and very cheery! We thoroughly enjoyed the entire experience and learned a good amount about the struct...
smoothest,最平稳的,E1_E2_Candidate,Stage 1 (500 Discovery),105,105,"review_5ddfac9805cbd477b8b81816 :: Great experience. Smoothest take off and landing, great mini tour enroute to the islands. Easy navigation to the shuttle at SeaTac...."
positive,积极正面的,E1_E2_Candidate,Stage 1 (500 Discovery),101,98,"review_14c77a9024b5a000f3d0a440 :: Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company..."
attentive,细心的 / 周到的,E1_E2_Candidate,Stage 1 (500 Discovery),99,98,review_3a53d5847c12a4a59f03c46f :: We had an amazing experience! And the views were spectacular! The owner was very attentive and accommodating we arrived earlier than our departure time and he greeted us with bubbl...
surreal,超现实的 / 梦幻般的,E1_E2_Candidate,Stage 1 (500 Discovery),98,98,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p..."
thorough,细致周到的,E1_E2_Candidate,Stage 1 (500 Discovery),98,97,"review_86d4c7551a3f1fc97a18d333 :: We needed to get to Friday Harbor one way, with our light foldable bikes, so we could bike back to Seattle over the next week. The experience of checking into Friday Harbor Seaplan..."
reassuring,令人安心镇定的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),97,96,"review_4e42caa695f972732315a2ff :: From the reception at their airport office, to the flight, jeep tour and guides, and flight back, truly an amazing way to see Grand Canyon. All the staff and pilot were accommodati..."
sweet,甜蜜的 / 甜美的,E1_E2_Candidate,Stage 1 (500 Discovery),97,93,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
concern,担忧 / 关切（焦虑感）,E1_E2_Candidate,Stage 1 (500 Discovery),96,91,"review_fd0f8064c8d304a91a1a7613 :: My husband, adult son and I took the Maui Circle island Air Tour with Eric last week and thoroughly enjoyed every minute.  Eric is a seasoned pilot and his number one concern is th..."
luckily,幸运地 / 幸亏,E1_E2_Candidate,Stage 1 (500 Discovery),96,93,"review_71517e3ce817f415e63930fa :: Our flight over the Grand Canyon was spectacular and is one of my top travel experiences ever!  Our scheduled flight had to be canceled because of weather, but luckily there was ro..."
poor,贫乏的 / 差劲的,E1_E2_Candidate,Stage 1 (500 Discovery),95,91,"review_c9d59d55b59a55b1552a009f :: We were supposed to go on a 30 minute flight over Miami. It was raining and windy that day, si I called the company 3x to see if I should head out to the airport. NO response.  10 ..."
scary,令人害怕的 / 吓人的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),94,94,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
enthusiastic,热情的 / 充满激情的,E1_E2_Candidate,Stage 1 (500 Discovery),93,90,review_d4b7b4ce8f5f74c6293cb6ee :: We used Northwest Seaplanes for a rather large family trip to the Hakai Lodge along the Central British Columbia Coast. They were able to handle our group of 29 with absolute profe...
apprehensive,忧虑的 / 不安的,E1_E2_Candidate,Stage 1 (500 Discovery),92,91,"review_0e075f6c9e72f80f716f5434 :: My experience with Alaska Bush Float Plane Service was truly incredible!  Our pilot, Jason, took us deep into the Alaska Range, where we were able to view Mount McKinley, Mount Hun..."
exhilarating,令人高唤起刺激欢快地,E1_E2_Polysemous (State & Appraisal),Stage Final (Full Corpus),90,89,review_2a8485ec6b1d000b7b581e6e :: This was one of the most exhilarating experiences I have had in my life! It is something that you need to experience for yourself - not something someone can tell you about. The wh...
honest,诚实的 / 坦诚的,E1_E2_Candidate,Stage 1 (500 Discovery),88,81,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
inaccessible,难以到达的 / 偏远秘境感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),86,85,review_89bc4efb65ff1dc3d76e8a81 :: We booked a private Ecostar Imperial helicopter tour for 6 people (the 40-50 minute flight from Grand Canyon airport in Tusayan) and we are all in agreement that this was by far th...
educational,富有教育启发意义的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),85,85,"review_e2d4af7c903eec222c6d9cf8 :: Flight to Renton was smooth, educational  and very interesting. Pilot Andrew very professional, capable and enthusiastic.  Highly recommend to all age groups...."
rushed,仓促的 / 匆忙的,E1_E2_Candidate,Stage 1 (500 Discovery),85,79,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
capable,有能力的 / 熟练精湛的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),84,83,"review_e2d4af7c903eec222c6d9cf8 :: Flight to Renton was smooth, educational  and very interesting. Pilot Andrew very professional, capable and enthusiastic.  Highly recommend to all age groups...."
prone,易患（晕机）的,E1_E2_Candidate,Stage 1 (500 Discovery),84,84,review_1e6bde0c3142b379dd5fd3c6 :: Excellent Adventure! We chose Friday Harbor Seaplanes for round trip flights during a five day visit to Friday Harbor. Top to bottom excellent experience with this company. Great c...
simple,简单明了的 / 省心的,E1_E2_Candidate,Stage 1 (500 Discovery),84,83,review_d1dbb71690d1453e7bbc4b13 :: This was one of the best days of my life. I can’t say enough good things about this tour and the staff at Westwind. We would have skipped this tour after my mom broke her arm the d...
delightful,令人欢欣的,E1_E2_Candidate,Stage 1 (500 Discovery),80,79,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d..."
grateful,感激的 / 感恩的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),80,78,"review_e1b1a89e3c4bed96938773d0 :: Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful cus..."
advantage,优势 / 极佳点,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),78,78,"review_51723800a5b62f088a8bc7d1 :: Honestly, although we absolutely loved Friday Harbor, the trip to and from Seattle ended up being one of the highlights of our trip! The experience and the views are amazing, and w..."
assured,安抚 / 确信,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),78,76,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
famous,著名的 / 享誉的,E1_E2_Candidate,Stage 1 (500 Discovery),77,71,review_786ea7ddef7d606209ef913e :: Friday Harbor Seaplanes are awesome! The views up to Friday Harbor are breathtaking~and you experience this adventure in a famous de Havilland Single Propeller Seaplane. Landing by...
priceless,无价的 / 极为珍贵的,E1_E2_Candidate,Stage 1 (500 Discovery),77,76,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
pride,自豪 / 骄傲,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),77,76,review_1ce5c9e936be6a39de2f4428 :: My husband and I booked this experience as part of our honeymoon. I can't adequately describe this experience because words like amazing or breathtaking don't do it justice. If you...
safer,更安全的 / 更安心的,E1_E2_Candidate,Stage 1 (500 Discovery),77,77,"review_b63c89982ba33e68605ad516 :: We chose to fly to an escape to Vancouver island and were impressed by the efficiency, hospitality and safety of this airline. We loved the views on the outbound trip - in fact the..."
neat,整洁的 / 干练的,E1_E2_Candidate,Stage 1 (500 Discovery),76,75,"review_5b9a0e422d7e3521a3582753 :: We really enjoyed our flight with Alaska Bush Float plane service. Although Denali was clouded in, the pilot still took us as close as he could. He narrated the whole time and poin..."
splurge,挥霍犒赏自己（特别体验）,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),76,76,review_eba2dae92e82ce84ca669a20 :: This flight was incredible! The views were spectacular! We were going whale watching from Friday Harbor. The dilemma was that we were in Seattle for only a short time. I didn't wan...
coolest,最酷爽震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),75,75,"review_0d4bdc67354c4a2f01fc8010 :: Ethan flew us over Labyrinth Canyon, the Confluence, the Maze, the Needles, up the Colorado, and over the upper Castle Valley/Mill Creek drainages. He was super informative and fle..."
stable,平稳安心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),75,75,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf..."
worthwhile,值得的 / 划算的,E1_E2_Candidate,Stage 1 (500 Discovery),75,74,"review_9bfba60ecd923b586acd976b :: very worthwhile and smooth seaplane flight with a friendly and knowledgeable pilot, awesome views. most definitely recommend it...."
promptly,及时迅速地,E1_E2_Candidate,Stage 1 (500 Discovery),74,73,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ..."
secure,安全的 / 安心的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),74,73,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
concerns,担忧 / 关切,E1_E2_Candidate,Stage 1 (500 Discovery),73,71,review_032f5b472647ffceb9841d67 :: I scheduled a solo trip with my dog to scatter my mother’s ashes over the Puget Sound as she requested.  I was coming from out of town.  We were delayed one day due to weather cond...
greatest,最伟大的 / 极佳的,E1_E2_Candidate,Stage 1 (500 Discovery),73,71,"review_6b53dc80f7c179846fa93d72 :: The greatest experience!!! 
I highly recommend doing this, you won’t be disappointed, we flew at night and really the view was spectacular!!! 

Sergio was our pilot and he was grea..."
ideal,理想的 / 完美的,E1_E2_Candidate,Stage 1 (500 Discovery),72,66,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
peaceful,平和宁静的,E1_E2_Candidate,Stage 1 (500 Discovery),72,71,review_7dec9327e58c594ad18db947 :: Best part of this trip was the smooth and peaceful plane ride over the canyon!  Felt safe with our professional pilot Tom!...
hesitation,毫不犹豫的 / 顾虑消除,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),70,69,review_c48b19006556a0555ed570f4 :: We own a small cabin on a remote (no roads) lake near Talkeetna.  Over the past 10 years we have used Alaska Floatplane Service to fly back and forth from our cabin 2 - 3 times a y...
understanding,体谅的 / 理解的,E1_E2_Candidate,Stage 1 (500 Discovery),70,70,review_068f16e9ef0eaae251704aeb :: Horrible experience when the third party booking company doesn't communicate with the actual servicing company. And the policies of the booking company don't apply with the servici...
impossible,不可能的 / 难以置信的,E1_E2_Candidate,Stage 1 (500 Discovery),65,65,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
fears,恐惧 / 忧虑,E1_E2_Candidate,Stage 1 (500 Discovery),64,61,"review_59c78627992f906fe1ccc656 :: What a fantastic ride with Riley. 
I am afraid of heights, get motion sickness and claustrophobic.
So why do it? My granddaughter said I need to face my fears.
I am SO glad I did.
..."
passion,热情 / 激情,E1_E2_Candidate,Stage 1 (500 Discovery),64,60,"review_8cd3f2ac0d8514a7f3b61f10 :: What an incredible experience, my favorite thing to do in Alaska, but what brought this to a completely different level, was our pilot Wilbert, Not only did we feel safe, his passi..."
tremendous,震撼巨大的,E1_E2_Candidate,Stage 1 (500 Discovery),64,64,"review_67ec29dad499a108c6c2dc7f :: It was great fun and tremendous time saving!  I was in Friday Harbor and just over an hour I was back home.  It made the weekend in the San Juan's possible.
The DeHavilland Beaver ..."
conscious,有意识的 / 讲究的,E1_E2_Candidate,Stage 1 (500 Discovery),63,63,review_4040be92eb15a7d195167b38 :: Flew into work at floating lodge. Very professional and friendly. Very safety conscious.  Pilot informed us on emergency procedure...
pristine,原始纯净的,E1_E2_Candidate,Stage 1 (500 Discovery),62,61,review_bed868d19d2a33eb1ac95b60 :: Love to fly with Northwest Seaplane- they link us from remote Northern Vancouver Island right into Seattle for flights out of Seatac to our home in Sacramento.  Flight times vary d...
dramatic,戏剧性的 / 震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),61,58,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
extraordinary,非凡的 / 卓越的,E1_E2_Candidate,Stage 1 (500 Discovery),61,60,review_2a6e0be4eff7d4bad8630a66 :: What a wonderful experience!  My husband Steve and I were in Moab with a few extra hours in the afternoon before starting our train trip though the  Rockies.   While an afternoon t...
gracious,亲切和蔼的,E1_E2_Candidate,Stage 1 (500 Discovery),61,60,"review_be6ad7ad8d01cad408067c00 :: We saved driving 2 hours to Anacortes plus another hour ferry ride to go from Seattle to Friday Harbor.  Since we went only for the day, the seaplane was the best, most scenic and ..."
moving,令人动容感人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),61,59,"review_0e6241ee723bd441df7f52c5 :: They sold me on flying low and being able to see lots of wildlife close up . . . 
We flew at about 500 - 650 feet above the grounds so any wildlife you see is minimum  600 fret awa..."
passionate,充满激情的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),61,60,"review_d5214b768412bef008732dba :: We had an incredible experience with Alaska Float Plane Company! Our pilot, Jason, was absolutely fantastic. He was knowledgeable, helpful, and clearly passionate about what he doe..."
joy,喜悦 / 快乐,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),60,60,review_4e35a460b4ec2c815f0fb70b :: We had an amazing time with Westwinds.  Carla was an amazing pilot and a joy to spend time with in the air.  Seeing the Canyon from the air was a special experience and unforgettab...
complimentary,赞赏的 / 赠送贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),59,56,"review_662f441878fa384baff0ed90 :: We had the most amazing experience, from start to finish, with Redtail Air Adventures! I had originally scheduled a helicopter tour for the morning of my birthday, however due to t..."
convenient,便捷省心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),59,59,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
excitement,兴奋 / 激动情绪,E1_E2_Candidate,Stage 1 (500 Discovery),59,57,"review_8e155d45b855c5afb9f315f9 :: What an incredible experience - it is hard to put into words how it feels to be flying among the mountains of the park - we had incredible weather and saw Denali, mountains, glacie..."
intimate,温馨亲切的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),59,58,review_64c7908f68d4f84efd504d41 :: Our family of 4 recently experienced this incredible flight around Mt. McKinley. It was a great experience to be so close to the ground and mountains where we could see the texture...
nerves,紧张感 / 不安神经,E1_E2_Candidate,Stage 1 (500 Discovery),59,57,review_a9d696ccd9dd784f879ec084 :: I am not a fan of small planes & was a little apprehensive about taking this trip which was an add on tour  to Danali after a cruise. We flew from Anchorage to Talkeeta and my nerv...
unreal,如梦似幻的 / 震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),59,56,review_342b724b8a16e38783a306a6 :: We did the flight seeing with a glacier landing. It was so worth the money. I can’t say enough good things about the whole experience. They got you checked in quickly and there was...
disappointing,令人失望的,E1_E2_Candidate,Stage 1 (500 Discovery),58,57,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
flawless,无瑕的 / 完美的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),58,58,review_2fe2c33b9820fdd0fb7c15d9 :: My family and I really enjoyed this trip. The flight was flawless . Ben was an excellent pilot and we enjoyed our ride . The views were amazing and your really can't see the canyon...
fortunately,幸运的是,E1_E2_Candidate,Stage 1 (500 Discovery),58,58,"review_0e8b415ed6e60f63a677db4d :: This was not a bad experience - but it was a little pricey for what you get.

The hotel pick up was fine. The driver was late. I called - repeatedly. Nobody answered. I was worried..."
lush,郁郁葱葱宜人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),57,56,review_888676466305845f8a0b93d0 :: Had the best time flying with K2! The weather was just right we got to land on a glacier and hang out for about 30 mins. Flew around Denali and saw so many cool views. Started out ...
negative,负面体验 / 消极评价,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),57,54,"review_f693e668b8f73742891708ef :: This adventure was the absolute highlight of our trip to Alaska. Although it is an expensive flight tour, it is worth every penny you will spend. We were fortunate enough to have a..."
stuck,卡住被困的（焦虑）,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),57,56,"review_839e0560238a0af9aac3153f :: I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fea..."
thankful,感激的 / 感恩的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),57,57,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
thoughtful,贴心周到的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),57,57,"review_219726c8df52142c822b8968 :: My husband, mother-in-law and sister-in-law and I enjoyed a wonderful air tour of Seattle aboard one of Northwest Seaplanes' de Havilland Beaver seaplanes. Our pilot, Ken, was grac..."
glorious,壮丽辉煌的,E1_E2_Candidate,Stage 1 (500 Discovery),56,55,"review_2a6e5f10f9e2f67e42081137 :: Glorious experience, felt like I was on a VIP trip soaring about the islands. It was amazing to see the islands in ways that I could never have seen away..."
uncomfortable,感到不适的 / 不安的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),56,54,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf..."
fair,公道的 / 划算的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),55,55,"review_7e60025c17905c17a11eb481 :: Great experience and really fair price! The booking, the flight and organisation was great. Would definately recommend this!..."
noisy,喧闹吵杂的,E1_E2_Candidate,Stage 1 (500 Discovery),55,54,"review_9d3eaa0a88e516a0261e52f8 :: We had originally thought about doing a helicopter trip of the Canyon, but several people who'd visited suggested the airplane tour was better. We decided to go for it and weren't ..."
cherish,珍视 / 珍惜铭记,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),54,53,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
genuine,真诚的 / 地道的,E1_E2_Candidate,Stage 1 (500 Discovery),54,52,review_3a236b0e94d395eaea638408 :: A great ride.  Eric the pilot is 100% dedicated to safety and comfort.  His enthusiasm for the beauty of the island is genuine and a pleasure to share.  Flew with my wife and daugh...
remarkable,卓越令人瞩目的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),54,53,review_c7ec6997e534174bbc6516a0 :: My Boyfriend and I used the seaplane to get to and from the San Juan Islands. The service and knowledge were impeccable! We were able to sit up front and learn about the plane as w...
appreciation,感激 / 欣赏,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),52,51,review_23e045a06437ae9f021d5729 :: Just book it! Amazing Experience and fantastic views of the Grand Canyon. Ample photo opportunities and a pre-recorded commentary. Captain Jack was very knowledgeable and considera...
enthusiasm,热情 / 积极性,E1_E2_Candidate,Stage 1 (500 Discovery),52,52,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t..."
gentle,平稳柔和的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),52,50,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p..."
strong,强烈的,E1_E2_Candidate,Stage 1 (500 Discovery),52,49,"review_6523d5d635208035ffc1f596 :: Absolutely to book in advance because you can't do without it.
We booked it a few days before and called to confirm the reservation.
In June 2023 we spent 164 euros each for the fl..."
trouble,麻烦 / 困扰,E1_E2_Candidate,Stage 1 (500 Discovery),52,51,review_562c5fdfe17c7e66d0793c87 :: This was THE MOST MEMORABLE thing we did on our 10 day trip Arizona. We covered from Tombstone  to Page and this left me speechless . It is a completely different perspective than ...
disappointment,失望 / 遗憾失落情绪,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),51,48,"review_4e27888b553235013b9719d7 :: Our flight could have been a disappointment: clouds kept us from seeing Denali up close and the lack of fresh snow prevented the glacier landing. Despite all that, it was still an ..."
nicer,更美好/更亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),51,51,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
happier,更快乐的 / 更满意的,E1_E2_Candidate,Stage 1 (500 Discovery),50,49,review_bfc3f1958db1c16d6534e345 :: This was my second time flying with West Wind and they are fantastic! I couldn’t be happier. Flying over the Grand Canyon with Carson our pilot was an amazing experience and I can’...
hoping,期盼 / 希望,E1_E2_Candidate,Stage 1 (500 Discovery),50,49,review_74583e2676252038a02e2224 :: We were on our boat near River's Inlet and headed South to collect my brother and nephew who we were flying in for my nephew's 16th birthday present.  He had never been on a float ...
queasy,恶心反胃的,E1_E2_Candidate,Stage 1 (500 Discovery),49,47,review_4af3e5aeefeb06a6a7ef7c95 :: I have a tendency toward motion sickness. The ride was so smooth and awesome there was not a single queasy moment.  Pilot pointed out interesting things.  Best ride EVER....
seamless,流畅无缝无摩擦的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),49,48,"review_8447cef58620bf41f7a0bf9a :: Lindsey and Destiny did an amazing job in the planning of our event. They were so helpful, patient and friendly as they worked through our changes and were very accommodating! The ..."
delight,欣喜 / 愉快,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),48,48,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
genuinely,真诚地 / 确实,E1_E2_Candidate,Stage 1 (500 Discovery),48,46,review_c2c6a7fed06757adb42d94c8 :: It was absolutely incredible and the folks at K2 were so good about working around the weather. We were in the area for three days and pushed the trip from the first day to the sec...
steady,平稳的 / 稳健的,E1_E2_Candidate,Stage 1 (500 Discovery),48,47,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of..."
easier,更容易的 / 更省心的,E1_E2_Candidate,Stage 1 (500 Discovery),46,45,"review_62973558ebb173e071202d4b :: For the last two years, my dog and I (along with friends and family) have flown both regular scheduled flights and  chartered flights from Renton to/from Gulf Islands, Desolation S..."
sensitive,敏感的,E1_E2_Candidate,Stage 1 (500 Discovery),46,44,review_e1863fff57d5ce5fbdf870e9 :: Literally the best!!! Was here on a family vacation and this was the main event. Well worth it! Would recommend to anyone visiting Maui. I’m sensitive to motion sickness and this r...
terrible,可怕的 / 糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),46,44,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
unexpected,意想不到的惊喜,E1_E2_Candidate,Stage 1 (500 Discovery),46,46,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t..."
warmly,温暖地 / 热情地,E1_E2_Candidate,Stage 1 (500 Discovery),46,46,review_552464983c23bee88efea1ff :: Very impressed with Westwind Tours - the lady who booked my flights is warm and friendly and they called the day before (on Thanksgiving) to re-confirm.  The tour ran smoothly and ...
decent,尚可的 / 体面的,E1_E2_Candidate,Stage 1 (500 Discovery),45,42,review_2451355c4316d671a28341f1 :: Steve was awesome from the moment he greeted us until our goodbyes. The flight was smooth and well paced. We felt like we had a tour worth every penny which even the cost was decen...
friendliness,友善 / 亲和力,E1_E2_Candidate,Stage 1 (500 Discovery),45,45,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper..."
loud,吵闹的 / 噪音大的,E1_E2_Candidate,Stage 1 (500 Discovery),45,43,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
terrified,极度惊恐的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),45,43,review_a47243ad5160af5d8023c647 :: As a person who Is terrified of heights this was amazing!! 10/10 would recommend this was absolutely incredible!!! I loved it and I don’t think I will ever forget this!!!...
