word,frequency,review_count,example_context
greenery,2,2,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o..."
grows,2,2,"review_8a63b81694c8be2bdcc94b18 :: We toured the island of Kauai, Hawaii in a small plane which held six passengers. We covered the island as the pilot pointed out magnificent areas of beachfront, the island's own v..."
happening,2,2,review_2ef4b1a16a693f1d47846fd5 :: Words can't describe the experience of a flight seeing trip and glacier landing with K2 Aviation!  The views are something that can only be experienced from the air.  The time spen...
happiness,2,2,review_c8c04aed9cd305332764808f :: I encouraged my husband to take the biplane flight/tour. I had no intention of going. My husband and the pilot Mark encouraged me to go along. The front seat holds two. I decided t...
harbour,2,2,"review_9049c1bcbdc4c2033d78408e :: If you are visiting San Francisco then this is a must, it is a beautiful city looking from the harbour, getting a birds eye view is even better.
Fog delayed our flight for 3 days b..."
haviland,2,2,"review_53179d527df5fe91bf19d962 :: We went on the 4th of July with K2 to do a ""fly and hike.""  The lady who was the owner drove us to the lake where we caught the water airplane.  She was really nie and personable. ..."
headland,2,2,"review_6325773fe8618c3e335ca053 :: The Seaplane Adventure was a magical ride. We did the Golden Gate tour and I highly reccomend it!!
The ride covered much of Marin, the coast up by Muir the Headlands the city ,The ..."
heaven,2,2,review_1197b8cd3020387380edf9b6 :: The flight was excellent!  It was an incredible experience of Maui from the heavens.  It is more beautiful than expected....
helicopers,2,2,review_270a165602be9054c8b6702a :: We arrived on our cruise ship Thursday and took the free shuttle (although it's just a 5 -10 minute walk out the cruise terminal gates to the road on the right) to the Anchor Cove ...
helpfull,2,2,review_e442b3c8838d016af93b395a :: We booked the airvan tour directly by Ellen (owner of WoK) and she was very helpfull and aswered all my email. Bruce flew us over Kauai and we had an amazing time! There are no wor...
herself,2,2,"review_8473bc0e665fdd413f1a78f3 :: When I asked the activities agent “how can I see most of the island in a short amount of time” he quickly suggested: “take a plane ride, it’ll be unforgettable.” He was absolutely ..."
hesitating,2,2,"review_feb2301965baf7cd372cbd1f :: It's Alyssa Jacey, the singer/songwriter you hosted on the private helicopter tour! I have been MEANING to review this and my only excuse is that I went on tour! I've opened for Br..."
highlighted,2,2,review_26049d7a2e5e643c890bcb65 :: My wife and I had an amazing flight of the Miami skyline. What a breathtaking view of the ocean and city. The tour was highlighted with some great facts of the city and surrounding...
hightly,2,2,"review_d2f92936bcd265ca93e51c00 :: We arrived on Kauai two days ago and decided to take a flight around the island.  Our decision to take the ""Air iVentures"" Airvan fixed wing plane tour was a wise one.  The Pilot a..."
highway,2,2,"review_d8a67b28014389f41a28a5ea :: Very capable team and smooth ride.  very special views of the mountains, glaciers, and glacier highways..."
hindsight,2,2,"review_885fd812f57c3dd3b204d8e3 :: My wife and I did a flight with K2 kind of on a whim.  We had planned to do lots of hiking in Denali, and along the Kesugi ridge in Denali State Park.  But 2 weeks before our visit..."
hired,2,2,review_65fbdb783af918386d7b08d9 :: We hired the plane for our family of four. Great experience to fly up and down the beach and the pilot was very friendly and informative. Be prepared to get your feet a little wet ...
hokie,2,2,"review_5822227dbdf816d7d210d856 :: This was the highlight to our visit in Kauai!  Imagine finding another Hokie (Virginia Tech alumni) as the pilot of our plane:)  Bruce was very professional, and patiently explaine..."
hole,2,2,"review_d36f40205e70af49b1f1034e :: This was our second visit to Kauai, and had not planned on taking any special tours. However, after hearing about Air Ventures and seeing the brochure, we changed our minds, and ha..."
honesty,2,2,"review_9f9111190c4a6d851371d2f7 :: We want to express our appreciation to Chip Sonn, our K2 pilot for our fantastic late afternoon/evening flight excursion while recently visiting Talkeetna, Alaska.  As part of our ..."
horrible,2,2,"review_ebb70b11c29e696fbd1d4b9d :: Both K2 and Talkeetna Air Taxi (TAT) get my highest recommendation. Follow along with the bouncing ball, kids, as our tale unfolds:

Pre-booked directly with TAT about a month befo..."
horseshoe,2,2,"review_e353eebaf4124216024cc85b :: We have taken the air plane tour including Horseshoe Bend, Glen Canyon Dam and the Rainbow bridge.
Tour duration around 45 mins.
Our pilot was Keep; he was really welcoming. 
From ..."
hospitable,2,2,review_1a8c661361e1a55ed4a0ed52 :: The service provided by the Wings Over Kauai tours was very well done.  Ellen was very hospitable while waiting for our scheduled flight.  Capt. Josh has a very clear passion for a...
hovering,2,2,"review_197311c9bab9bac341561841 :: We booked the helicopter ride with Maverick because it got the best reviews here, and we were not disappointed. After being warned I might get motion sick, I was a little apprehens..."
hugged,2,2,"review_c707a808f642abfa36f36c84 :: Me,my wife and my 10 year old daughter booked a plane ride with Maui Plane Rides from New York for the second leg of our Hawaii trip.The plan was that my daughter could learn how t..."
humility,2,1,"review_d1dfcb69be6315d42fc6e8f8 :: DISCLAIMER: I’m a tour professional living and working here in Alaska and not compensated in any way for this review. I do it because these operators are my FELLOW ALASKANS. 

Ther..."
ian,2,2,"review_7f741f3b5d24c3d629916a50 :: The trip was amazing! Our pilot, Chris Wilson, was super nice. The view was amazing! Everything was super clear and it looked like we were in a movie. We did not even notice we wer..."
icing,2,2,review_ddd6e9d3ab90e2c56fb06969 :: My family and I had the great pleasure of taking this flight this past October.  Bruce and Ellen made us feel truly welcomeas soon as we arrived.  The flight itself was perfect.  B...
id,2,2,review_f389d29ef75b16dd216280d8 :: The flight was a great experience. a real once in a lifetime snd id recommend it to anyone visiting Maui....
ifr,2,1,review_5f0aede9665c6405e8f741fa :: We ended our Alaska cruise with a flightseeing trip around Denali. What a finish! Talkeetna Air Taxi is by far the company to use. Two reasons: IFR and pilots. Denali is frequently...
immense,2,2,"review_b0f34c63770cd33dc3f5de34 :: We took the air tour on the STOL (short take off and landing) aircraft and were not disappointed.  We did the Grand Discovery Air Tour, a 45 minute narrated run about the Canyon th..."
imperial,2,1,"review_d3e304f726d1296b2ca6fff6 :: Both the tours left from Grand Canyon National Airport. Both I booked through Papillon, but Helicopter left from Papillon section of the airport whereas Scenic Canyon River Adventu..."
improving,2,2,"review_8cbe628c5c47e65c0e97f867 :: We stayed in Talkeetna for two nights, planning on a flight seeing on our first day there. We were scheduled for the first morning flight. The morning was very overcast and the fli..."
inadequate,2,2,review_32154e360a78d55bec89cb27 :: This is the one thing you have to do before you die. It is absolutely fantastic! Words cannot describe it and photos are inadequate....
inch,2,2,"review_26852a512277b5deece08a3f :: I had the pleasure of a late afternoon ""The Big Kahuna"" air tour this week with Air Ventures Hawaii that was a FANTASTIC full tour of Kauai.

The views from the plane were amazing ..."
incomprehensible,2,2,review_c765b5e7676ff96bb64c9185 :: We did the Denali experience with a landing on the Eldridge Glacier and I can confidently say it was in the top 5 experiences of my life. I felt like a child again soaring past she...
independent,2,2,"review_ab1406e9dd68689155761a68 :: Wings Over Kauai gets 5 stars in my 4P categories. 

We began planning our excursions for this vacation several months ago and decided to use independent third party operators in l..."
indulge,2,2,"review_204946c26466eb6ee99eca6e :: I'd been hoping to rent a single engine airplane during our recent trip to Kauai.  I'm a private pilot, and my wonderful wife was looking for a way to see the island while allowing..."
industry,2,2,"review_c45fce412fe0b4ef2ded54a8 :: Captain Ray, Jill and her employees were incredible. It felt like a family-run operation with decades of experience in the aviation industry, so it felt personalized and safe. I ca..."
inflight,2,2,"review_c4e918eedbed49349a333a93 :: This is expensive, but worth every penny. If you visit the Grand Canyon and can afford it, we recommend you do it. For us it was one, if not the, highlight on our extended US trip ..."
inform,2,2,"review_b0f34c63770cd33dc3f5de34 :: We took the air tour on the STOL (short take off and landing) aircraft and were not disappointed.  We did the Grand Discovery Air Tour, a 45 minute narrated run about the Canyon th..."
injured,2,2,"review_322548ca63fb6529492ff9f2 :: There was a plane crash (not a Seawind Aviation plane) on Prince of Wales Island four days before we arrived by cruise ship in Ketchikan. The pilot of that plane, which had 10 pass..."
inquiry,2,2,"review_8b83a22196b388d97bad7a0a :: Bruce and Ellen run an exceptionally personal, friendly, but professional business.  Ellen was responsive to email inquiries and let us add an additional passenger last-minute.  Th..."
instant,2,2,"review_4e929049b259f5b78b641807 :: This truly left me speechless today...  
First of all, the views were outstanding...
Our pilot, John was awesome & did a great job 'narrating' everything we saw!
Would do again in ..."
intermittent,2,2,review_e02af59e8ace315980f632b2 :: My husband and I were one of the last flights of the day and we flew in the tiniest Cessna and I felt like I was knee-to-knee with our pilot. The Cessnas are specially modified to ...
invest,2,2,"review_48861d1a4276178379e27007 :: We had the privilege of doing the Grand Canyon West Rim Adventure Tours.  We will never forget this AMAZING experience!!!  From the welcoming staff to  the incredible views, this i..."
involving,2,2,"review_4307dc4b3a2eea6bea40ce11 :: Bruce and Ellen and very personable and engaging.  What a terrific job of making you feel a part of the process!  For those who have not flown on a small plane, Bruce does an excel..."
jam,2,2,"review_e0e1dd521e77a4007403c8e6 :: I took a HAL cruise in June 2010 and booked this excursion through the ship.  The bus was there to pick us up right on time but there was a bit of a traffic jam of buses, so we got..."
jan,2,2,"review_c503f060e1522d96b60e8dca :: In late Jan I took my wife on this tour for her BD. While I’ve spent numerous hours (military’s & law enforcement) aboard helicopters, she had never experienced it...
nor had she e..."
jane,2,1,review_91b07376e836c82b2b2ff5cc :: We had the open cockpit biplane flight beginning of February after booking online from the UK.  Jill kindly offered to collect/shuttle us from the ABC Store at Anchor Cove Shopping...
jeroen,2,1,"review_97b964c03459bcded991d1c0 :: We recommend to fly with this company.
We are very enjoyed by this large tour. It's was an amazing tour, wonderful views and very good comments of Jeroen. 
Congratulations for this..."
jessie,2,1,review_06ed3130a83fc6ab76f766d3 :: The most amazing experience of my life.  I would suggest anyone that has $150-$200 skip a fancy dinner or two and do this.  You won't regret it. Everyone at the facility was great ...
joel,2,2,review_1dbe99f0ae2066b5cbafdd4f :: My first helicopter ride and first time seeing the Grand Canyon in one incredible experience. It was everything I hoped it would be and more. Our pilot Joel did a great job of desc...
jonathan,2,2,review_4d001effdefacb7e3c5bc1db :: Our pilot Jonathan was so nice and informative.  We took an 1 1/2 flight tour with a 1/2 hour glacier landing on Ruth's Glacier.  Weather was great and we even got to see McKinley....
jose,2,2,review_a064d1c4b8bb364627f0598f :: It was a girlfriends weekend and we were visiting a friend who has a beautiful home on Shaw Island. We flew from San Jose to Seattle. In Seattle we boarded the sea plane which woul...
joshua,2,2,review_7a5857b5838d3fc7416911f2 :: Excellent pilot. Had great tour over the Colorado River on our way back to Moab from a 5 day rafting trip. Joshua was a polite and informative pilot! Thanks for the amazing experie...
joyful,2,2,"review_27ee31e44dec37dd44a492ba :: Eric, the pilot, is a amazing guy doing a great job! He said we are sharing his dream, actually he was making my dream come true by letting my little girl driving a little bit! Sou..."
judy,2,1,"review_1f225670816335d77f852059 :: Kauai is our favorite island. There’s just something different about it. It has a different feel, a different vibe. Maybe it’s the chickens everywhere, or the cattle or the more ma..."
justify,2,2,review_1f4adfc589cda8b305c00cac :: Check in was easy and our pilot Josh was professional and made us feel safe and secure. He provided a lot of information as we flew over Kauai/Napali Coat. We were thrilled when we...
kahiltna,2,2,"review_6b4f55a23869141d6e9fcb5b :: We are long time Alaskans and have viewed Denali from the air as well as the road system on several occasions.  Our K2 Aviation flightseeing trip topped them all. 

The phone reser..."
karla,2,2,"review_4c7909b8a8bbaa352bb6b211 :: We were visiting Phoenix and wanted to catch Grand Canyon without the long drive.
Charter flight was smooth and we immediately boarded helicopters and then boats.
Choppers back up ..."
kawai,2,2,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
kayak,2,2,"review_3fabab1c18329fdb94e0581c :: The day before my Air Ventures Hi flight, I had an amazing conversation with a helicopter tour across the street. I was the 1st for the next tour which required 6 passengers. No on..."
kiddos,2,2,review_a0a33bf19227782666ffdd74 :: We took our grandchildren on the 45 minute helicopter tour of the Grand Canyon.  This is the second time my husband and I have used Maverick and have been very pleased with them.  ...
kindly,2,2,review_91b07376e836c82b2b2ff5cc :: We had the open cockpit biplane flight beginning of February after booking online from the UK.  Jill kindly offered to collect/shuttle us from the ABC Store at Anchor Cove Shopping...
kit,2,2,"review_2c936441bbc2f31d7558ce47 :: Words cannot describe how amazing this tour is.

From the office staff, to the ground crew, to the pilot; these people are fantastic.  The pilot went over all the emergency necessi..."
kris,2,2,"review_5ad758e7c3964e6f6266314d :: The flight was great, our pilot Kris was awesome - very knowledgeable and did a great job showing us the Alaska range. The views are just unbelievable! What an unforgettable trip, ..."
labor,2,2,"review_d9560030ede7b0b8cadef1bc :: In spite of the seasonal fog bank over Labor Day, we had an amazing time flying over the San Francisco Bay sights in the second row seats of a spacious vintage de Havilland Beaver ..."
lastly,2,2,review_6bb556e3652223af04ca94ba :: Matt U was the most accommodating person as we prepped for our trip into Denali. We stayed three nights at kantishna roadhouse (which was lovely) but we might just stay at the KAT ...
latest,2,2,"review_e9c95a30f06d08eb3ed861e0 :: Eric gave us such a wonderful experience this morning on our flight seeing trip between Maui and the Big Island.  It was a gorgeous flight and we got to see Haleakala, Waipi’o Vall..."
laura,2,1,"review_6912bb0d1b0a6af106e7537b :: Laura is our pilot and she’s so amazing and professional, that we really enjoyed our time with her. Had wonderful time in the plane, and Laura provided explanation along the ride. ..."
leading,2,2,"review_f6dd4624f9efc22931f8c04f :: Lesley, Steve and Dan provided top notch service as we explored Traitor's Cove Bear feeding site with their professionally run organization!

The experience is amazing, Dan's knowl..."
leann,2,2,review_18a947efb02198d7b89d248f :: What an amazing day touring Denali and landing on the glacier!  Truly amazing and beautiful and expertly experienced with our pilot LeAnn. This is an absolute must to really feel t...
leery,2,2,"review_2c936441bbc2f31d7558ce47 :: Words cannot describe how amazing this tour is.

From the office staff, to the ground crew, to the pilot; these people are fantastic.  The pilot went over all the emergency necessi..."
lesly,2,2,"review_85b8dedf61096ea65b0cf853 :: We took our six children on this flight, and Dan was not just a good pilot. He was knowledgeable, had a witty personality, and educated us a lot about the landscapes, logging, and ..."
lightly,2,2,"review_b6618302d170760b80e9dda9 :: The pleasantness of the staff and the pilot made the experience even more memorable. And of course no questions about the aerial views. 

Tip: eat nothing/ very lightly before the ..."
lightning,2,2,review_8ee4a6bccff05f135f8789a2 :: This was the first stop on my Alaskan vacation and it was by far the most memorable.  A Talkeetna Air driver picked me up in this picturesque town (think Northern Exposure) and dro...
limo,2,2,"review_c503f060e1522d96b60e8dca :: In late Jan I took my wife on this tour for her BD. While I’ve spent numerous hours (military’s & law enforcement) aboard helicopters, she had never experienced it...
nor had she e..."
lisa,2,2,"review_feb2301965baf7cd372cbd1f :: It's Alyssa Jacey, the singer/songwriter you hosted on the private helicopter tour! I have been MEANING to review this and my only excuse is that I went on tour! I've opened for Br..."
listening,2,2,"review_95bc2c8f514c7369ecb0bc7e :: I was blessed to be able to send my husband, and my boys, on a flight that they never would have treated themselves to. The pilot arrived on time, let me snap some pictures, and an..."
loa,2,2,"review_e9c95a30f06d08eb3ed861e0 :: Eric gave us such a wonderful experience this morning on our flight seeing trip between Maui and the Big Island.  It was a gorgeous flight and we got to see Haleakala, Waipi’o Vall..."
lock,2,2,"review_daed82c6ebdafc06c8a2f319 :: We arrived late one evening and had booked an early helicopter flight for the following morning several months ago
Maverick were easy to find, very friendly and delivered a wonderf..."
logbook,2,2,review_3a5711fe918fd5d06c21e370 :: Eric was absolutely fantastic! Great customer service. Working towards PPL and nothing like having PHOG in my logbook!!! So excited and ready to come back again!!...
lookout,2,2,"review_98d3a3f74a15e49c28aefb4b :: My sisters and I took the helicopter tour over the Grand Canyon, and it lets you get a 
Great appreciation for the amazing Canyon you do not get just from seeing it on the lookout ..."
lord,2,2,"review_0eb891565b48a8217c71c654 :: K-2 Aviation is the best.   They are friendly and fun, while being professional at the same time.  Making a reservation was easy, and I called back a couple of times to confirm, si..."
lounge,2,2,"review_8a23a51aa423a5c81c6bd310 :: We took the south rim tour on December 29th,2013. Westwind Air is a first class operation all of the way. The hangar and lounge area were very comfortable and complimentary coffee ..."
luscious,2,2,review_af6c769cd16b044c81ee438f :: My husband & I were visiting Kauai from New York.  We were extremely fortunate to fly in a comfortable but small plane to view the luscious island of Kauai.  When we arrived for ou...
machine,2,2,"review_15637101db16250e89da8999 :: Seeing Denali from the ground is awesone - seeing it from the air is inspiring, truly hard to find the right words.
K2 is a well oiled machine and works a process that leaves nothi..."
mainland,2,2,"review_9aba8302cde465eea25d2eef :: Our flight was pleasant, even though I am usually afraid of flying- I was not scared at all. Our pilot was a gentleman who seemed like he really knew what he was doing.

We had to ..."
makana,2,2,"review_2333041eae9c0c4fe2e96190 :: Had an excellent flight with local pilot Makana.  He was very knowledgeable about the island as he grew up there!  We felt safe and saw some awesome sites.  Great trip, highly reco..."
makoa,2,2,review_b5defe98d354392806c8f6f2 :: Our young pilot was Makoa and he was awesome! He was very good at making sure everyone was having a great time and to share the views as best he could with both sides of the aircra...
mar,2,2,"review_feb2301965baf7cd372cbd1f :: It's Alyssa Jacey, the singer/songwriter you hosted on the private helicopter tour! I have been MEANING to review this and my only excuse is that I went on tour! I've opened for Br..."
married,2,2,"review_322548ca63fb6529492ff9f2 :: There was a plane crash (not a Seawind Aviation plane) on Prince of Wales Island four days before we arrived by cruise ship in Ketchikan. The pilot of that plane, which had 10 pass..."
match,2,2,review_be8faf48d8d937ed7f366e98 :: K2 Aviation is a super friendly and well-run organization. Views were amazing. So glad my teenage kids got to really see a glacier for what it is. We'd talked about them so much on...
mead,2,2,review_857028e9eccb4000cb5ee676 :: It's quite a few years ago since my wife and I did this flight but it was so memorable that it seems like only yesterday. After being picked up around teatime and taken to the airp...
mechanical,2,2,"review_8ed1f3be39c0df8fa6577cda :: I was traveling alone with my 3 kids all age 9, we were greeted kindly by Lindsey the sales person/manager and things ""seemed"" to be running smoothly and ethically. We boarded our ..."
meg,2,2,"review_92bcefde67c6a3e3f66ccd5e :: Lindsey picked me up from the Boulders.  She was enthusiastic with a wealth of information.  Meg one of the staff at Westwind was enthusiastic and accommodating.  

Brett was my pi..."
mesmerized,2,2,"review_1fb3ee377c8006c157d3ff69 :: What an experience! We were scheduled to fly on the 8/8 but due to the storm, TAT rescheduled our flight. Thanks to an amazing pilot, everybody in our party of ten were mesmerized ..."
mic,2,2,"review_77341391cb13d175af149c1d :: My wife is not a good flyer, even on a 767, let alone a little Cessna or the like. There was no way I could get her on a helicopter tour, so the doors off experience wasn't going t..."
michigan,2,2,review_adeb7e7e85a542014a24f892 :: We absolutely loved the air tour.  Favorite part of the trip.  Eric was great...funny & knowledgeable.  And he is from Kalamazoo Michigan.  Just an hour from where we live.  Small ...
mid,2,2,review_d8bcef3b73276930469f2a1e :: We had gone to Denali National Park the day before and got a glimpse of this spectacular mountain. But we had also booked a flight seeing tour with TAT to get a closer look. This w...
mighty,2,2,"review_3bb066612c7c6f256d55cf79 :: We saw the most awesome sights today on our Mavericks helicopter flight!   

Our 17 year old son had never seen the canyon and we are on a short trip.  We figured an overhead persp..."
mindful,2,2,"review_92808e0670a773acd1539ab9 :: Amazing unforgettable experience. Glacial landing is incredible and pilot is super capable and reliable. Would do this a million times. 
K2 has a long line checking in but were ver..."
motivated,2,2,"review_c4e918eedbed49349a333a93 :: This is expensive, but worth every penny. If you visit the Grand Canyon and can afford it, we recommend you do it. For us it was one, if not the, highlight on our extended US trip ..."
motorized,2,1,"review_d3e304f726d1296b2ca6fff6 :: Both the tours left from Grand Canyon National Airport. Both I booked through Papillon, but Helicopter left from Papillon section of the airport whereas Scenic Canyon River Adventu..."
mph,2,2,"review_b0f34c63770cd33dc3f5de34 :: We took the air tour on the STOL (short take off and landing) aircraft and were not disappointed.  We did the Grand Discovery Air Tour, a 45 minute narrated run about the Canyon th..."
muir,2,2,review_8d4ddb6f94926e611f27073f :: I took the 30 minute San Francisco Bay tour on August 28th at 3:15.  It was a spectacular day with some fog around the Golden Gate Bridge.  We flew around and over every major tour...
naomi,2,2,review_546786840bf6c65f5be66ad8 :: We booked after we got off the ship and saved a bunch of money!!! The ship price was 280 and we got the trip for 230... Naomi took us to the plane and Mike took us flying. It was w...
napili,2,2,"review_5fe403d9e2633bea2fb1bc97 :: How often do you get a chance to fly in an open cockpit biplane? Our pilot, Harry, was friendly and very experienced. The plane is quite new, and in great shape, the intercom syste..."
natl,2,1,"review_ec5d7ec5d411b0ab737b11e1 :: This was a spectacular experience. We have seen the area from  every angle and every level.  We have Kayaked and canoed down the Green River, we have driven the 4 WD White Rim Road..."
naturally,2,2,"review_b0f34c63770cd33dc3f5de34 :: We took the air tour on the STOL (short take off and landing) aircraft and were not disappointed.  We did the Grand Discovery Air Tour, a 45 minute narrated run about the Canyon th..."
ne,2,2,"review_05697f4acb39cdc8cea8f5d4 :: We made our second trip to the beautiful island of Kauai this spring.  And, one of the highlights of our trip was our tour of the island on Wings Over Kauai Tours.  The first time ..."
neets,2,2,review_848424c51927a4bf08a21428 :: We took a family of 4 on the seaplane and neets Bay bear watching tour. Mike was our Pilot and he was great. 1st time we landed you didn’t even know you were on the water. The guid...
neil,2,1,review_e0d4177111a512725ecee24d :: I have to share my experience this morning. I took my Very First Flight Ever a couple of hours ago and did it through RedTail Aviation in a 6 person plane. I was so nervous before ...
nephew,2,1,review_96a0e9401ae09fc724158180 :: My family went on this as an excursion during our Alaskan cruise. I had called a few months before and the customer service is great! They helped us plan out the best times accordi...
news,2,2,"review_c503f060e1522d96b60e8dca :: In late Jan I took my wife on this tour for her BD. While I’ve spent numerous hours (military’s & law enforcement) aboard helicopters, she had never experienced it...
nor had she e..."
nicole,2,2,"review_a0ad9597bb79299d9b789aef :: We had a pleasant flight around the perimeter of Kauai and took lots of photos.  Due to the rain that day, there were too many clouds to fly safely into the interior.  Harry, our p..."
nicolle,2,1,review_ce93410fff86a815ca150fee :: Coordinating a weekend getaway was so simple with Nicolle and team. Nicolle responding quickly with every question and found the best possible place for us to stay. Our pilot was p...
nine,2,2,"review_feb2301965baf7cd372cbd1f :: It's Alyssa Jacey, the singer/songwriter you hosted on the private helicopter tour! I have been MEANING to review this and my only excuse is that I went on tour! I've opened for Br..."
nit,2,2,"review_429db4505fe53b531b0f9cfd :: Our pilot Jake was awesome! He not only flew the helicopter so smoothly so that our 1 family member who has a tendency together airsick, did nit!! Jake was a tremendous narrator/hi..."
northwest,2,2,"review_3cfb0433f33054f57b4a3f37 :: This tour actually was our back-up choice, and I have to say I was very pleased. The views of practically virgin forest and mountains were breathtaking. Taking a ride in a piece of..."
nt,2,2,"review_23347cb011e96c6a2177a1b3 :: The staff at family owned business is very friendly. Bruce, our pilot is very engaging and made sure to engage us all and check that we were all comfortable. The headsets allow us ..."
obscured,2,2,"review_1ca9aaf183856fcc19dc934a :: After having taken a Denali flight in 2001, I decided I wanted to do a repeat flight out of Talkeetna on my recent visit to Anchorage, Alaska for an airport conference.  With the l..."
onboard,2,2,"review_4e0c84b1fe480dcc319f91b4 :: My family of 5 recently took an AirVan ride touring the island of Kauai. We got there early, and were offered books to peruse while we waited. Josh was our pilot. He was very knowl..."
ongoing,2,2,"review_cc9bb85db1273e550ea2d2cf :: The rule of thumb is that there is a 1 in 3 chance of seeing Denali (Mt. McKinley) without cloud cover. However, on those days that Denali is in the open a flight is a must if your..."
ontario,2,2,"review_2f82f37c672e2b9538ea9b0d :: We highly recommend the very personable experience we had with Wings Over Kauai.
Bruce and Ellen were very accomodating to us - allowing us to change flight day and time.  
Captain..."
op,2,2,"review_f9dc510afd22c25c546f9d10 :: My buddy and I did the 45 minute helicopter tour and it was simply amazing. The pilot (Danny) was knowledgable and super nice. From the Tusayan Airport, it's less than 10 minutes a..."
operated,2,2,"review_cf25c5eb87a0f0008abb8a4d :: I have been to the Canyon now 3 times, once with Pink Jeep (great land option), I drove once and stayed overnight and then I did this tour operated by Maverick. I took a group out ..."
operating,2,2,"review_52cf67751f41cd7b4da16d13 :: When I started researching Denali tour operators last fall I narrowed it down to two.  Talkeetna Air was my first choice, having lived in Alaska, both my choices have been operatin..."
optimal,2,2,review_2d303e03dc90d5daa58fec73 :: I was originally looking into helicopter tours but was worried about my wife getting motion sickness and the costs are pretty expensive.  When I found Wings Over Kauai on a TripAdv...
optional,2,2,"review_25a6288b21d5e5d8fc4ebdb3 :: Like many, I read TA a lot but don't often feel the need to post. Flew in their smaller plane, the Cessna 172, recently on the standard around-the-island tour. Excellent narration ..."
ordered,2,2,"review_1f225670816335d77f852059 :: Kauai is our favorite island. There’s just something different about it. It has a different feel, a different vibe. Maybe it’s the chickens everywhere, or the cattle or the more ma..."
orderly,2,2,review_5d94a7bb9a8a4324e9b57891 :: We chose the South face Tour with Glacier Landing. The check in was fast and easy. The staff was super nice. You have to weigh yourself and your belongings and they determine how t...
orientation,2,2,"review_cdd98e398d32a45324fe7c9b :: This was the first thing my wife and I did when we got on island.  We referred to it as our ""orientation flight"" because we could physically see everything and decide what we wante..."
outgoing,2,2,review_d05fc8633e33e1099b19846a :: Our first float plane flight. The tour was great. The takeoff and landing was very smooth. Excellent pilot/tour guide. They picked us up at our ship and dropped us off at a restaur...
outset,2,2,review_1d7e472c4d990cd7ddc0927d :: Having done the trip to Traitors Cove recently I have no hestitaion in recommending SeaWind Aviation. I was made to feel welcome by Lesley right from the outset. A real family busi...
p,2,2,"review_f6dd4624f9efc22931f8c04f :: Lesley, Steve and Dan provided top notch service as we explored Traitor's Cove Bear feeding site with their professionally run organization!

The experience is amazing, Dan's knowl..."
painted,2,2,"review_0180711bcc1e4157afe5b416 :: We opted for a 45 minute flight in a Twin Otter Vistaliner to see more of the GC instead of going on the Skywalk.  It cost a little more but was sure worth it.  At check in, be pre..."
parameter,2,1,"review_ce23c1ddd00fe162177658fe :: To be fair, I want to say upfront that this review focuses not only on the provider but also on Trip Advisor (based on the comments of the owner/vendor that Trip Advisor is horribl..."
paramount,2,2,"review_e1d12b9707aa08ac9ec95339 :: The schedule was a bit backed up after a few days of bad weather, but these folks handled things with professionalism, courtesy and good humor. We never felt out of the loop while ..."
pat,2,2,"review_4e0c84b1fe480dcc319f91b4 :: My family of 5 recently took an AirVan ride touring the island of Kauai. We got there early, and were offered books to peruse while we waited. Josh was our pilot. He was very knowl..."
patti,2,1,"review_13f4ed29bbfcff2c082a87b1 :: Bruce and Patti offer incredible service, an extraordinary experience at a very reasonable price.  My family had 3 adults a 3 year old and a 6 month old on our flight.  Bruce and P..."
payment,2,2,"review_f3b2c22f8292b4045b6b7d5d :: We tried to arrange a glacier landing while we were visiting Haily but the weather prevented us from flying there.  So on our way back to Anchorage, we stopped by Talkeetna Air Tax..."
peacefully,2,2,review_09687f3c5332ab59381de30a :: It was perfect and we would go again with this same company. A small fixed wing plane seating a pilot and 2 riders. Things to keep in mind if you pick this small plane-If you are v...
peek,2,2,"review_5ef51ca1e1d17ab503a628a8 :: We had a perfect evening flight, all conditions were great to see the mountains and we were able to land on a glacier.  Jonathon was a super pilot, warm and friendly and full of fa..."
pele,2,1,"review_38c140061a79f5dc4b034f30 :: Well.. I suppose we were really lucky ducks. ..
Booked month in advance from downunder..flew specially over from our holiday stay on Waikiki for this trip.
On arrival our booking w..."
penalty,2,2,"review_f3b2c22f8292b4045b6b7d5d :: We tried to arrange a glacier landing while we were visiting Haily but the weather prevented us from flying there.  So on our way back to Anchorage, we stopped by Talkeetna Air Tax..."
peppermint,2,2,"review_7c917cb11f7a0f47c85727c7 :: Bottom line, don't pay $250-300 to go on a helicopter tour.  This much more personalized tour is great and Bruce is very knowledgeable of the island.  He does a good job with the p..."
pertinent,2,2,review_bb45025b35f762edb35c577d :: Just want to complement Ellen and Bruce and staff for a wonderful experience.  Had a great flight and very knowledgeable and pertinent commentary from Bruce during the flight that ...
pinnacle,2,2,review_ff282b470223120e69c6a4b8 :: This flightseeing trip was the pinnacle of 2 weeks of amazing experiences.  Words and pictures fail to convey what a flight around McKinley is like. I thought that upon landing my ...
