word,canonical_lemma,frequency_21215,chinese_translation,source_type,nrc_category,vader_score,target_experience_object,exact_vader_score,polarity_group
promptly,promptly,74,及时迅速地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
concerns,concerns,73,担忧 / 关切,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
greatest,greatest,73,最伟大的 / 极佳的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.2,Positive (V > 0)
ideal,ideal,72,理想的 / 完美的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.4,Positive (V > 0)
peaceful,peaceful,72,平和宁静的,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
understanding,understanding,70,体谅的 / 理解的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
impossible,impossible,65,不可能的 / 难以置信的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
tremendous,tremendous,64,震撼巨大的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
passion,passion,64,热情 / 激情,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.0,Positive (V > 0)
fears,fears,64,恐惧 / 忧虑,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.8,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-1.8,Negative (V < 0)
conscious,conscious,63,有意识的 / 讲究的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
pristine,pristine,62,原始纯净的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
dramatic,dramatic,61,戏剧性的 / 震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
extraordinary,extraordinary,61,非凡的 / 卓越的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
gracious,gracious,61,亲切和蔼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.6,Positive (V > 0)
moving,moving,61,令人动容感人的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
passionate,passionate,61,充满激情的,Direct NRC Included (N=358),Joy (喜悦),2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.4,Positive (V > 0)
considerate,considerate,60,体贴周到的,Direct NRC Included (N=358),Trust (信任),1.9,"2. Pilot, Crew & Guide Service (飞行员与解说服务)",1.9,Positive (V > 0)
joy,joy,60,喜悦 / 快乐,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.8,Positive (V > 0)
entertained,entertained,60,感到深受愉悦娱乐的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
complimentary,complimentary,59,赞赏的 / 赠送贴心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
convenient,convenient,59,便捷省心的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
excitement,excitement,59,兴奋 / 激动情绪,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
intimate,intimate,59,温馨亲切的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
nerves,nerves,59,紧张感 / 不安神经,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.4,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-0.4,Negative (V < 0)
unreal,unreal,59,如梦似幻的 / 震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
disappointing,disappointing,58,令人失望的,Direct NRC Included (N=358),Sadness (悲伤),-2.2,"4. Booking, Price & Value (行程预订与性价比)",-2.2,Negative (V < 0)
fortunately,fortunately,58,幸运的是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
flawless,flawless,58,无瑕的 / 完美的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
lush,lush,57,郁郁葱葱宜人的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
negative,negative,57,负面体验 / 消极评价,Direct NRC Included (N=358),Sadness (悲伤),-2.7,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-2.7,Negative (V < 0)
thankful,thankful,57,感激的 / 感恩的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
thoughtful,thoughtful,57,贴心周到的,Direct NRC Included (N=358),Trust (信任),1.6,"2. Pilot, Crew & Guide Service (飞行员与解说服务)",1.6,Positive (V > 0)
glorious,glorious,56,壮丽辉煌的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.2,Positive (V > 0)
uncomfortable,uncomfortable,56,感到不适的 / 不安的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.6,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-1.6,Negative (V < 0)
fair,fair,55,公道的 / 划算的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.3,Positive (V > 0)
noisy,noisy,55,喧闹吵杂的,Direct NRC Included (N=358),Anger (愤怒),-0.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),-0.7,Negative (V < 0)
remarkable,remarkable,54,卓越令人瞩目的,Direct NRC Included (N=358),Joy (喜悦),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.6,Positive (V > 0)
genuine,genuine,54,真诚的 / 地道的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
cherish,cherish,54,珍视 / 珍惜铭记,Direct NRC Included (N=358),Joy (喜悦),1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.6,Positive (V > 0)
caring,caring,53,体贴入微关怀的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
trouble,trouble,52,麻烦 / 困扰,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.7,Negative (V < 0)
strong,strong,52,强烈的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
gentle,gentle,52,平稳柔和的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
enthusiasm,enthusiasm,52,热情 / 积极性,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
appreciation,appreciation,52,感激 / 欣赏,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
disappointment,disappointment,51,失望 / 遗憾失落情绪,Direct NRC Included (N=358),Sadness (悲伤),-2.3,"4. Booking, Price & Value (行程预订与性价比)",-2.3,Negative (V < 0)
nicer,nicer,51,更美好/更亲切的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
hoping,hoping,50,期盼 / 希望,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
happier,happier,50,更快乐的 / 更满意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.4,Positive (V > 0)
queasy,queasy,49,恶心反胃的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
seamless,seamless,49,流畅无缝无摩擦的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,"4. Booking, Price & Value (行程预订与性价比)",0.0,Zero / Neutral (V = 0)
satisfied,satisfied,49,感到满意的,Direct NRC Included (N=358),Joy (喜悦),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
delight,delight,48,欣喜 / 愉快,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.9,Positive (V > 0)
genuinely,genuinely,48,真诚地 / 确实,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
steady,steady,48,平稳的 / 稳健的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
unexpected,unexpected,46,意想不到的惊喜,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
sensitive,sensitive,46,敏感的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
easier,easier,46,更容易的 / 更省心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
warmly,warmly,46,温暖地 / 热情地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
terrible,terrible,46,可怕的 / 糟糕的,Direct NRC Included (N=358),Fear (恐惧),-2.1,"4. Booking, Price & Value (行程预订与性价比)",-2.1,Negative (V < 0)
decent,decent,45,尚可的 / 体面的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
friendliness,friendliness,45,友善 / 亲和力,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.0,Positive (V > 0)
loud,loud,45,吵闹的 / 噪音大的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
relax,relax,45,放松 / 放轻松,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
terrified,terrified,45,极度惊恐的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-3.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-3.0,Negative (V < 0)
happily,happily,44,快乐地 / 欣然,Direct NRC Included (N=358),Joy (喜悦),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.6,Positive (V > 0)
quieter,quieter,44,更安静宁静的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
encouraged,encouraged,44,深受鼓舞的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.5,Positive (V > 0)
beautifully,beautifully,43,优美地 / 出色地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
calming,calming,42,令人平息平稳安心的（Calmness State）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
adventurous,adventurous,41,充满冒险刺激感的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.4,Positive (V > 0)
charming,charming,40,迷人讨喜的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.8,Positive (V > 0)
responsive,responsive,40,积极回应的 / 贴心的,Direct NRC Included (N=358),Trust (信任),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.5,Positive (V > 0)
touched,touched,40,深受感动的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
handle,handle,39,善于处理 / 掌控感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
enjoyment,enjoyment,39,乐趣 / 享受,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.6,Positive (V > 0)
nicest,nicest,39,最美好的 / 最亲切的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
worst,worst,39,最糟糕的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-3.1,"4. Booking, Price & Value (行程预订与性价比)",-3.1,Negative (V < 0)
unsafe,unsafe,39,感觉不安全的 / 担惊受怕的,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
greater,greater,38,更宏大震撼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.5,Positive (V > 0)
hospitable,hospitable,38,殷勤好客的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
pleasantly,pleasantly,38,令人愉快地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.1,Positive (V > 0)
stress,stress,38,压力 / 紧张感,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.8,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-1.8,Negative (V < 0)
wonderfully,wonderfully,38,极其出色绝妙地,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.9,Positive (V > 0)
worries,worry,38,担忧 / 挂虑,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.8,Negative (V < 0)
hopefully,hopefully,37,怀着希望地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
nicely,nicely,37,很好地 / 优雅地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
cared,cared,37,得到无微不至关怀的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
delicious,delicious,37,美味愉悦的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
reliable,reliable,36,可靠的 / 可信赖的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
marvelous,marvelous,36,绝妙的 / 令人惊叹的,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.9,Positive (V > 0)
nauseous,nauseous,36,恶心晕车的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
humour,humour,35,幽默感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.1,Positive (V > 0)
superior,superior,35,优越顶尖的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.5,Positive (V > 0)
picturesque,picturesque,35,风景如画的,Direct NRC Included (N=358),Joy (喜悦),1.6,1. Aerial Scenery & Nature Views (高空自然景观),1.6,Positive (V > 0)
surprisingly,surprisingly,35,出乎意料赞叹地,Direct NRC Included (N=358),Surprise (惊喜),1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.2,Positive (V > 0)
humorous,humorous,35,幽默风趣的,Direct NRC Included (N=358),Joy (喜悦),1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.6,Positive (V > 0)
bother,bother,35,打扰 / 烦扰,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.4,Negative (V < 0)
anxious,anxious,35,焦虑不安的 / 挂虑的,Direct NRC Included (N=358),Fear (恐惧),-1.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-1.0,Negative (V < 0)
anxiety,anxiety,34,焦虑 / 不安,Direct NRC Included (N=358),Fear (恐惧),-0.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),-0.7,Negative (V < 0)
generous,generous,34,大方的 / 慷慨的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
romantic,romantic,34,浪漫惬意的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
sadly,sadly,34,令人遗憾地 / 悲伤地,Direct NRC Included (N=358),Sadness (悲伤),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.8,Negative (V < 0)
worse,worse,34,更糟糕的,Direct NRC Included (N=358),Fear (恐惧),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),-2.1,Negative (V < 0)
hassle,hassle,33,麻烦 / 烦心事,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
overwhelming,overwhelming,33,铺天盖地震撼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
airsick,airsick,33,晕机的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型),0.0,Zero / Neutral (V = 0)
skillful,skillful,32,技术精湛的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
reassured,reassured,32,感到安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
turbulent,turbulent,32,颠簸不安的,Direct NRC Included (N=358),Fear (恐惧),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型),0.0,Zero / Neutral (V = 0)
upfront,upfront,32,直率透明的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
cute,cute,31,可爱宜人的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.0,Positive (V > 0)
economical,economical,31,划算实惠的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
kindly,kindly,30,体贴友善地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
stellar,stellar,29,璀璨顶尖级的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
pure,pure,29,纯粹的 / 纯净震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
interactive,interactive,29,互动性强的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
delighted,delighted,29,高高兴兴的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
convinced,convinced,29,深信不疑的 / 心服口服,Direct NRC Included (N=358),Trust (信任),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
chatty,chatty,29,健谈热情的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
gladly,gladly,29,乐意地 / 高兴地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.4,Positive (V > 0)
unbelievably,unbelievably,29,难以置信地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
serene,serene,28,宁静祥和的,Direct NRC Included (N=358),Trust (信任),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.0,Positive (V > 0)
boring,boring,28,令人无聊乏味的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.3,Negative (V < 0)
sad,sad,28,悲伤的 / 遗憾痛心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),-2.1,Negative (V < 0)
splendor,splendor,27,壮丽辉煌的奇观,Direct NRC Included (N=358),Joy (喜悦),3.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.0,Positive (V > 0)
peace,peace,27,宁静 / 和平,Direct NRC Included (N=358),Joy (喜悦),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.5,Positive (V > 0)
regrets,regrets,27,遗憾 / 后悔,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.5,Negative (V < 0)
aside,aside,27,撇开 / 排除,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
eager,eager,27,热切的 / 渴望的,Direct NRC Included (N=358),Joy (喜悦),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.5,Positive (V > 0)
comforting,comforting,27,令人感到安慰抚慰的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
bang,bang,26,物超所值（bang for buck）,Direct NRC Included (N=358),Fear (恐惧),0.0,"4. Booking, Price & Value (行程预订与性价比)",0.0,Zero / Neutral (V = 0)
basic,basic,26,基础的 / 简陋的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
cramped,cramped,26,拥挤狭窄不适的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
hate,hate,26,憎恨 / 讨厌,Direct NRC Included (N=358),Fear (恐惧),-2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),-2.7,Negative (V < 0)
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
upset,upset,26,感到沮丧难过的,Direct NRC Included (N=358),Sadness (悲伤),-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.6,Negative (V < 0)
ill,ill,25,生病的 / 恶心呕吐的,Direct NRC Included (N=358),Fear (恐惧),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.8,Negative (V < 0)
laughing,laughing,25,欢声笑语 / 开心大笑,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.2,Positive (V > 0)
bump,bump,25,颠簸不适的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型),0.0,Zero / Neutral (V = 0)
dangerous,dangerous,25,危险的,Direct NRC Included (N=358),Fear (恐惧),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),-2.1,Negative (V < 0)
communicative,communicative,25,善于沟通的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
inclement,inclement,24,恶劣的气候,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
magnificence,magnificence,24,壮丽震撼感,Direct NRC Included (N=358),Joy (喜悦),2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.4,Positive (V > 0)
impeccable,impeccable,23,无可挑剔的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
talkative,talkative,23,健谈热情的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
horrible,horrible,23,极度糟糕可怕的,Direct NRC Included (N=358),Fear (恐惧),-2.5,"4. Booking, Price & Value (行程预订与性价比)",-2.5,Negative (V < 0)
