word,canonical_lemma,chinese_translation,emotion_category,frequency_21215,review_count_21215,example_context,in_nrc,in_vader
fears,fears,恐惧 / 忧虑,Unclassified,64,61,"review_59c78627992f906fe1ccc656 :: What a fantastic ride with Riley. 
I am afraid of heights, get motion sickness and claustrophobic.
So why do it? My granddaughter said I need to face my fears.
I am SO glad I did.
...",False,True
conscious,conscious,有意识的 / 讲究的,Unclassified,63,63,review_4040be92eb15a7d195167b38 :: Flew into work at floating lodge. Very professional and friendly. Very safety conscious.  Pilot informed us on emergency procedure...,False,False
pristine,pristine,原始纯净的,Unclassified,62,61,review_bed868d19d2a33eb1ac95b60 :: Love to fly with Northwest Seaplane- they link us from remote Northern Vancouver Island right into Seattle for flights out of Seatac to our home in Sacramento.  Flight times vary d...,True,False
dramatic,dramatic,戏剧性的 / 震撼的,Unclassified,61,58,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,False,False
extraordinary,extraordinary,非凡的 / 卓越的,Unclassified,61,60,review_2a6e0be4eff7d4bad8630a66 :: What a wonderful experience!  My husband Steve and I were in Moab with a few extra hours in the afternoon before starting our train trip though the  Rockies.   While an afternoon t...,True,False
gracious,gracious,亲切和蔼的,Unclassified,61,60,"review_be6ad7ad8d01cad408067c00 :: We saved driving 2 hours to Anacortes plus another hour ferry ride to go from Seattle to Friday Harbor.  Since we went only for the day, the seaplane was the best, most scenic and ...",True,True
moving,moving,令人动容感人的,Unclassified,61,59,"review_0e6241ee723bd441df7f52c5 :: They sold me on flying low and being able to see lots of wildlife close up . . . 
We flew at about 500 - 650 feet above the grounds so any wildlife you see is minimum  600 fret awa...",False,False
passionate,passionate,充满激情的,Unclassified,61,60,"review_d5214b768412bef008732dba :: We had an incredible experience with Alaska Float Plane Company! Our pilot, Jason, was absolutely fantastic. He was knowledgeable, helpful, and clearly passionate about what he doe...",True,True
considerate,considerate,体贴周到的,Kindness / Reassurance,60,60,review_23e045a06437ae9f021d5729 :: Just book it! Amazing Experience and fantastic views of the Grand Canyon. Ample photo opportunities and a pre-recorded commentary. Captain Jack was very knowledgeable and considera...,True,True
joy,joy,喜悦 / 快乐,Unclassified,60,60,review_4e35a460b4ec2c815f0fb70b :: We had an amazing time with Westwinds.  Carla was an amazing pilot and a joy to spend time with in the air.  Seeing the Canyon from the air was a special experience and unforgettab...,True,True
entertained,entertained,感到深受愉悦娱乐的,Joy / Amusement,60,60,"review_02c9a294d2798292e0113aa3 :: Words and pictures do not come close to describing the experience of flying up to view Denali.  We were very happy with our pilot, Billy.  He was funny and very knowledgable about ...",True,True
complimentary,complimentary,赞赏的 / 赠送贴心的,Unclassified,59,56,"review_662f441878fa384baff0ed90 :: We had the most amazing experience, from start to finish, with Redtail Air Adventures! I had originally scheduled a helicopter tour for the morning of my birthday, however due to t...",False,True
convenient,convenient,便捷省心的,Unclassified,59,59,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon....",True,False
excitement,excitement,兴奋 / 激动情绪,Unclassified,59,57,"review_8e155d45b855c5afb9f315f9 :: What an incredible experience - it is hard to put into words how it feels to be flying among the mountains of the park - we had incredible weather and saw Denali, mountains, glacie...",True,True
intimate,intimate,温馨亲切的,Unclassified,59,58,review_64c7908f68d4f84efd504d41 :: Our family of 4 recently experienced this incredible flight around Mt. McKinley. It was a great experience to be so close to the ground and mountains where we could see the texture...,True,False
nerves,nerves,紧张感 / 不安神经,Unclassified,59,57,review_a9d696ccd9dd784f879ec084 :: I am not a fan of small planes & was a little apprehensive about taking this trip which was an add on tour  to Danali after a cruise. We flew from Anchorage to Talkeeta and my nerv...,False,True
unreal,unreal,如梦似幻的 / 震撼的,Unclassified,59,56,review_342b724b8a16e38783a306a6 :: We did the flight seeing with a glacier landing. It was so worth the money. I can’t say enough good things about the whole experience. They got you checked in quickly and there was...,False,False
flawless,flawless,无瑕的 / 完美的,Unclassified,58,58,review_2fe2c33b9820fdd0fb7c15d9 :: My family and I really enjoyed this trip. The flight was flawless . Ben was an excellent pilot and we enjoyed our ride . The views were amazing and your really can't see the canyon...,False,True
fortunately,fortunately,幸运的是,Unclassified,58,58,"review_0e8b415ed6e60f63a677db4d :: This was not a bad experience - but it was a little pricey for what you get.

The hotel pick up was fine. The driver was late. I called - repeatedly. Nobody answered. I was worried...",False,False
disappointing,disappointing,令人失望的,Unclassified,58,57,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,True,True
lush,lush,郁郁葱葱宜人的,Unclassified,57,56,review_888676466305845f8a0b93d0 :: Had the best time flying with K2! The weather was just right we got to land on a glacier and hang out for about 30 mins. Flew around Denali and saw so many cool views. Started out ...,True,False
negative,negative,负面体验 / 消极评价,Unclassified,57,54,"review_f693e668b8f73742891708ef :: This adventure was the absolute highlight of our trip to Alaska. Although it is an expensive flight tour, it is worth every penny you will spend. We were fortunate enough to have a...",True,True
thankful,thankful,感激的 / 感恩的,Unclassified,57,57,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,True,True
thoughtful,thoughtful,贴心周到的,Unclassified,57,57,"review_219726c8df52142c822b8968 :: My husband, mother-in-law and sister-in-law and I enjoyed a wonderful air tour of Seattle aboard one of Northwest Seaplanes' de Havilland Beaver seaplanes. Our pilot, Ken, was grac...",True,True
glorious,glorious,壮丽辉煌的,Unclassified,56,55,"review_2a6e5f10f9e2f67e42081137 :: Glorious experience, felt like I was on a VIP trip soaring about the islands. It was amazing to see the islands in ways that I could never have seen away...",False,True
uncomfortable,uncomfortable,感到不适的 / 不安的,Unclassified,56,54,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf...",True,True
fair,fair,公道的 / 划算的,Unclassified,55,55,"review_7e60025c17905c17a11eb481 :: Great experience and really fair price! The booking, the flight and organisation was great. Would definately recommend this!...",True,True
noisy,noisy,喧闹吵杂的,Unclassified,55,54,"review_9d3eaa0a88e516a0261e52f8 :: We had originally thought about doing a helicopter trip of the Canyon, but several people who'd visited suggested the airplane tour was better. We decided to go for it and weren't ...",True,True
remarkable,remarkable,卓越令人瞩目的,Unclassified,54,53,review_c7ec6997e534174bbc6516a0 :: My Boyfriend and I used the seaplane to get to and from the San Juan Islands. The service and knowledge were impeccable! We were able to sit up front and learn about the plane as w...,True,True
genuine,genuine,真诚的 / 地道的,Unclassified,54,52,review_3a236b0e94d395eaea638408 :: A great ride.  Eric the pilot is 100% dedicated to safety and comfort.  His enthusiasm for the beauty of the island is genuine and a pleasure to share.  Flew with my wife and daugh...,True,False
cherish,cherish,珍视 / 珍惜铭记,Unclassified,54,53,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...,True,True
caring,caring,体贴入微关怀的,Warmth / Kindness,53,52,review_477b30152b988888ed968682 :: Brilliant service even though we had a little too much luggage. Relaxed and caring pilot and a fabulous flight from Friday Harbor to Renton. Worth every cent.......,False,True
appreciation,appreciation,感激 / 欣赏,Unclassified,52,51,review_23e045a06437ae9f021d5729 :: Just book it! Amazing Experience and fantastic views of the Grand Canyon. Ample photo opportunities and a pre-recorded commentary. Captain Jack was very knowledgeable and considera...,True,True
enthusiasm,enthusiasm,热情 / 积极性,Unclassified,52,52,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t...",True,True
gentle,gentle,平稳柔和的,Unclassified,52,50,"review_874d3d004ca2d69a954110e8 :: Our family took Northwest Seaplanes from Renton to Friday Harbor, then to Nootka Sound, and finally back to Renton.  Shane, our pilot from Renton to Friday Harbor, was excellent, p...",False,True
strong,strong,强烈的,Unclassified,52,49,"review_6523d5d635208035ffc1f596 :: Absolutely to book in advance because you can't do without it.
We booked it a few days before and called to confirm the reservation.
In June 2023 we spent 164 euros each for the fl...",False,True
trouble,trouble,麻烦 / 困扰,Unclassified,52,51,review_562c5fdfe17c7e66d0793c87 :: This was THE MOST MEMORABLE thing we did on our 10 day trip Arizona. We covered from Tombstone  to Page and this left me speechless . It is a completely different perspective than ...,False,True
disappointment,disappointment,失望 / 遗憾失落情绪,Unclassified,51,48,"review_4e27888b553235013b9719d7 :: Our flight could have been a disappointment: clouds kept us from seeing Denali up close and the lack of fresh snow prevented the glacier landing. Despite all that, it was still an ...",True,True
nicer,nicer,更美好/更亲切的,Unclassified,51,51,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,False,True
hoping,hoping,期盼 / 希望,Unclassified,50,49,review_74583e2676252038a02e2224 :: We were on our boat near River's Inlet and headed South to collect my brother and nephew who we were flying in for my nephew's 16th birthday present.  He had never been on a float ...,False,True
happier,happier,更快乐的 / 更满意的,Unclassified,50,49,review_bfc3f1958db1c16d6534e345 :: This was my second time flying with West Wind and they are fantastic! I couldn’t be happier. Flying over the Grand Canyon with Carson our pilot was an amazing experience and I can’...,False,True
queasy,queasy,恶心反胃的,Unclassified,49,47,review_4af3e5aeefeb06a6a7ef7c95 :: I have a tendency toward motion sickness. The ride was so smooth and awesome there was not a single queasy moment.  Pilot pointed out interesting things.  Best ride EVER....,False,False
seamless,seamless,流畅无缝无摩擦的,Unclassified,49,48,"review_8447cef58620bf41f7a0bf9a :: Lindsey and Destiny did an amazing job in the planning of our event. They were so helpful, patient and friendly as they worked through our changes and were very accommodating! The ...",False,False
satisfied,satisfied,感到满意的,Satisfaction / Contentment,49,49,review_fea58727faaa3a0887fe14ea :: We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnif...,True,True
delight,delight,欣喜 / 愉快,Unclassified,48,48,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...,True,True
genuinely,genuinely,真诚地 / 确实,Unclassified,48,46,review_c2c6a7fed06757adb42d94c8 :: It was absolutely incredible and the folks at K2 were so good about working around the weather. We were in the area for three days and pushed the trip from the first day to the sec...,False,False
steady,steady,平稳的 / 稳健的,Unclassified,48,47,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of...",True,False
terrible,terrible,可怕的 / 糟糕的,Unclassified,46,44,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,True,True
warmly,warmly,温暖地 / 热情地,Unclassified,46,46,review_552464983c23bee88efea1ff :: Very impressed with Westwind Tours - the lady who booked my flights is warm and friendly and they called the day before (on Thanksgiving) to re-confirm.  The tour ran smoothly and ...,False,True
unexpected,unexpected,意想不到的惊喜,Unclassified,46,46,"review_7ca003e4cd5979555b9afcfc :: This helicopter trip around the island exceeded my expectations and was definitely an unforgettable journey! From beginning to end, every detail is very careful, so that you feel t...",True,False
sensitive,sensitive,敏感的,Unclassified,46,44,review_e1863fff57d5ce5fbdf870e9 :: Literally the best!!! Was here on a family vacation and this was the main event. Well worth it! Would recommend to anyone visiting Maui. I’m sensitive to motion sickness and this r...,False,False
easier,easier,更容易的 / 更省心的,Unclassified,46,45,"review_62973558ebb173e071202d4b :: For the last two years, my dog and I (along with friends and family) have flown both regular scheduled flights and  chartered flights from Renton to/from Gulf Islands, Desolation S...",False,True
decent,decent,尚可的 / 体面的,Unclassified,45,42,review_2451355c4316d671a28341f1 :: Steve was awesome from the moment he greeted us until our goodbyes. The flight was smooth and well paced. We felt like we had a tour worth every penny which even the cost was decen...,True,False
friendliness,friendliness,友善 / 亲和力,Unclassified,45,45,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper...",True,True
loud,loud,吵闹的 / 噪音大的,Unclassified,45,43,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of...",False,False
relax,relax,放松 / 放轻松,Relaxation,45,45,"review_958b91b7f77500e0af5baf00 :: Short trip to the heart of misty fiords and land in middle fiord, calm and relax to come back the airfloting base...",False,True
terrified,terrified,极度惊恐的,Unclassified,45,43,review_a47243ad5160af5d8023c647 :: As a person who Is terrified of heights this was amazing!! 10/10 would recommend this was absolutely incredible!!! I loved it and I don’t think I will ever forget this!!!...,False,True
encouraged,encouraged,深受鼓舞的,Unclassified,44,43,"review_b128c609e722496c301a2e17 :: Seamless experience throughout, especially given the variable weather.  We were able to delay our experience and still do part of it.  The views were breathtaking and landing on a ...",False,True
happily,happily,快乐地 / 欣然,Unclassified,44,43,"review_025d20c297693588730efa16 :: When my Clipper boat ride from Friday Harbor to Seattle was canceled, I researched seaplane options to get me back to Seattle early enough to catch my flight out of SEATAC. Booking...",True,True
quieter,quieter,更安静宁静的,Unclassified,44,44,"review_464537ddf71164ceb86860ab :: Very nice flight, well reviewed. We chose an afternoon flight and it seems that the early morning ones are quieter because we were a little shaken, which makes the experience a lit...",False,False
beautifully,beautifully,优美地 / 出色地,Unclassified,43,43,review_508885b267bf10eae6772ac6 :: Our family flew with Friday Harbor Seaplanes from Renton/Seattle to and from San Juan Island. The planes are beautifully maintained and the pilots we had were top notch.  This was ...,False,True
calming,calming,令人平息平稳安心的（Calmness State）,Unclassified,42,39,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...,False,True
adventurous,adventurous,充满冒险刺激感的,Unclassified,41,39,"review_995ca5e901e414eab02045ed :: Our tour guide, Bryan (?) was incredible!
He made it a point to give us equal views of the mountain no matter what seat we were in :)
The flight was extrememly smooth, no turbulenc...",True,True
charming,charming,迷人讨喜的,Unclassified,40,40,"review_baef44aa9a5f04517347694b :: Very nice flight around the wilderness, see 10 bears 3 mooses and caribous
flying out of the heavy crowded of talkeetna is very charming! no stress, very nice approach
over a small...",True,True
responsive,responsive,积极回应的 / 贴心的,Unclassified,40,40,review_c2c6a7fed06757adb42d94c8 :: It was absolutely incredible and the folks at K2 were so good about working around the weather. We were in the area for three days and pushed the trip from the first day to the sec...,True,True
touched,touched,深受感动的,Unclassified,40,39,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin...",True,False
nicest,nicest,最美好的 / 最亲切的,Unclassified,39,39,review_d62107dbf641d3a1f48cacac :: One of the best things you can do on the island. The most gorgeous views I have ever seen and Eric is the nicest pilot you’ll ever meet....,False,True
unsafe,unsafe,感觉不安全的 / 担惊受怕的,Unclassified,39,35,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,True,False
worst,worst,最糟糕的,Unclassified,39,39,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,False,True
handle,handle,善于处理 / 掌控感,Unclassified,39,38,review_d4b7b4ce8f5f74c6293cb6ee :: We used Northwest Seaplanes for a rather large family trip to the Hakai Lodge along the Central British Columbia Coast. They were able to handle our group of 29 with absolute profe...,False,False
enjoyment,enjoyment,乐趣 / 享受,Unclassified,39,39,"review_28efb948a887db7190d66ddb :: Trip Reserved: Grand Canyon Deluxe with Hummer
Our Group: 2 families (4 adults, 2 teenage boys)

On a recent trip to Las Vegas, we wanted the views of the South Rim without the 9 h...",False,True
greater,greater,更宏大震撼的,Unclassified,38,37,"review_d1dfcb69be6315d42fc6e8f8 :: DISCLAIMER: I’m a tour professional living and working here in Alaska and not compensated in any way for this review. I do it because these operators are my FELLOW ALASKANS. 

Ther...",True,True
hospitable,hospitable,殷勤好客的,Unclassified,38,37,review_619d8425de350363275a521b :: Very friendly and hospitable owner pilot.  He was guiding all attractions and showed how to fly to my son.  Would love to fly with him again....,False,False
pleasantly,pleasantly,令人愉快地,Unclassified,38,38,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...,False,True
stress,stress,压力 / 紧张感,Unclassified,38,38,"review_baef44aa9a5f04517347694b :: Very nice flight around the wilderness, see 10 bears 3 mooses and caribous
flying out of the heavy crowded of talkeetna is very charming! no stress, very nice approach
over a small...",True,True
wonderfully,wonderfully,极其出色绝妙地,Unclassified,38,38,review_529df595bb7ce698950d060d :: This experience was great! Eric gave us a couple of different tour options and we chose the sea cliffs. Highly recommend this! Eric narrated the tour wonderfully.  Views are awesom...,True,True
worries,worry,担忧 / 挂虑,Anxiety / Worry,38,38,review_1e6bde0c3142b379dd5fd3c6 :: Excellent Adventure! We chose Friday Harbor Seaplanes for round trip flights during a five day visit to Friday Harbor. Top to bottom excellent experience with this company. Great c...,False,True
hopefully,hopefully,怀着希望地,Unclassified,37,37,review_18b130e417f63a131817bb98 :: Thank you so much Sergio for making our experience so special! Would definitely recommend most beautiful views. Hopefully we will be back again soon!...,False,True
nicely,nicely,很好地 / 优雅地,Unclassified,37,36,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of...",False,True
cared,cared,得到无微不至关怀的,Unclassified,37,37,"review_e1b1a89e3c4bed96938773d0 :: Our family booked the 30 minute seaplane adventure as part of our cruisetour.  Due to rainy weather, we were not able to take the tour but I wanted to acknowledge the wonderful cus...",False,True
delicious,delicious,美味愉悦的,Unclassified,37,35,"review_dfecc79fa219774441487192 :: Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!...",True,True
nauseous,nauseous,恶心晕车的,Unclassified,36,33,"review_026fa5cb16a2269713f1afd4 :: We had such a great time on our Grand Canyon plane ride! Our pilot was super professional and made sure we felt safe and comfortable, going over all the safety rules before takeoff...",True,False
reliable,reliable,可靠的 / 可信赖的,Unclassified,36,36,review_c48b19006556a0555ed570f4 :: We own a small cabin on a remote (no roads) lake near Talkeetna.  Over the past 10 years we have used Alaska Floatplane Service to fly back and forth from our cabin 2 - 3 times a y...,True,False
marvelous,marvelous,绝妙的 / 令人惊叹的,Unclassified,36,34,review_4dd1502a74c3a580f6d299f0 :: This was a great time. It was just marvelous and we felt safe. We recommend this one hundred percent!...,True,True
humour,humour,幽默感,Unclassified,35,34,review_2fa261146b1acb9f24b8d363 :: We stepped off our cruise ship and chose this tour as it sounded good and reasonably priced compared to price on board the ship where we had not booked earlier. We were immediately...,False,True
superior,superior,优越顶尖的,Unclassified,35,34,"review_1dcb404ae9a08527dc3fa421 :: Ryan was a superior pilot.  Great experience!  A must-do AK experience.  Staff helpful, kind.  Would recommend for sure!...",True,True
picturesque,picturesque,风景如画的,Unclassified,35,35,review_e0ad06300024258fcd9a2b2b :: This was a brilliant afternoon. The setting is picturesque and a great deal of thought and work has gone into making it a pleasant experience overall. The on-site facilities are fi...,True,True
surprisingly,surprisingly,出乎意料赞叹地,Unclassified,35,35,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe...",True,True
humorous,humorous,幽默风趣的,Unclassified,35,35,review_aba8195c2b0b93801c285a86 :: Trevor was a great pilot and a great host.He was friendly and humorous as well as knowledgable  in regards to the terrain....,True,True
bother,bother,打扰 / 烦扰,Unclassified,35,34,review_97f419444e7e0e0b7b93a411 :: Our helicopter tour was the BEST way to see the Grand Canyon.  Our tour started with photos with our pilot and proceeded to fly over the forest surrounding the Grand Canyon airport...,True,True
anxious,anxious,焦虑不安的 / 挂虑的,Unclassified,35,33,review_dbbe3c52797bfc3002cf7881 :: Words are inadequate to describe just how wonderful this experience is.   I was somewhat anxious that it would be hard to see but everyone got a window seat and the headset comment...,True,True
anxiety,anxiety,焦虑 / 不安,Unclassified,34,33,"review_b241dd3384839bc487012204 :: Loved the flight ... the plane came in to Friday Harbor a bit late (about 10 minutes), and for those of us used to constant updates on delayed flights on the regularly scheduled ma...",True,True
generous,generous,大方的 / 慷慨的,Unclassified,34,34,review_fdde95a34d56f978c81346e9 :: This was a fantastic experience!  To see the sheer beauty and majesty of Mt. Denali and Denali National Park from the air is unbelievable. Words and pictures don't do it justice. I...,True,True
romantic,romantic,浪漫惬意的,Unclassified,34,31,review_9b47636f319f5bd7e57d0b01 :: Beautiful views of the beach and downtown skyline! Had so much fun. Very romantic. The pilot was very professional....,True,True
sadly,sadly,令人遗憾地 / 悲伤地,Unclassified,34,32,review_94a38ac0637b00f5abd40c9f :: Flew to and back from Friday Harbor.  What a cool experience.  They give ya a tour as you go over the islands.  We were fortunate enough to see a Trident sub on the way back.  Very...,True,True
worse,worse,更糟糕的,Unclassified,34,31,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,True,True
airsick,airsick,晕机的,Unclassified,33,32,"review_251532d605c192fdae525c25 :: We chose this tour as part of a cruise excursion, KE21 Misty Fjords Sightseeing, run by Taquan Air.  The excursion was well run, the bus transfer from the pier, the prep for the pl...",False,False
hassle,hassle,麻烦 / 烦心事,Unclassified,33,33,"review_fb444b09ca144f104f98424a :: Loved my ride with Northwest Seaplanes! 

Check-in was easy, hangar staff was friendly and promptly answered any questions I had regarding the planes. Drinks along with merchandise...",False,False
overwhelming,overwhelming,铺天盖地震撼的,Unclassified,33,33,"review_64e60d67775683c7a6323836 :: The flight above so familiar places of Canyonlands was a dream! Still in awe from the overwhelming beauty of endless canyons, rivers, arches and mountains in the background. Specia...",True,False
turbulent,turbulent,颠簸不安的,Unclassified,32,30,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...,True,False
upfront,upfront,直率透明的,Unclassified,32,32,review_4011873411e6fac958adb3a8 :: Book your flight well ahead and cross your fingers for good weather! The K2 staff was very upfront with us regarding the weather and offered to allow us to cancel or reschedule.  D...,False,False
skillful,skillful,技术精湛的,Unclassified,32,32,review_eba2dae92e82ce84ca669a20 :: This flight was incredible! The views were spectacular! We were going whale watching from Friday Harbor. The dilemma was that we were in Seattle for only a short time. I didn't wan...,True,False
reassured,reassured,感到安心的,Unclassified,32,32,review_d72411de8fd698a132048a5c :: I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I ...,False,True
cute,cute,可爱宜人的,Unclassified,31,30,"review_79fc8f30195e4abc873ad1cf :: We booked a small plane for just my wife and me. Our pilot, Will, couldn't have been more helpful, professional, or cooperative. It was a clear day, except around Denali, but it di...",True,True
economical,economical,划算实惠的,Unclassified,31,31,review_3157addfb7eb1a9225f3a42a :: We had a fabulous trip circumnavigating Maui and Molokai with Captain Bill Wolf yesterday. It was the highlight of our month long visit to Maui! We would highly recommend using the...,False,False
breathtakingly,breathtakingly,令人屏息震撼地（Awe/Amazement Emotion）,Unclassified,30,30,"review_f2ca54d8c40cde99c66061bf :: it was an amazing experience. Staff was really nice and welcoming. Pilot was really experienced, he warned us before every bumps, it was really smooth. On the other side, the tour ...",False,False
kindly,kindly,体贴友善地,Unclassified,30,29,"review_b3c2d80c04bcc5d0082d0a5b :: Having been to Maui twice before, we decided to finally spend the $$ and fly over Haleakala.  After researching the numerous heli tours, we opted to book with Eric and his new-ish ...",False,True
unbelievably,unbelievably,难以置信地,Unclassified,29,29,review_599c37c88c07ed51d872f86f :: We had a wonderful trip to Alaska and this adventure was one of our family's favorites.  We had a clear day so we felt very fortunate to be able to see Denali from various areas an...,False,False
stellar,stellar,璀璨顶尖级的,Unclassified,29,28,review_cd60ca3022a27fd3592f060f :: Such a fun and unique experience. Stellar service. Our pilot was great; very attentive and informative. Excellent views and photos....,True,False
pure,pure,纯粹的 / 纯净震撼的,Unclassified,29,29,review_86e423350ff66f7104f81617 :: The experience must never be repeated! The ride was dizzying with an incompetent pilot without a co-pilot and the microphone that didn't work and at the exit we paid 90 dollars mor...,False,False
interactive,interactive,互动性强的,Unclassified,29,29,review_a224204bd6c7c0aa09593757 :: One of the most amazing and must do experiences to do while at Maui. A private experience just for the family in a plane with an amazing pilot and tour guide. It was a five star ex...,False,False
delighted,delighted,高高兴兴的,Unclassified,29,29,review_65a79e7bd73342c3b9cb8ff0 :: Seeing the Grand Canyon from the air is essential to get an overall sense of the vastness and majesty of the canyon. We chose the plane instead of a helicopter because it was going...,True,True
convinced,convinced,深信不疑的 / 心服口服,Unclassified,29,29,review_08ea8168a1a995b616de3b5c :: I had the chance of a lifetime to go on this amazing adventure with my brother on 6/30/17. My brother had been trying to talk me into going on a float plane trip through the Misty ...,True,True
chatty,chatty,健谈热情的,Unclassified,29,29,"review_14c77a9024b5a000f3d0a440 :: Unfortunately, this was the one cloudy and overcast day on our trip to Denali.  Would have been so much better on a clear day!  That being said, it wasn't the fault of this company...",True,False
gladly,gladly,乐意地 / 高兴地,Joy / Eagerness,29,29,review_cad317c092b4c5fa093dae22 :: Awesome place with great staff!  Well worth the price and much cheaper than other options on the island. Highly recommend and would gladly do again. Great that it was able to accom...,False,True
boring,boring,令人无聊乏味的,Boredom,28,27,"review_c151d1d63c6eb6c9204dd772 :: From takeoff to landing...Pilot John is amazing. professional, knowledgeable, takes the time to make sure you see the sights he is pointing out...very close views of canyons..
Very...",True,True
sad,sad,悲伤的 / 遗憾痛心的,Unclassified,28,28,review_228b3776da2f1ce0239f1b49 :: Amazing trip.  The cliffs are beautiful.  I can't describe the beauty.  The service was amazing.  I would be sad if you didn't do this....,False,True
serene,serene,宁静祥和的,Unclassified,28,28,review_61dad22e7dff7839006c369d :: It’s a must visit experience. It’s off season in winters but less crowded peaceful and serene. I assume summers are the best but then if you enjoy lot of company it’s the season to...,True,True
splendor,splendor,壮丽辉煌的奇观,Unclassified,27,27,review_c9165f59221d7127700e8e97 :: Readying to be picked up by the K-2 shuttle at our hotel (Grand Talkeetna Lodge) we were browsing the gift shop when several people mumbled and looked out the rear window to see De...,True,True
peace,peace,宁静 / 和平,Unclassified,27,27,"review_c151d1d63c6eb6c9204dd772 :: From takeoff to landing...Pilot John is amazing. professional, knowledgeable, takes the time to make sure you see the sights he is pointing out...very close views of canyons..
Very...",True,True
regrets,regrets,遗憾 / 后悔,Unclassified,27,27,"review_be756d082c9857ee2d7f2a8b :: Had a blast! Eric was great and friendly, we had an awesome time flying over Volcanoes National Park and taking a pit stop in Hilo for lunch. 10/10 would definitely recommend! I’ve...",False,True
aside,aside,撇开 / 排除,Unclassified,27,27,"review_2b20b9ac5a5cbd34a14f1330 :: Aside from my nausea, I had great time. Friendly staff, quick and easy. you can take pictures with your headset and it’s great to do with friends. just don’t eat before you board....",False,False
